
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-0.6725,2.14375,µm^3,Volume,Image 1,1,,
-0.4035,6.30629,µm^3,Volume,Image 1,1,,
-0.1345,12.4362,µm^3,Volume,Image 1,1,,
0.1345,17.466,µm^3,Volume,Image 1,1,,
0.4035,24.3959,µm^3,Volume,Image 1,1,,
0.6725,31.7311,µm^3,Volume,Image 1,1,,
0.9415,38.9439,µm^3,Volume,Image 1,1,,
1.2105,46.2523,µm^3,Volume,Image 1,1,,
1.4795,54.1596,µm^3,Volume,Image 1,1,,
1.7485,62.6991,µm^3,Volume,Image 1,1,,
2.0175,71.7629,µm^3,Volume,Image 1,1,,
2.2865,80.8781,µm^3,Volume,Image 1,1,,
2.5555,90.7663,µm^3,Volume,Image 1,1,,
2.8245,100.659,µm^3,Volume,Image 1,1,,
3.0935,110.747,µm^3,Volume,Image 1,1,,
3.3625,121.184,µm^3,Volume,Image 1,1,,
3.6315,130.841,µm^3,Volume,Image 1,1,,
3.9005,138.606,µm^3,Volume,Image 1,1,,
4.1695,145.983,µm^3,Volume,Image 1,1,,
4.4385,152.924,µm^3,Volume,Image 1,1,,
4.7075,159.821,µm^3,Volume,Image 1,1,,
4.9765,166.825,µm^3,Volume,Image 1,1,,
5.2455,173.452,µm^3,Volume,Image 1,1,,
5.5145,180.232,µm^3,Volume,Image 1,1,,
5.7835,186.772,µm^3,Volume,Image 1,1,,
6.0525,193.184,µm^3,Volume,Image 1,1,,
6.3215,200.28,µm^3,Volume,Image 1,1,,
6.5905,207.303,µm^3,Volume,Image 1,1,,
6.8595,214.34,µm^3,Volume,Image 1,1,,
7.1285,221.128,µm^3,Volume,Image 1,1,,
7.3975,226.938,µm^3,Volume,Image 1,1,,
7.6665,230.137,µm^3,Volume,Image 1,1,,
7.9355,230.967,µm^3,Volume,Image 1,1,,
8.2045,231.296,µm^3,Volume,Image 1,1,,
8.4735,229.309,µm^3,Volume,Image 1,1,,
8.7425,228.862,µm^3,Volume,Image 1,1,,
9.0115,227.635,µm^3,Volume,Image 1,1,,
9.2805,228.546,µm^3,Volume,Image 1,1,,
9.5495,228.287,µm^3,Volume,Image 1,1,,
9.8185,229.072,µm^3,Volume,Image 1,1,,
10.0875,229.561,µm^3,Volume,Image 1,1,,
10.3565,225.871,µm^3,Volume,Image 1,1,,
10.6255,222.207,µm^3,Volume,Image 1,1,,
10.8945,216.641,µm^3,Volume,Image 1,1,,
11.1635,212.101,µm^3,Volume,Image 1,1,,
11.4325,206.454,µm^3,Volume,Image 1,1,,
11.7015,202.524,µm^3,Volume,Image 1,1,,
11.9705,197.753,µm^3,Volume,Image 1,1,,
12.2395,194.743,µm^3,Volume,Image 1,1,,
12.5085,193.267,µm^3,Volume,Image 1,1,,
12.7775,190.22,µm^3,Volume,Image 1,1,,
13.0465,187.464,µm^3,Volume,Image 1,1,,
13.3155,181.433,µm^3,Volume,Image 1,1,,
13.5845,174.664,µm^3,Volume,Image 1,1,,
13.8535,166.21,µm^3,Volume,Image 1,1,,
14.1225,159.169,µm^3,Volume,Image 1,1,,
14.3915,153.538,µm^3,Volume,Image 1,1,,
14.6605,146.725,µm^3,Volume,Image 1,1,,
14.9295,140.665,µm^3,Volume,Image 1,1,,
15.1985,133.805,µm^3,Volume,Image 1,1,,
15.4675,127.694,µm^3,Volume,Image 1,1,,
15.7365,120.697,µm^3,Volume,Image 1,1,,
16.0055,114.705,µm^3,Volume,Image 1,1,,
16.2745,109.191,µm^3,Volume,Image 1,1,,
16.5435,98.6443,µm^3,Volume,Image 1,1,,
16.8125,87.1378,µm^3,Volume,Image 1,1,,
17.0815,76.5061,µm^3,Volume,Image 1,1,,
17.3505,67.1348,µm^3,Volume,Image 1,1,,
17.6195,57.1768,µm^3,Volume,Image 1,1,,
17.8885,48.3875,µm^3,Volume,Image 1,1,,
18.1575,40.7888,µm^3,Volume,Image 1,1,,
18.4265,34.1824,µm^3,Volume,Image 1,1,,
