
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
6.35762e+10,,Surface,6,Image 1,1,26181,
1.76141e+08,,Surface,6,Image 1,1,26182,
8.49748e+09,,Surface,6,Image 1,1,26183,
3.61319e+09,,Surface,6,Image 1,1,26184,
1.17772e+09,,Surface,6,Image 1,1,26185,
1.90412e+10,,Surface,6,Image 1,1,26186,
7.77193e+09,,Surface,6,Image 1,1,26189,
2.91213e+09,,Surface,6,Image 1,1,26190,
4.86436e+09,,Surface,6,Image 1,1,26192,
6.1666e+07,,Surface,6,Image 1,1,26193,
9.68992e+09,,Surface,6,Image 1,1,26194,
3.879e+09,,Surface,6,Image 1,1,26195,
4.13553e+09,,Surface,6,Image 1,1,26196,
5.4851e+08,,Surface,6,Image 1,1,26197,
3.16022e+08,,Surface,6,Image 1,1,26198,
8.83829e+09,,Surface,6,Image 1,1,26199,
3.88355e+09,,Surface,6,Image 1,1,26200,
4.37487e+07,,Surface,6,Image 1,1,26201,
6.00252e+09,,Surface,6,Image 1,1,26203,
7.36217e+09,,Surface,6,Image 1,1,26204,
5.21266e+08,,Surface,6,Image 1,1,26205,
2.01816e+10,,Surface,6,Image 1,1,26206,
1.62131e+08,,Surface,6,Image 1,1,26207,
3.05352e+10,,Surface,6,Image 1,1,26208,
1.88335e+08,,Surface,6,Image 1,1,26209,
1.59812e+08,,Surface,6,Image 1,1,26211,
4.31413e+08,,Surface,6,Image 1,1,26212,
1.55864e+10,,Surface,6,Image 1,1,26213,
2.7764e+08,,Surface,6,Image 1,1,26214,
1.66758e+08,,Surface,6,Image 1,1,26215,
6.68809e+09,,Surface,6,Image 1,1,26216,
1.11829e+09,,Surface,6,Image 1,1,26217,
5.77689e+09,,Surface,6,Image 1,1,26218,
5.42123e+08,,Surface,6,Image 1,1,26219,
1.38865e+10,,Surface,6,Image 1,1,26220,
4.70851e+09,,Surface,6,Image 1,1,26221,
2.08966e+09,,Surface,6,Image 1,1,26222,
8.79455e+07,,Surface,6,Image 1,1,26225,
1.45337e+09,,Surface,6,Image 1,1,26226,
1.8418e+10,,Surface,6,Image 1,1,26227,
1.25191e+10,,Surface,6,Image 1,1,26228,
2.97421e+09,,Surface,6,Image 1,1,26229,
3.53047e+09,,Surface,6,Image 1,1,26230,
3.01428e+09,,Surface,6,Image 1,1,26231,
1.71881e+09,,Surface,6,Image 1,1,26232,
9.59069e+08,,Surface,6,Image 1,1,26233,
1.47703e+10,,Surface,6,Image 1,1,26235,
8.53231e+08,,Surface,6,Image 1,1,26236,
1.33771e+08,,Surface,6,Image 1,1,26237,
5.61856e+08,,Surface,6,Image 1,1,26238,
1.02164e+09,,Surface,6,Image 1,1,26241,
1.18806e+08,,Surface,6,Image 1,1,26242,
9.72334e+09,,Surface,6,Image 1,1,26245,
4.93106e+09,,Surface,6,Image 1,1,26246,
9.22561e+08,,Surface,6,Image 1,1,26247,
3.1955e+09,,Surface,6,Image 1,1,26248,
3.53371e+08,,Surface,6,Image 1,1,26249,
5.1291e+09,,Surface,6,Image 1,1,26250,
8.51534e+07,,Surface,6,Image 1,1,26251,
1.24542e+10,,Surface,6,Image 1,1,26252,
1.20452e+10,,Surface,6,Image 1,1,26253,
3.59971e+08,,Surface,6,Image 1,1,26254,
2.66283e+09,,Surface,6,Image 1,1,26255,
2.38289e+08,,Surface,6,Image 1,1,26256,
5.41281e+09,,Surface,6,Image 1,1,26258,
1.0983e+10,,Surface,6,Image 1,1,26259,
9.79093e+07,,Surface,6,Image 1,1,26260,
2.00632e+09,,Surface,6,Image 1,1,26261,
1.40095e+09,,Surface,6,Image 1,1,26262,
2.06354e+08,,Surface,6,Image 1,1,26263,
2.13988e+10,,Surface,6,Image 1,1,26264,
1.81991e+10,,Surface,6,Image 1,1,26265,
6.5449e+07,,Surface,6,Image 1,1,26266,
3.683e+09,,Surface,6,Image 1,1,26267,
1.62987e+09,,Surface,6,Image 1,1,26268,
6.66653e+07,,Surface,6,Image 1,1,26269,
1.0298e+08,,Surface,6,Image 1,1,26270,
9.53147e+08,,Surface,6,Image 1,1,26271,
8.41207e+07,,Surface,6,Image 1,1,26272,
2.66542e+10,,Surface,6,Image 1,1,26273,
2.27143e+10,,Surface,6,Image 1,1,26274,
4.6766e+09,,Surface,6,Image 1,1,26275,
5.96832e+10,,Surface,6,Image 1,1,26276,
