
Intensity Median Ch=6 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
44,,Surface,6,Image 1,1,26181,
0.25,,Surface,6,Image 1,1,26182,
1,,Surface,6,Image 1,1,26183,
0.5,,Surface,6,Image 1,1,26184,
0.5,,Surface,6,Image 1,1,26185,
7,,Surface,6,Image 1,1,26186,
1,,Surface,6,Image 1,1,26189,
0.5,,Surface,6,Image 1,1,26190,
1,,Surface,6,Image 1,1,26192,
0.125,,Surface,6,Image 1,1,26193,
2,,Surface,6,Image 1,1,26194,
0.5,,Surface,6,Image 1,1,26195,
0.5,,Surface,6,Image 1,1,26196,
0.25,,Surface,6,Image 1,1,26197,
0.25,,Surface,6,Image 1,1,26198,
0.5,,Surface,6,Image 1,1,26199,
0.5,,Surface,6,Image 1,1,26200,
0.25,,Surface,6,Image 1,1,26201,
0.5,,Surface,6,Image 1,1,26203,
0.5,,Surface,6,Image 1,1,26204,
0.5,,Surface,6,Image 1,1,26205,
1,,Surface,6,Image 1,1,26206,
0.25,,Surface,6,Image 1,1,26207,
2,,Surface,6,Image 1,1,26208,
0.25,,Surface,6,Image 1,1,26209,
0.25,,Surface,6,Image 1,1,26211,
1,,Surface,6,Image 1,1,26212,
95,,Surface,6,Image 1,1,26213,
0.25,,Surface,6,Image 1,1,26214,
0.25,,Surface,6,Image 1,1,26215,
0.5,,Surface,6,Image 1,1,26216,
0.25,,Surface,6,Image 1,1,26217,
1,,Surface,6,Image 1,1,26218,
0.25,,Surface,6,Image 1,1,26219,
1,,Surface,6,Image 1,1,26220,
0.25,,Surface,6,Image 1,1,26221,
1,,Surface,6,Image 1,1,26222,
0.125,,Surface,6,Image 1,1,26225,
0.25,,Surface,6,Image 1,1,26226,
2,,Surface,6,Image 1,1,26227,
54,,Surface,6,Image 1,1,26228,
0.5,,Surface,6,Image 1,1,26229,
0.5,,Surface,6,Image 1,1,26230,
0.5,,Surface,6,Image 1,1,26231,
0.25,,Surface,6,Image 1,1,26232,
0.5,,Surface,6,Image 1,1,26233,
35,,Surface,6,Image 1,1,26235,
0.5,,Surface,6,Image 1,1,26236,
0.25,,Surface,6,Image 1,1,26237,
0.5,,Surface,6,Image 1,1,26238,
0.5,,Surface,6,Image 1,1,26241,
0.25,,Surface,6,Image 1,1,26242,
1,,Surface,6,Image 1,1,26245,
2,,Surface,6,Image 1,1,26246,
0.5,,Surface,6,Image 1,1,26247,
0.5,,Surface,6,Image 1,1,26248,
0.25,,Surface,6,Image 1,1,26249,
0.5,,Surface,6,Image 1,1,26250,
0.25,,Surface,6,Image 1,1,26251,
2,,Surface,6,Image 1,1,26252,
1,,Surface,6,Image 1,1,26253,
0.25,,Surface,6,Image 1,1,26254,
1,,Surface,6,Image 1,1,26255,
0.25,,Surface,6,Image 1,1,26256,
0.5,,Surface,6,Image 1,1,26258,
2,,Surface,6,Image 1,1,26259,
0.25,,Surface,6,Image 1,1,26260,
0.5,,Surface,6,Image 1,1,26261,
0.5,,Surface,6,Image 1,1,26262,
0.5,,Surface,6,Image 1,1,26263,
30,,Surface,6,Image 1,1,26264,
2,,Surface,6,Image 1,1,26265,
0.25,,Surface,6,Image 1,1,26266,
0.5,,Surface,6,Image 1,1,26267,
0.25,,Surface,6,Image 1,1,26268,
0.125,,Surface,6,Image 1,1,26269,
0.25,,Surface,6,Image 1,1,26270,
0.5,,Surface,6,Image 1,1,26271,
0.25,,Surface,6,Image 1,1,26272,
2,,Surface,6,Image 1,1,26273,
54,,Surface,6,Image 1,1,26274,
1,,Surface,6,Image 1,1,26275,
158,,Surface,6,Image 1,1,26276,
0.25,,Surface,6,Image 1,1,26277,
26,,Surface,6,Image 1,1,26279,
2,,Surface,6,Image 1,1,26280,
0.5,,Surface,6,Image 1,1,26281,
0.5,,Surface,6,Image 1,1,26282,
0.5,,Surface,6,Image 1,1,26283,
0.5,,Surface,6,Image 1,1,26284,
2,,Surface,6,Image 1,1,26285,
1,,Surface,6,Image 1,1,26286,
1,,Surface,6,Image 1,1,26287,
194,,Surface,6,Image 1,1,26289,
0.25,,Surface,6,Image 1,1,26290,
0.25,,Surface,6,Image 1,1,26291,
2,,Surface,6,Image 1,1,26292,
0.125,,Surface,6,Image 1,1,26294,
2,,Surface,6,Image 1,1,26295,
1,,Surface,6,Image 1,1,26296,
1,,Surface,6,Image 1,1,26297,
172,,Surface,6,Image 1,1,26298,
200,,Surface,6,Image 1,1,26299,
10,,Surface,6,Image 1,1,26301,
68,,Surface,6,Image 1,1,26304,
0.25,,Surface,6,Image 1,1,26305,
0.5,,Surface,6,Image 1,1,26307,
1,,Surface,6,Image 1,1,26308,
26,,Surface,6,Image 1,1,26309,
1,,Surface,6,Image 1,1,26310,
2,,Surface,6,Image 1,1,26311,
290,,Surface,6,Image 1,1,26312,
0.25,,Surface,6,Image 1,1,26313,
0.25,,Surface,6,Image 1,1,26315,
0.5,,Surface,6,Image 1,1,26317,
6.5,,Surface,6,Image 1,1,26318,
1,,Surface,6,Image 1,1,26319,
36,,Surface,6,Image 1,1,26320,
0.25,,Surface,6,Image 1,1,26321,
124,,Surface,6,Image 1,1,26322,
2,,Surface,6,Image 1,1,26323,
98,,Surface,6,Image 1,1,26324,
0.5,,Surface,6,Image 1,1,26326,
154,,Surface,6,Image 1,1,26327,
4,,Surface,6,Image 1,1,26328,
1,,Surface,6,Image 1,1,26329,
0.25,,Surface,6,Image 1,1,26330,
0.5,,Surface,6,Image 1,1,26331,
0.25,,Surface,6,Image 1,1,26332,
2,,Surface,6,Image 1,1,26334,
0.5,,Surface,6,Image 1,1,26336,
1,,Surface,6,Image 1,1,26338,
0.25,,Surface,6,Image 1,1,26339,
0.25,,Surface,6,Image 1,1,26340,
1,,Surface,6,Image 1,1,26342,
0.5,,Surface,6,Image 1,1,26343,
1,,Surface,6,Image 1,1,26344,
89,,Surface,6,Image 1,1,26345,
2,,Surface,6,Image 1,1,26348,
0.5,,Surface,6,Image 1,1,26349,
1,,Surface,6,Image 1,1,26350,
2,,Surface,6,Image 1,1,26351,
0.5,,Surface,6,Image 1,1,26352,
0.25,,Surface,6,Image 1,1,26353,
0.25,,Surface,6,Image 1,1,26354,
0.5,,Surface,6,Image 1,1,26355,
0.5,,Surface,6,Image 1,1,26357,
0.25,,Surface,6,Image 1,1,26359,
0.5,,Surface,6,Image 1,1,26362,
0.5,,Surface,6,Image 1,1,26364,
1,,Surface,6,Image 1,1,26365,
0.5,,Surface,6,Image 1,1,26366,
0.5,,Surface,6,Image 1,1,26368,
0.5,,Surface,6,Image 1,1,26369,
2,,Surface,6,Image 1,1,26370,
2,,Surface,6,Image 1,1,26371,
0.25,,Surface,6,Image 1,1,26375,
76.5,,Surface,6,Image 1,1,26382,
0.5,,Surface,6,Image 1,1,26383,
3,,Surface,6,Image 1,1,26384,
0.125,,Surface,6,Image 1,1,26385,
0.25,,Surface,6,Image 1,1,26386,
0.25,,Surface,6,Image 1,1,26387,
0.25,,Surface,6,Image 1,1,26388,
0.5,,Surface,6,Image 1,1,26389,
0.25,,Surface,6,Image 1,1,26390,
0.5,,Surface,6,Image 1,1,26391,
0.25,,Surface,6,Image 1,1,26392,
1,,Surface,6,Image 1,1,26393,
1,,Surface,6,Image 1,1,26394,
0.5,,Surface,6,Image 1,1,26395,
0.125,,Surface,6,Image 1,1,26396,
0.5,,Surface,6,Image 1,1,26397,
1,,Surface,6,Image 1,1,26398,
0.25,,Surface,6,Image 1,1,26399,
4,,Surface,6,Image 1,1,26401,
0.5,,Surface,6,Image 1,1,26402,
