
Intensity Mean Ch=23 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
42.8406,,Surface,23,Image 1,1,26349,
63.2408,,Surface,23,Image 1,1,26350,
273.58,,Surface,23,Image 1,1,26351,
156.228,,Surface,23,Image 1,1,26352,
831.594,,Surface,23,Image 1,1,26353,
11.5315,,Surface,23,Image 1,1,26354,
22.7022,,Surface,23,Image 1,1,26355,
45.3875,,Surface,23,Image 1,1,26357,
96.0287,,Surface,23,Image 1,1,26359,
269.001,,Surface,23,Image 1,1,26362,
55.3862,,Surface,23,Image 1,1,26364,
47.0948,,Surface,23,Image 1,1,26365,
70.0388,,Surface,23,Image 1,1,26366,
85.7922,,Surface,23,Image 1,1,26368,
44.8761,,Surface,23,Image 1,1,26369,
64.5292,,Surface,23,Image 1,1,26370,
116.28,,Surface,23,Image 1,1,26371,
878.189,,Surface,23,Image 1,1,26375,
61.0993,,Surface,23,Image 1,1,26382,
660.501,,Surface,23,Image 1,1,26383,
198.824,,Surface,23,Image 1,1,26384,
855.598,,Surface,23,Image 1,1,26385,
477.078,,Surface,23,Image 1,1,26386,
18.3197,,Surface,23,Image 1,1,26387,
93.9609,,Surface,23,Image 1,1,26388,
1065.88,,Surface,23,Image 1,1,26389,
33.078,,Surface,23,Image 1,1,26390,
111.724,,Surface,23,Image 1,1,26391,
28.0287,,Surface,23,Image 1,1,26392,
564.684,,Surface,23,Image 1,1,26393,
164.958,,Surface,23,Image 1,1,26394,
43.7479,,Surface,23,Image 1,1,26395,
11.3391,,Surface,23,Image 1,1,26396,
1394.67,,Surface,23,Image 1,1,26397,
128.963,,Surface,23,Image 1,1,26398,
69.3357,,Surface,23,Image 1,1,26399,
155.587,,Surface,23,Image 1,1,26401,
85.029,,Surface,23,Image 1,1,26402,
90.5698,,Surface,23,Image 1,1,26404,
26.0293,,Surface,23,Image 1,1,26406,
36.8493,,Surface,23,Image 1,1,26407,
75.6123,,Surface,23,Image 1,1,26408,
67.6296,,Surface,23,Image 1,1,26409,
83.7531,,Surface,23,Image 1,1,26410,
871.111,,Surface,23,Image 1,1,26411,
17.9316,,Surface,23,Image 1,1,26412,
197.258,,Surface,23,Image 1,1,26413,
32.34,,Surface,23,Image 1,1,26414,
80.9599,,Surface,23,Image 1,1,26415,
267.993,,Surface,23,Image 1,1,26417,
35.4615,,Surface,23,Image 1,1,26418,
177.048,,Surface,23,Image 1,1,26419,
100.119,,Surface,23,Image 1,1,26420,
140.836,,Surface,23,Image 1,1,26421,
149.468,,Surface,23,Image 1,1,26423,
435.057,,Surface,23,Image 1,1,26425,
89.1357,,Surface,23,Image 1,1,26426,
1225.3,,Surface,23,Image 1,1,26427,
61.2227,,Surface,23,Image 1,1,26428,
57.1427,,Surface,23,Image 1,1,26429,
851.749,,Surface,23,Image 1,1,26430,
1102.62,,Surface,23,Image 1,1,26431,
205.048,,Surface,23,Image 1,1,26432,
130.638,,Surface,23,Image 1,1,26433,
1329.09,,Surface,23,Image 1,1,26434,
170.177,,Surface,23,Image 1,1,26435,
1119.78,,Surface,23,Image 1,1,26436,
191.744,,Surface,23,Image 1,1,26437,
541.06,,Surface,23,Image 1,1,26438,
121.851,,Surface,23,Image 1,1,26439,
101.549,,Surface,23,Image 1,1,26440,
671.866,,Surface,23,Image 1,1,26441,
38.7772,,Surface,23,Image 1,1,26442,
73.4198,,Surface,23,Image 1,1,26443,
87.8773,,Surface,23,Image 1,1,26444,
59.5194,,Surface,23,Image 1,1,26446,
121.204,,Surface,23,Image 1,1,26448,
143.94,,Surface,23,Image 1,1,26451,
339.207,,Surface,23,Image 1,1,26452,
155.935,,Surface,23,Image 1,1,26453,
134.735,,Surface,23,Image 1,1,26456,
58.7564,,Surface,23,Image 1,1,26457,
1238.37,,Surface,23,Image 1,1,26458,
122.757,,Surface,23,Image 1,1,26459,
37.0098,,Surface,23,Image 1,1,26460,
30.8675,,Surface,23,Image 1,1,26461,
866.18,,Surface,23,Image 1,1,26462,
107.757,,Surface,23,Image 1,1,26463,
98.3654,,Surface,23,Image 1,1,26464,
137.002,,Surface,23,Image 1,1,26465,
188.865,,Surface,23,Image 1,1,26466,
44.592,,Surface,23,Image 1,1,26467,
1116.21,,Surface,23,Image 1,1,26468,
372.723,,Surface,23,Image 1,1,26469,
109.831,,Surface,23,Image 1,1,26471,
1437.06,,Surface,23,Image 1,1,26472,
151.897,,Surface,23,Image 1,1,26473,
42.9348,,Surface,23,Image 1,1,26474,
75.0323,,Surface,23,Image 1,1,26475,
81.1733,,Surface,23,Image 1,1,26476,
169.849,,Surface,23,Image 1,1,26477,
46.8929,,Surface,23,Image 1,1,26478,
986.604,,Surface,23,Image 1,1,26480,
101.279,,Surface,23,Image 1,1,26481,
37.5847,,Surface,23,Image 1,1,26482,
41.534,,Surface,23,Image 1,1,26483,
82.9854,,Surface,23,Image 1,1,26484,
54.0868,,Surface,23,Image 1,1,26485,
30.8779,,Surface,23,Image 1,1,26486,
45.8142,,Surface,23,Image 1,1,26487,
41.0004,,Surface,23,Image 1,1,26488,
660.898,,Surface,23,Image 1,1,26489,
124.251,,Surface,23,Image 1,1,26490,
79.1729,,Surface,23,Image 1,1,26491,
72.7714,,Surface,23,Image 1,1,26492,
593.942,,Surface,23,Image 1,1,26493,
61.9157,,Surface,23,Image 1,1,26494,
605.999,,Surface,23,Image 1,1,26495,
665.638,,Surface,23,Image 1,1,26497,
66.2796,,Surface,23,Image 1,1,26498,
929.188,,Surface,23,Image 1,1,26499,
41.3782,,Surface,23,Image 1,1,26502,
253.238,,Surface,23,Image 1,1,26503,
200.063,,Surface,23,Image 1,1,26504,
69.9268,,Surface,23,Image 1,1,26506,
37.2299,,Surface,23,Image 1,1,26507,
38.336,,Surface,23,Image 1,1,26509,
128.15,,Surface,23,Image 1,1,26510,
417.025,,Surface,23,Image 1,1,26512,
290.815,,Surface,23,Image 1,1,26513,
642.326,,Surface,23,Image 1,1,26514,
63.6949,,Surface,23,Image 1,1,26515,
38.556,,Surface,23,Image 1,1,26516,
122.332,,Surface,23,Image 1,1,26517,
145.542,,Surface,23,Image 1,1,26518,
127.503,,Surface,23,Image 1,1,26521,
101.856,,Surface,23,Image 1,1,26522,
185.415,,Surface,23,Image 1,1,26523,
675.937,,Surface,23,Image 1,1,26524,
51.8058,,Surface,23,Image 1,1,26525,
11.2412,,Surface,23,Image 1,1,26526,
182.119,,Surface,23,Image 1,1,26527,
251.882,,Surface,23,Image 1,1,26528,
19.1923,,Surface,23,Image 1,1,26529,
72.1375,,Surface,23,Image 1,1,26530,
123.531,,Surface,23,Image 1,1,26531,
39.809,,Surface,23,Image 1,1,26532,
174.781,,Surface,23,Image 1,1,26533,
40.1827,,Surface,23,Image 1,1,26534,
149.203,,Surface,23,Image 1,1,26535,
886.111,,Surface,23,Image 1,1,26536,
112.299,,Surface,23,Image 1,1,26537,
70.6905,,Surface,23,Image 1,1,26538,
25.4316,,Surface,23,Image 1,1,26539,
20.362,,Surface,23,Image 1,1,26541,
82.636,,Surface,23,Image 1,1,26542,
142.41,,Surface,23,Image 1,1,26543,
167.291,,Surface,23,Image 1,1,26544,
20.7042,,Surface,23,Image 1,1,26545,
1425.37,,Surface,23,Image 1,1,26546,
24.805,,Surface,23,Image 1,1,26547,
195.821,,Surface,23,Image 1,1,26548,
56.7557,,Surface,23,Image 1,1,26549,
830.656,,Surface,23,Image 1,1,26550,
170.074,,Surface,23,Image 1,1,26551,
1363.18,,Surface,23,Image 1,1,26552,
158.312,,Surface,23,Image 1,1,26553,
151.062,,Surface,23,Image 1,1,26554,
12.3621,,Surface,23,Image 1,1,26555,
42.0023,,Surface,23,Image 1,1,26556,
111.071,,Surface,23,Image 1,1,26557,
214.544,,Surface,23,Image 1,1,26558,
158.989,,Surface,23,Image 1,1,26559,
109.553,,Surface,23,Image 1,1,26560,
67.3202,,Surface,23,Image 1,1,26561,
206.228,,Surface,23,Image 1,1,26562,
52.0352,,Surface,23,Image 1,1,26563,
48.9751,,Surface,23,Image 1,1,26564,
93.8632,,Surface,23,Image 1,1,26565,
67.1754,,Surface,23,Image 1,1,26567,
244.257,,Surface,23,Image 1,1,26568,
34.1058,,Surface,23,Image 1,1,26569,
86.3752,,Surface,23,Image 1,1,26570,
1032.19,,Surface,23,Image 1,1,26571,
80.9763,,Surface,23,Image 1,1,26572,
216.771,,Surface,23,Image 1,1,26573,
239.095,,Surface,23,Image 1,1,26574,
1677.38,,Surface,23,Image 1,1,26575,
56.3486,,Surface,23,Image 1,1,26576,
157.796,,Surface,23,Image 1,1,26577,
24.0611,,Surface,23,Image 1,1,26578,
70.0493,,Surface,23,Image 1,1,26580,
60.1846,,Surface,23,Image 1,1,26581,
105.167,,Surface,23,Image 1,1,26582,
102.257,,Surface,23,Image 1,1,26583,
108.575,,Surface,23,Image 1,1,26584,
105.587,,Surface,23,Image 1,1,26585,
183.735,,Surface,23,Image 1,1,26586,
2172.04,,Surface,23,Image 1,1,26587,
58.5886,,Surface,23,Image 1,1,26589,
69.6234,,Surface,23,Image 1,1,26591,
713.11,,Surface,23,Image 1,1,26592,
66.9709,,Surface,23,Image 1,1,26593,
1445.33,,Surface,23,Image 1,1,26594,
1413.86,,Surface,23,Image 1,1,26595,
65.0583,,Surface,23,Image 1,1,26597,
778.899,,Surface,23,Image 1,1,26598,
70.0243,,Surface,23,Image 1,1,26599,
20.3364,,Surface,23,Image 1,1,26600,
97.5319,,Surface,23,Image 1,1,26601,
40.2058,,Surface,23,Image 1,1,26602,
114.933,,Surface,23,Image 1,1,26603,
108.783,,Surface,23,Image 1,1,26604,
45.2314,,Surface,23,Image 1,1,26606,
70.8751,,Surface,23,Image 1,1,26607,
