
Intensity Min Ch=28 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,28,Image 1,1,26181,
0,,Surface,28,Image 1,1,26182,
0,,Surface,28,Image 1,1,26183,
0,,Surface,28,Image 1,1,26184,
0,,Surface,28,Image 1,1,26185,
0,,Surface,28,Image 1,1,26186,
0,,Surface,28,Image 1,1,26189,
0,,Surface,28,Image 1,1,26190,
0,,Surface,28,Image 1,1,26192,
0,,Surface,28,Image 1,1,26193,
0,,Surface,28,Image 1,1,26194,
0,,Surface,28,Image 1,1,26195,
0,,Surface,28,Image 1,1,26196,
0,,Surface,28,Image 1,1,26197,
0,,Surface,28,Image 1,1,26198,
0,,Surface,28,Image 1,1,26199,
0,,Surface,28,Image 1,1,26200,
0,,Surface,28,Image 1,1,26201,
0,,Surface,28,Image 1,1,26203,
0,,Surface,28,Image 1,1,26204,
0,,Surface,28,Image 1,1,26205,
0,,Surface,28,Image 1,1,26206,
0,,Surface,28,Image 1,1,26207,
0,,Surface,28,Image 1,1,26208,
0,,Surface,28,Image 1,1,26209,
0,,Surface,28,Image 1,1,26211,
0,,Surface,28,Image 1,1,26212,
0,,Surface,28,Image 1,1,26213,
0,,Surface,28,Image 1,1,26214,
0,,Surface,28,Image 1,1,26215,
0,,Surface,28,Image 1,1,26216,
0,,Surface,28,Image 1,1,26217,
0,,Surface,28,Image 1,1,26218,
0,,Surface,28,Image 1,1,26219,
0,,Surface,28,Image 1,1,26220,
0,,Surface,28,Image 1,1,26221,
0,,Surface,28,Image 1,1,26222,
0,,Surface,28,Image 1,1,26225,
0,,Surface,28,Image 1,1,26226,
0,,Surface,28,Image 1,1,26227,
0,,Surface,28,Image 1,1,26228,
0,,Surface,28,Image 1,1,26229,
0,,Surface,28,Image 1,1,26230,
0,,Surface,28,Image 1,1,26231,
0,,Surface,28,Image 1,1,26232,
0,,Surface,28,Image 1,1,26233,
0,,Surface,28,Image 1,1,26235,
