
Intensity Median Ch=25 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1348,,Surface,25,Image 1,1,26366,
1348,,Surface,25,Image 1,1,26368,
1260,,Surface,25,Image 1,1,26369,
1492,,Surface,25,Image 1,1,26370,
1204,,Surface,25,Image 1,1,26371,
762,,Surface,25,Image 1,1,26375,
1180,,Surface,25,Image 1,1,26382,
1860,,Surface,25,Image 1,1,26383,
1372,,Surface,25,Image 1,1,26384,
1698,,Surface,25,Image 1,1,26385,
1372,,Surface,25,Image 1,1,26386,
2220,,Surface,25,Image 1,1,26387,
1284,,Surface,25,Image 1,1,26388,
1476,,Surface,25,Image 1,1,26389,
1250,,Surface,25,Image 1,1,26390,
1150,,Surface,25,Image 1,1,26391,
850,,Surface,25,Image 1,1,26392,
1564,,Surface,25,Image 1,1,26393,
2168,,Surface,25,Image 1,1,26394,
1500,,Surface,25,Image 1,1,26395,
1042,,Surface,25,Image 1,1,26396,
2152,,Surface,25,Image 1,1,26397,
1324,,Surface,25,Image 1,1,26398,
1716,,Surface,25,Image 1,1,26399,
748,,Surface,25,Image 1,1,26401,
1236,,Surface,25,Image 1,1,26402,
1636,,Surface,25,Image 1,1,26404,
1058,,Surface,25,Image 1,1,26406,
1452,,Surface,25,Image 1,1,26407,
1588,,Surface,25,Image 1,1,26408,
1732,,Surface,25,Image 1,1,26409,
886,,Surface,25,Image 1,1,26410,
1004,,Surface,25,Image 1,1,26411,
1276,,Surface,25,Image 1,1,26412,
1612,,Surface,25,Image 1,1,26413,
1644,,Surface,25,Image 1,1,26414,
1804,,Surface,25,Image 1,1,26415,
1372,,Surface,25,Image 1,1,26417,
1070,,Surface,25,Image 1,1,26418,
2428,,Surface,25,Image 1,1,26419,
1476,,Surface,25,Image 1,1,26420,
2068,,Surface,25,Image 1,1,26421,
1660,,Surface,25,Image 1,1,26423,
634,,Surface,25,Image 1,1,26425,
2124,,Surface,25,Image 1,1,26426,
1596,,Surface,25,Image 1,1,26427,
1156,,Surface,25,Image 1,1,26428,
1708,,Surface,25,Image 1,1,26429,
866,,Surface,25,Image 1,1,26430,
1188,,Surface,25,Image 1,1,26431,
1452,,Surface,25,Image 1,1,26432,
1180,,Surface,25,Image 1,1,26433,
1556,,Surface,25,Image 1,1,26434,
2040,,Surface,25,Image 1,1,26435,
1292,,Surface,25,Image 1,1,26436,
1364,,Surface,25,Image 1,1,26437,
1764,,Surface,25,Image 1,1,26438,
1588,,Surface,25,Image 1,1,26439,
2136,,Surface,25,Image 1,1,26440,
1928,,Surface,25,Image 1,1,26441,
1548,,Surface,25,Image 1,1,26442,
2392,,Surface,25,Image 1,1,26443,
1172,,Surface,25,Image 1,1,26444,
1572,,Surface,25,Image 1,1,26446,
1820,,Surface,25,Image 1,1,26448,
1652,,Surface,25,Image 1,1,26451,
1020,,Surface,25,Image 1,1,26452,
1124,,Surface,25,Image 1,1,26453,
1220,,Surface,25,Image 1,1,26456,
1540,,Surface,25,Image 1,1,26457,
766,,Surface,25,Image 1,1,26458,
1460,,Surface,25,Image 1,1,26459,
1428,,Surface,25,Image 1,1,26460,
1412,,Surface,25,Image 1,1,26461,
950,,Surface,25,Image 1,1,26462,
756,,Surface,25,Image 1,1,26463,
