
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.26935,,Surface,1,26428,
0.420899,,Surface,1,26429,
0.203258,,Surface,1,26430,
0.652305,,Surface,1,26431,
0.312133,,Surface,1,26432,
0.155326,,Surface,1,26433,
0.386062,,Surface,1,26434,
0.309129,,Surface,1,26435,
0.404946,,Surface,1,26436,
0.373608,,Surface,1,26437,
0.244982,,Surface,1,26438,
0.325164,,Surface,1,26439,
0.413854,,Surface,1,26440,
0.455151,,Surface,1,26441,
0.307004,,Surface,1,26442,
0.321904,,Surface,1,26443,
0.385244,,Surface,1,26444,
0.440551,,Surface,1,26446,
0.348606,,Surface,1,26448,
0.303657,,Surface,1,26451,
0.444639,,Surface,1,26452,
0.335201,,Surface,1,26453,
0.642426,,Surface,1,26456,
0.39198,,Surface,1,26457,
0.504658,,Surface,1,26458,
0.280437,,Surface,1,26459,
0.561548,,Surface,1,26460,
0.273819,,Surface,1,26461,
0.282765,,Surface,1,26462,
0.528531,,Surface,1,26463,
0.277282,,Surface,1,26464,
0.269629,,Surface,1,26465,
0.309338,,Surface,1,26466,
0.281253,,Surface,1,26467,
0.400373,,Surface,1,26468,
0.273579,,Surface,1,26469,
0.454751,,Surface,1,26471,
0.433053,,Surface,1,26472,
0.408524,,Surface,1,26473,
0.393747,,Surface,1,26474,
0.398889,,Surface,1,26475,
0.429476,,Surface,1,26476,
0.324341,,Surface,1,26477,
0.496269,,Surface,1,26478,
0.378345,,Surface,1,26480,
0.401525,,Surface,1,26481,
0.543814,,Surface,1,26482,
0.246102,,Surface,1,26483,
0.360441,,Surface,1,26484,
0.501309,,Surface,1,26485,
0.334306,,Surface,1,26486,
0.395444,,Surface,1,26487,
0.302531,,Surface,1,26488,
0.36758,,Surface,1,26489,
0.324342,,Surface,1,26490,
0.35748,,Surface,1,26491,
0.23871,,Surface,1,26492,
0.423363,,Surface,1,26493,
0.368656,,Surface,1,26494,
0.35481,,Surface,1,26495,
0.336776,,Surface,1,26497,
0.276343,,Surface,1,26498,
0.448129,,Surface,1,26499,
0.413888,,Surface,1,26502,
0.324814,,Surface,1,26503,
0.192404,,Surface,1,26504,
0.418173,,Surface,1,26506,
0.46479,,Surface,1,26507,
0.259816,,Surface,1,26509,
0.586616,,Surface,1,26510,
0.402184,,Surface,1,26512,
0.484147,,Surface,1,26513,
0.302179,,Surface,1,26514,
0.395959,,Surface,1,26515,
