
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
953.943,µm,Surface,Distance from Origin,1,26330,
958.978,µm,Surface,Distance from Origin,1,26331,
952.436,µm,Surface,Distance from Origin,1,26332,
961.663,µm,Surface,Distance from Origin,1,26334,
969.245,µm,Surface,Distance from Origin,1,26336,
970.859,µm,Surface,Distance from Origin,1,26338,
961.481,µm,Surface,Distance from Origin,1,26339,
961.658,µm,Surface,Distance from Origin,1,26340,
961.537,µm,Surface,Distance from Origin,1,26342,
969.304,µm,Surface,Distance from Origin,1,26343,
966.308,µm,Surface,Distance from Origin,1,26344,
968.961,µm,Surface,Distance from Origin,1,26345,
972.683,µm,Surface,Distance from Origin,1,26348,
971.873,µm,Surface,Distance from Origin,1,26349,
964.624,µm,Surface,Distance from Origin,1,26350,
974.254,µm,Surface,Distance from Origin,1,26351,
961.25,µm,Surface,Distance from Origin,1,26352,
963.92,µm,Surface,Distance from Origin,1,26353,
962.299,µm,Surface,Distance from Origin,1,26354,
966.404,µm,Surface,Distance from Origin,1,26355,
977.275,µm,Surface,Distance from Origin,1,26357,
980.211,µm,Surface,Distance from Origin,1,26359,
988.241,µm,Surface,Distance from Origin,1,26362,
988.134,µm,Surface,Distance from Origin,1,26364,
988.93,µm,Surface,Distance from Origin,1,26365,
984.014,µm,Surface,Distance from Origin,1,26366,
996.959,µm,Surface,Distance from Origin,1,26368,
989.058,µm,Surface,Distance from Origin,1,26369,
997.947,µm,Surface,Distance from Origin,1,26370,
996.036,µm,Surface,Distance from Origin,1,26371,
990.155,µm,Surface,Distance from Origin,1,26375,
886.479,µm,Surface,Distance from Origin,1,26382,
878.59,µm,Surface,Distance from Origin,1,26383,
881.406,µm,Surface,Distance from Origin,1,26384,
863.935,µm,Surface,Distance from Origin,1,26385,
887.113,µm,Surface,Distance from Origin,1,26386,
869.955,µm,Surface,Distance from Origin,1,26387,
876.722,µm,Surface,Distance from Origin,1,26388,
883.622,µm,Surface,Distance from Origin,1,26389,
873.594,µm,Surface,Distance from Origin,1,26390,
885.314,µm,Surface,Distance from Origin,1,26391,
867.968,µm,Surface,Distance from Origin,1,26392,
883.115,µm,Surface,Distance from Origin,1,26393,
882.626,µm,Surface,Distance from Origin,1,26394,
869.415,µm,Surface,Distance from Origin,1,26395,
871.228,µm,Surface,Distance from Origin,1,26396,
880.325,µm,Surface,Distance from Origin,1,26397,
881.764,µm,Surface,Distance from Origin,1,26398,
875.757,µm,Surface,Distance from Origin,1,26399,
887.073,µm,Surface,Distance from Origin,1,26401,
877.142,µm,Surface,Distance from Origin,1,26402,
880.603,µm,Surface,Distance from Origin,1,26404,
873.547,µm,Surface,Distance from Origin,1,26406,
883.49,µm,Surface,Distance from Origin,1,26407,
876.77,µm,Surface,Distance from Origin,1,26408,
878.938,µm,Surface,Distance from Origin,1,26409,
881.154,µm,Surface,Distance from Origin,1,26410,
886.474,µm,Surface,Distance from Origin,1,26411,
875.887,µm,Surface,Distance from Origin,1,26412,
877.844,µm,Surface,Distance from Origin,1,26413,
878.51,µm,Surface,Distance from Origin,1,26414,
880.732,µm,Surface,Distance from Origin,1,26415,
883.106,µm,Surface,Distance from Origin,1,26417,
878.12,µm,Surface,Distance from Origin,1,26418,
893.609,µm,Surface,Distance from Origin,1,26419,
886.773,µm,Surface,Distance from Origin,1,26420,
893.275,µm,Surface,Distance from Origin,1,26421,
892.274,µm,Surface,Distance from Origin,1,26423,
874.818,µm,Surface,Distance from Origin,1,26425,
894.652,µm,Surface,Distance from Origin,1,26426,
889.468,µm,Surface,Distance from Origin,1,26427,
893.187,µm,Surface,Distance from Origin,1,26428,
880.977,µm,Surface,Distance from Origin,1,26429,
885.989,µm,Surface,Distance from Origin,1,26430,
896.659,µm,Surface,Distance from Origin,1,26431,
887.544,µm,Surface,Distance from Origin,1,26432,
893.394,µm,Surface,Distance from Origin,1,26433,
890.66,µm,Surface,Distance from Origin,1,26434,
895.642,µm,Surface,Distance from Origin,1,26435,
892.127,µm,Surface,Distance from Origin,1,26436,
881.731,µm,Surface,Distance from Origin,1,26437,
891.796,µm,Surface,Distance from Origin,1,26438,
890.081,µm,Surface,Distance from Origin,1,26439,
888.484,µm,Surface,Distance from Origin,1,26440,
899.458,µm,Surface,Distance from Origin,1,26441,
885.239,µm,Surface,Distance from Origin,1,26442,
891.566,µm,Surface,Distance from Origin,1,26443,
892.027,µm,Surface,Distance from Origin,1,26444,
889.506,µm,Surface,Distance from Origin,1,26446,
896.623,µm,Surface,Distance from Origin,1,26448,
900.226,µm,Surface,Distance from Origin,1,26451,
897.459,µm,Surface,Distance from Origin,1,26452,
885.183,µm,Surface,Distance from Origin,1,26453,
900.891,µm,Surface,Distance from Origin,1,26456,
889.209,µm,Surface,Distance from Origin,1,26457,
884.96,µm,Surface,Distance from Origin,1,26458,
890.742,µm,Surface,Distance from Origin,1,26459,
896.38,µm,Surface,Distance from Origin,1,26460,
891.582,µm,Surface,Distance from Origin,1,26461,
892.521,µm,Surface,Distance from Origin,1,26462,
890.545,µm,Surface,Distance from Origin,1,26463,
899.25,µm,Surface,Distance from Origin,1,26464,
883.554,µm,Surface,Distance from Origin,1,26465,
897.695,µm,Surface,Distance from Origin,1,26466,
892.364,µm,Surface,Distance from Origin,1,26467,
901.738,µm,Surface,Distance from Origin,1,26468,
899.239,µm,Surface,Distance from Origin,1,26469,
897.796,µm,Surface,Distance from Origin,1,26471,
891.755,µm,Surface,Distance from Origin,1,26472,
898.04,µm,Surface,Distance from Origin,1,26473,
902.657,µm,Surface,Distance from Origin,1,26474,
889.515,µm,Surface,Distance from Origin,1,26475,
893.446,µm,Surface,Distance from Origin,1,26476,
891.177,µm,Surface,Distance from Origin,1,26477,
892.811,µm,Surface,Distance from Origin,1,26478,
901.575,µm,Surface,Distance from Origin,1,26480,
899.586,µm,Surface,Distance from Origin,1,26481,
899.447,µm,Surface,Distance from Origin,1,26482,
905.347,µm,Surface,Distance from Origin,1,26483,
903.54,µm,Surface,Distance from Origin,1,26484,
903.955,µm,Surface,Distance from Origin,1,26485,
892.047,µm,Surface,Distance from Origin,1,26486,
897.323,µm,Surface,Distance from Origin,1,26487,
898.767,µm,Surface,Distance from Origin,1,26488,
905.566,µm,Surface,Distance from Origin,1,26489,
898.008,µm,Surface,Distance from Origin,1,26490,
906.177,µm,Surface,Distance from Origin,1,26491,
898.855,µm,Surface,Distance from Origin,1,26492,
892.511,µm,Surface,Distance from Origin,1,26493,
897.028,µm,Surface,Distance from Origin,1,26494,
904.844,µm,Surface,Distance from Origin,1,26495,
895.872,µm,Surface,Distance from Origin,1,26497,
