
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,7730,,1,,
Number of Surfaces per Time Point,7730,,1,,
Total Number of Disconnected Components,7730,,,,
Total Number of Surfaces,7730,,,,
