
Area
 ==================== 
Area,Unit,Category,Time,ID,
263.966,µm^2,Surface,1,26391,
268.662,µm^2,Surface,1,26392,
595.597,µm^2,Surface,1,26393,
581.652,µm^2,Surface,1,26394,
290.921,µm^2,Surface,1,26395,
221.507,µm^2,Surface,1,26396,
340.695,µm^2,Surface,1,26397,
387.029,µm^2,Surface,1,26398,
437.516,µm^2,Surface,1,26399,
633.464,µm^2,Surface,1,26401,
263.835,µm^2,Surface,1,26402,
323.425,µm^2,Surface,1,26404,
287.556,µm^2,Surface,1,26406,
467.198,µm^2,Surface,1,26407,
452.424,µm^2,Surface,1,26408,
238.506,µm^2,Surface,1,26409,
243.436,µm^2,Surface,1,26410,
511.698,µm^2,Surface,1,26411,
466.982,µm^2,Surface,1,26412,
270.418,µm^2,Surface,1,26413,
495.288,µm^2,Surface,1,26414,
293.665,µm^2,Surface,1,26415,
469.838,µm^2,Surface,1,26417,
236.74,µm^2,Surface,1,26418,
721.466,µm^2,Surface,1,26419,
175.15,µm^2,Surface,1,26420,
313.158,µm^2,Surface,1,26421,
465.701,µm^2,Surface,1,26423,
151.884,µm^2,Surface,1,26425,
323.813,µm^2,Surface,1,26426,
396.622,µm^2,Surface,1,26427,
643.093,µm^2,Surface,1,26428,
241.452,µm^2,Surface,1,26429,
336.019,µm^2,Surface,1,26430,
405.626,µm^2,Surface,1,26431,
253.092,µm^2,Surface,1,26432,
213.795,µm^2,Surface,1,26433,
415.347,µm^2,Surface,1,26434,
599.667,µm^2,Surface,1,26435,
369.191,µm^2,Surface,1,26436,
240.415,µm^2,Surface,1,26437,
747.932,µm^2,Surface,1,26438,
192.778,µm^2,Surface,1,26439,
522.66,µm^2,Surface,1,26440,
940.957,µm^2,Surface,1,26441,
340.056,µm^2,Surface,1,26442,
251.466,µm^2,Surface,1,26443,
409.108,µm^2,Surface,1,26444,
201.772,µm^2,Surface,1,26446,
356.391,µm^2,Surface,1,26448,
669.022,µm^2,Surface,1,26451,
236.441,µm^2,Surface,1,26452,
270.534,µm^2,Surface,1,26453,
692.05,µm^2,Surface,1,26456,
442.938,µm^2,Surface,1,26457,
177.019,µm^2,Surface,1,26458,
261.757,µm^2,Surface,1,26459,
470.559,µm^2,Surface,1,26460,
289.919,µm^2,Surface,1,26461,
76.0955,µm^2,Surface,1,26462,
129.271,µm^2,Surface,1,26463,
754.857,µm^2,Surface,1,26464,
223.06,µm^2,Surface,1,26465,
306.535,µm^2,Surface,1,26466,
233.982,µm^2,Surface,1,26467,
707.616,µm^2,Surface,1,26468,
189.364,µm^2,Surface,1,26469,
293.332,µm^2,Surface,1,26471,
280.096,µm^2,Surface,1,26472,
188.431,µm^2,Surface,1,26473,
284.348,µm^2,Surface,1,26474,
222.711,µm^2,Surface,1,26475,
253.797,µm^2,Surface,1,26476,
254.685,µm^2,Surface,1,26477,
554.208,µm^2,Surface,1,26478,
277.956,µm^2,Surface,1,26480,
309.05,µm^2,Surface,1,26481,
438.135,µm^2,Surface,1,26482,
953.038,µm^2,Surface,1,26483,
342.501,µm^2,Surface,1,26484,
254.611,µm^2,Surface,1,26485,
214.532,µm^2,Surface,1,26486,
319.189,µm^2,Surface,1,26487,
578.688,µm^2,Surface,1,26488,
225.105,µm^2,Surface,1,26489,
428.094,µm^2,Surface,1,26490,
270.763,µm^2,Surface,1,26491,
259.748,µm^2,Surface,1,26492,
398.476,µm^2,Surface,1,26493,
223.671,µm^2,Surface,1,26494,
368.216,µm^2,Surface,1,26495,
348.263,µm^2,Surface,1,26497,
234.513,µm^2,Surface,1,26498,
498.281,µm^2,Surface,1,26499,
375.218,µm^2,Surface,1,26502,
290.213,µm^2,Surface,1,26503,
339.284,µm^2,Surface,1,26504,
311.319,µm^2,Surface,1,26506,
94.0428,µm^2,Surface,1,26507,
287.032,µm^2,Surface,1,26509,
393.783,µm^2,Surface,1,26510,
803.948,µm^2,Surface,1,26512,
355.683,µm^2,Surface,1,26513,
689.677,µm^2,Surface,1,26514,
247.166,µm^2,Surface,1,26515,
263.531,µm^2,Surface,1,26516,
238.042,µm^2,Surface,1,26517,
413.357,µm^2,Surface,1,26518,
368.812,µm^2,Surface,1,26521,
287.799,µm^2,Surface,1,26522,
471.547,µm^2,Surface,1,26523,
470.82,µm^2,Surface,1,26524,
373.342,µm^2,Surface,1,26525,
336.893,µm^2,Surface,1,26526,
313.066,µm^2,Surface,1,26527,
160.605,µm^2,Surface,1,26528,
332.101,µm^2,Surface,1,26529,
231.407,µm^2,Surface,1,26530,
575.714,µm^2,Surface,1,26531,
243.711,µm^2,Surface,1,26532,
244.035,µm^2,Surface,1,26533,
260.533,µm^2,Surface,1,26534,
441.143,µm^2,Surface,1,26535,
213.297,µm^2,Surface,1,26536,
232.095,µm^2,Surface,1,26537,
250.403,µm^2,Surface,1,26538,
155.854,µm^2,Surface,1,26539,
206.234,µm^2,Surface,1,26541,
298.391,µm^2,Surface,1,26542,
585.299,µm^2,Surface,1,26543,
176.822,µm^2,Surface,1,26544,
456.956,µm^2,Surface,1,26545,
249.947,µm^2,Surface,1,26546,
192.846,µm^2,Surface,1,26547,
209.594,µm^2,Surface,1,26548,
131.39,µm^2,Surface,1,26549,
266.993,µm^2,Surface,1,26550,
247.169,µm^2,Surface,1,26551,
304.124,µm^2,Surface,1,26552,
199.296,µm^2,Surface,1,26553,
315.045,µm^2,Surface,1,26554,
333.416,µm^2,Surface,1,26555,
220.707,µm^2,Surface,1,26556,
316.714,µm^2,Surface,1,26557,
296.299,µm^2,Surface,1,26558,
418.079,µm^2,Surface,1,26559,
291.698,µm^2,Surface,1,26560,
492.859,µm^2,Surface,1,26561,
233.587,µm^2,Surface,1,26562,
241.638,µm^2,Surface,1,26563,
241.401,µm^2,Surface,1,26564,
463.448,µm^2,Surface,1,26565,
392.832,µm^2,Surface,1,26567,
345.841,µm^2,Surface,1,26568,
306.292,µm^2,Surface,1,26569,
348.429,µm^2,Surface,1,26570,
324.088,µm^2,Surface,1,26571,
305.741,µm^2,Surface,1,26572,
490.789,µm^2,Surface,1,26573,
312.286,µm^2,Surface,1,26574,
328.887,µm^2,Surface,1,26575,
728.716,µm^2,Surface,1,26576,
403.407,µm^2,Surface,1,26577,
369.61,µm^2,Surface,1,26578,
167.738,µm^2,Surface,1,26580,
184.651,µm^2,Surface,1,26581,
