
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
634.64,µm,Surface,Position,1,26383,
690.124,µm,Surface,Position,1,26384,
644.96,µm,Surface,Position,1,26385,
540.636,µm,Surface,Position,1,26386,
572.584,µm,Surface,Position,1,26387,
558.527,µm,Surface,Position,1,26388,
570.184,µm,Surface,Position,1,26389,
535.153,µm,Surface,Position,1,26390,
526.766,µm,Surface,Position,1,26391,
581.643,µm,Surface,Position,1,26392,
669.775,µm,Surface,Position,1,26393,
640.887,µm,Surface,Position,1,26394,
626.682,µm,Surface,Position,1,26395,
562.118,µm,Surface,Position,1,26396,
649.422,µm,Surface,Position,1,26397,
657.87,µm,Surface,Position,1,26398,
647.169,µm,Surface,Position,1,26399,
655.755,µm,Surface,Position,1,26401,
675.184,µm,Surface,Position,1,26402,
578.927,µm,Surface,Position,1,26404,
583.234,µm,Surface,Position,1,26406,
556.528,µm,Surface,Position,1,26407,
639.503,µm,Surface,Position,1,26408,
653.36,µm,Surface,Position,1,26409,
702.083,µm,Surface,Position,1,26410,
681.003,µm,Surface,Position,1,26411,
664.216,µm,Surface,Position,1,26412,
643.978,µm,Surface,Position,1,26413,
653.333,µm,Surface,Position,1,26414,
589.398,µm,Surface,Position,1,26415,
570.559,µm,Surface,Position,1,26417,
557.554,µm,Surface,Position,1,26418,
560.818,µm,Surface,Position,1,26419,
701.648,µm,Surface,Position,1,26420,
705.416,µm,Surface,Position,1,26421,
674.11,µm,Surface,Position,1,26423,
572.086,µm,Surface,Position,1,26425,
701.914,µm,Surface,Position,1,26426,
649.863,µm,Surface,Position,1,26427,
706.972,µm,Surface,Position,1,26428,
620.562,µm,Surface,Position,1,26429,
684.523,µm,Surface,Position,1,26430,
552.381,µm,Surface,Position,1,26431,
695.497,µm,Surface,Position,1,26432,
695.567,µm,Surface,Position,1,26433,
634.331,µm,Surface,Position,1,26434,
687.036,µm,Surface,Position,1,26435,
603.418,µm,Surface,Position,1,26436,
627.159,µm,Surface,Position,1,26437,
619.145,µm,Surface,Position,1,26438,
660.037,µm,Surface,Position,1,26439,
646.831,µm,Surface,Position,1,26440,
648.021,µm,Surface,Position,1,26441,
605.904,µm,Surface,Position,1,26442,
621.993,µm,Surface,Position,1,26443,
579.466,µm,Surface,Position,1,26444,
640.065,µm,Surface,Position,1,26446,
591.629,µm,Surface,Position,1,26448,
586.736,µm,Surface,Position,1,26451,
573.146,µm,Surface,Position,1,26452,
651.235,µm,Surface,Position,1,26453,
676.577,µm,Surface,Position,1,26456,
641.092,µm,Surface,Position,1,26457,
562.827,µm,Surface,Position,1,26458,
600.213,µm,Surface,Position,1,26459,
557.892,µm,Surface,Position,1,26460,
589.949,µm,Surface,Position,1,26461,
691.497,µm,Surface,Position,1,26462,
697.735,µm,Surface,Position,1,26463,
703.051,µm,Surface,Position,1,26464,
