
Intensity Sum Ch=9 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7.33414e+08,,Surface,9,Image 1,1,26324,
1.48658e+09,,Surface,9,Image 1,1,26326,
3.98419e+08,,Surface,9,Image 1,1,26327,
9.47837e+08,,Surface,9,Image 1,1,26328,
5.08645e+08,,Surface,9,Image 1,1,26329,
5.98615e+08,,Surface,9,Image 1,1,26330,
6.97635e+08,,Surface,9,Image 1,1,26331,
1.29551e+08,,Surface,9,Image 1,1,26332,
1.01576e+09,,Surface,9,Image 1,1,26334,
2.45017e+09,,Surface,9,Image 1,1,26336,
1.59693e+09,,Surface,9,Image 1,1,26338,
5.3152e+08,,Surface,9,Image 1,1,26339,
5.4059e+08,,Surface,9,Image 1,1,26340,
4.40345e+08,,Surface,9,Image 1,1,26342,
8.86562e+08,,Surface,9,Image 1,1,26343,
8.04606e+08,,Surface,9,Image 1,1,26344,
4.87327e+08,,Surface,9,Image 1,1,26345,
3.86808e+08,,Surface,9,Image 1,1,26348,
1.05874e+09,,Surface,9,Image 1,1,26349,
2.37583e+08,,Surface,9,Image 1,1,26350,
1.49065e+09,,Surface,9,Image 1,1,26351,
7.65186e+07,,Surface,9,Image 1,1,26352,
1.23848e+08,,Surface,9,Image 1,1,26353,
9.1289e+07,,Surface,9,Image 1,1,26354,
9.9203e+07,,Surface,9,Image 1,1,26355,
1.56743e+09,,Surface,9,Image 1,1,26357,
1.36116e+09,,Surface,9,Image 1,1,26359,
8.47978e+08,,Surface,9,Image 1,1,26362,
1.51802e+09,,Surface,9,Image 1,1,26364,
6.08551e+08,,Surface,9,Image 1,1,26365,
7.78011e+08,,Surface,9,Image 1,1,26366,
1.13189e+09,,Surface,9,Image 1,1,26368,
5.67294e+08,,Surface,9,Image 1,1,26369,
9.56698e+08,,Surface,9,Image 1,1,26370,
6.50648e+08,,Surface,9,Image 1,1,26371,
3.5499e+08,,Surface,9,Image 1,1,26375,
6.52546e+08,,Surface,9,Image 1,1,26382,
4.45384e+09,,Surface,9,Image 1,1,26383,
6.80613e+08,,Surface,9,Image 1,1,26384,
3.33567e+08,,Surface,9,Image 1,1,26385,
1.63822e+09,,Surface,9,Image 1,1,26386,
1.15458e+09,,Surface,9,Image 1,1,26387,
7.18302e+08,,Surface,9,Image 1,1,26388,
2.46402e+09,,Surface,9,Image 1,1,26389,
4.9808e+08,,Surface,9,Image 1,1,26390,
6.09876e+08,,Surface,9,Image 1,1,26391,
3.00278e+08,,Surface,9,Image 1,1,26392,
2.28208e+09,,Surface,9,Image 1,1,26393,
2.98849e+09,,Surface,9,Image 1,1,26394,
7.10419e+08,,Surface,9,Image 1,1,26395,
3.33401e+08,,Surface,9,Image 1,1,26396,
1.85899e+09,,Surface,9,Image 1,1,26397,
9.14681e+08,,Surface,9,Image 1,1,26398,
1.31555e+09,,Surface,9,Image 1,1,26399,
1.52715e+09,,Surface,9,Image 1,1,26401,
6.78053e+08,,Surface,9,Image 1,1,26402,
1.07414e+09,,Surface,9,Image 1,1,26404,
4.69775e+08,,Surface,9,Image 1,1,26406,
1.30359e+09,,Surface,9,Image 1,1,26407,
1.39381e+09,,Surface,9,Image 1,1,26408,
8.89827e+08,,Surface,9,Image 1,1,26409,
3.93177e+08,,Surface,9,Image 1,1,26410,
9.09937e+08,,Surface,9,Image 1,1,26411,
1.03484e+09,,Surface,9,Image 1,1,26412,
7.42981e+08,,Surface,9,Image 1,1,26413,
1.54611e+09,,Surface,9,Image 1,1,26414,
9.79848e+08,,Surface,9,Image 1,1,26415,
1.22206e+09,,Surface,9,Image 1,1,26417,
3.44654e+08,,Surface,9,Image 1,1,26418,
3.95218e+09,,Surface,9,Image 1,1,26419,
4.10415e+08,,Surface,9,Image 1,1,26420,
1.24755e+09,,Surface,9,Image 1,1,26421,
