
Intensity Sum of Square Ch=29 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.49979e+12,,Surface,29,Image 1,1,26323,
1.64828e+12,,Surface,29,Image 1,1,26324,
4.23617e+12,,Surface,29,Image 1,1,26326,
4.58858e+11,,Surface,29,Image 1,1,26327,
2.33963e+12,,Surface,29,Image 1,1,26328,
8.34984e+11,,Surface,29,Image 1,1,26329,
8.27119e+11,,Surface,29,Image 1,1,26330,
1.15569e+12,,Surface,29,Image 1,1,26331,
1.94922e+11,,Surface,29,Image 1,1,26332,
1.90514e+12,,Surface,29,Image 1,1,26334,
4.76268e+12,,Surface,29,Image 1,1,26336,
3.85825e+12,,Surface,29,Image 1,1,26338,
7.94001e+11,,Surface,29,Image 1,1,26339,
1.05249e+12,,Surface,29,Image 1,1,26340,
5.11962e+11,,Surface,29,Image 1,1,26342,
2.35928e+12,,Surface,29,Image 1,1,26343,
1.74449e+12,,Surface,29,Image 1,1,26344,
6.9949e+11,,Surface,29,Image 1,1,26345,
6.44755e+11,,Surface,29,Image 1,1,26348,
2.1427e+12,,Surface,29,Image 1,1,26349,
3.6905e+11,,Surface,29,Image 1,1,26350,
3.8255e+12,,Surface,29,Image 1,1,26351,
3.31765e+10,,Surface,29,Image 1,1,26352,
1.55498e+11,,Surface,29,Image 1,1,26353,
8.0048e+10,,Surface,29,Image 1,1,26354,
9.8832e+10,,Surface,29,Image 1,1,26355,
4.18222e+12,,Surface,29,Image 1,1,26357,
2.04714e+12,,Surface,29,Image 1,1,26359,
1.91779e+12,,Surface,29,Image 1,1,26362,
3.83395e+12,,Surface,29,Image 1,1,26364,
1.1092e+12,,Surface,29,Image 1,1,26365,
2.75842e+12,,Surface,29,Image 1,1,26366,
2.01598e+12,,Surface,29,Image 1,1,26368,
1.07903e+12,,Surface,29,Image 1,1,26369,
2.43403e+12,,Surface,29,Image 1,1,26370,
1.26612e+12,,Surface,29,Image 1,1,26371,
4.27237e+11,,Surface,29,Image 1,1,26375,
1.3464e+12,,Surface,29,Image 1,1,26382,
1.483e+13,,Surface,29,Image 1,1,26383,
1.39389e+12,,Surface,29,Image 1,1,26384,
8.0537e+11,,Surface,29,Image 1,1,26385,
3.71228e+12,,Surface,29,Image 1,1,26386,
3.59222e+12,,Surface,29,Image 1,1,26387,
1.53848e+12,,Surface,29,Image 1,1,26388,
6.32229e+12,,Surface,29,Image 1,1,26389,
9.31527e+11,,Surface,29,Image 1,1,26390,
1.25314e+12,,Surface,29,Image 1,1,26391,
4.47834e+11,,Surface,29,Image 1,1,26392,
6.55992e+12,,Surface,29,Image 1,1,26393,
1.21758e+13,,Surface,29,Image 1,1,26394,
1.71021e+12,,Surface,29,Image 1,1,26395,
5.58682e+11,,Surface,29,Image 1,1,26396,
7.91559e+12,,Surface,29,Image 1,1,26397,
1.9323e+12,,Surface,29,Image 1,1,26398,
3.03259e+12,,Surface,29,Image 1,1,26399,
3.53673e+12,,Surface,29,Image 1,1,26401,
1.44441e+12,,Surface,29,Image 1,1,26402,
3.5067e+12,,Surface,29,Image 1,1,26404,
9.43571e+11,,Surface,29,Image 1,1,26406,
3.0225e+12,,Surface,29,Image 1,1,26407,
3.96079e+12,,Surface,29,Image 1,1,26408,
3.15731e+12,,Surface,29,Image 1,1,26409,
6.24266e+11,,Surface,29,Image 1,1,26410,
1.26927e+12,,Surface,29,Image 1,1,26411,
2.01411e+12,,Surface,29,Image 1,1,26412,
1.87524e+12,,Surface,29,Image 1,1,26413,
3.68729e+12,,Surface,29,Image 1,1,26414,
2.5183e+12,,Surface,29,Image 1,1,26415,
2.62321e+12,,Surface,29,Image 1,1,26417,
6.52214e+11,,Surface,29,Image 1,1,26418,
1.27118e+13,,Surface,29,Image 1,1,26419,
9.39992e+11,,Surface,29,Image 1,1,26420,
3.07586e+12,,Surface,29,Image 1,1,26421,
5.24173e+12,,Surface,29,Image 1,1,26423,
1.45277e+11,,Surface,29,Image 1,1,26425,
3.4518e+12,,Surface,29,Image 1,1,26426,
3.57582e+12,,Surface,29,Image 1,1,26427,
3.08826e+12,,Surface,29,Image 1,1,26428,
2.03278e+12,,Surface,29,Image 1,1,26429,
5.42111e+11,,Surface,29,Image 1,1,26430,
1.94999e+12,,Surface,29,Image 1,1,26431,
1.4439e+12,,Surface,29,Image 1,1,26432,
1.07206e+12,,Surface,29,Image 1,1,26433,
4.34185e+12,,Surface,29,Image 1,1,26434,
1.10862e+13,,Surface,29,Image 1,1,26435,
3.04603e+12,,Surface,29,Image 1,1,26436,
1.15439e+12,,Surface,29,Image 1,1,26437,
1.50962e+13,,Surface,29,Image 1,1,26438,
1.39022e+12,,Surface,29,Image 1,1,26439,
7.88024e+12,,Surface,29,Image 1,1,26440,
1.31573e+13,,Surface,29,Image 1,1,26441,
2.5398e+12,,Surface,29,Image 1,1,26442,
6.27611e+12,,Surface,29,Image 1,1,26443,
1.59951e+12,,Surface,29,Image 1,1,26444,
2.77054e+12,,Surface,29,Image 1,1,26446,
4.04601e+12,,Surface,29,Image 1,1,26448,
6.72761e+12,,Surface,29,Image 1,1,26451,
8.20289e+11,,Surface,29,Image 1,1,26452,
1.15304e+12,,Surface,29,Image 1,1,26453,
4.75204e+12,,Surface,29,Image 1,1,26456,
3.12047e+12,,Surface,29,Image 1,1,26457,
1.92757e+11,,Surface,29,Image 1,1,26458,
2.4354e+12,,Surface,29,Image 1,1,26459,
2.9331e+12,,Surface,29,Image 1,1,26460,
1.57151e+12,,Surface,29,Image 1,1,26461,
1.24769e+11,,Surface,29,Image 1,1,26462,
2.21668e+11,,Surface,29,Image 1,1,26463,
9.31627e+12,,Surface,29,Image 1,1,26464,
1.05268e+12,,Surface,29,Image 1,1,26465,
3.92733e+12,,Surface,29,Image 1,1,26466,
2.1545e+12,,Surface,29,Image 1,1,26467,
6.75582e+12,,Surface,29,Image 1,1,26468,
2.30133e+11,,Surface,29,Image 1,1,26469,
4.18421e+12,,Surface,29,Image 1,1,26471,
1.26733e+12,,Surface,29,Image 1,1,26472,
2.6216e+12,,Surface,29,Image 1,1,26473,
2.01567e+12,,Surface,29,Image 1,1,26474,
3.75395e+11,,Surface,29,Image 1,1,26475,
2.0557e+11,,Surface,29,Image 1,1,26476,
1.74926e+12,,Surface,29,Image 1,1,26477,
4.25312e+12,,Surface,29,Image 1,1,26478,
9.68774e+11,,Surface,29,Image 1,1,26480,
2.45324e+12,,Surface,29,Image 1,1,26481,
9.03461e+11,,Surface,29,Image 1,1,26482,
6.60012e+12,,Surface,29,Image 1,1,26483,
4.71742e+12,,Surface,29,Image 1,1,26484,
1.57196e+12,,Surface,29,Image 1,1,26485,
8.74353e+11,,Surface,29,Image 1,1,26486,
1.54938e+12,,Surface,29,Image 1,1,26487,
3.10181e+12,,Surface,29,Image 1,1,26488,
1.25687e+12,,Surface,29,Image 1,1,26489,
2.94957e+12,,Surface,29,Image 1,1,26490,
3.16019e+12,,Surface,29,Image 1,1,26491,
1.19588e+12,,Surface,29,Image 1,1,26492,
5.11062e+11,,Surface,29,Image 1,1,26493,
9.27583e+11,,Surface,29,Image 1,1,26494,
2.57106e+12,,Surface,29,Image 1,1,26495,
4.67449e+11,,Surface,29,Image 1,1,26497,
1.79899e+12,,Surface,29,Image 1,1,26498,
1.5773e+12,,Surface,29,Image 1,1,26499,
1.02379e+12,,Surface,29,Image 1,1,26502,
2.50149e+11,,Surface,29,Image 1,1,26503,
5.0818e+12,,Surface,29,Image 1,1,26504,
2.46211e+12,,Surface,29,Image 1,1,26506,
3.21447e+11,,Surface,29,Image 1,1,26507,
1.52134e+12,,Surface,29,Image 1,1,26509,
2.87744e+12,,Surface,29,Image 1,1,26510,
1.13142e+13,,Surface,29,Image 1,1,26512,
4.36631e+12,,Surface,29,Image 1,1,26513,
4.82755e+12,,Surface,29,Image 1,1,26514,
1.66882e+12,,Surface,29,Image 1,1,26515,
2.46747e+12,,Surface,29,Image 1,1,26516,
1.2185e+12,,Surface,29,Image 1,1,26517,
2.34502e+12,,Surface,29,Image 1,1,26518,
2.49728e+12,,Surface,29,Image 1,1,26521,
3.66634e+12,,Surface,29,Image 1,1,26522,
2.02529e+12,,Surface,29,Image 1,1,26523,
3.06722e+12,,Surface,29,Image 1,1,26524,
9.04524e+11,,Surface,29,Image 1,1,26525,
6.97555e+11,,Surface,29,Image 1,1,26526,
1.65917e+13,,Surface,29,Image 1,1,26527,
1.04193e+12,,Surface,29,Image 1,1,26528,
2.72336e+12,,Surface,29,Image 1,1,26529,
1.29336e+12,,Surface,29,Image 1,1,26530,
8.5796e+12,,Surface,29,Image 1,1,26531,
4.19572e+11,,Surface,29,Image 1,1,26532,
3.72512e+12,,Surface,29,Image 1,1,26533,
3.00806e+11,,Surface,29,Image 1,1,26534,
4.08736e+12,,Surface,29,Image 1,1,26535,
1.83252e+12,,Surface,29,Image 1,1,26536,
1.01544e+12,,Surface,29,Image 1,1,26537,
1.62509e+12,,Surface,29,Image 1,1,26538,
4.4555e+11,,Surface,29,Image 1,1,26539,
3.73745e+11,,Surface,29,Image 1,1,26541,
2.56205e+12,,Surface,29,Image 1,1,26542,
7.66575e+12,,Surface,29,Image 1,1,26543,
7.13704e+11,,Surface,29,Image 1,1,26544,
1.04003e+12,,Surface,29,Image 1,1,26545,
6.30654e+12,,Surface,29,Image 1,1,26546,
5.52499e+11,,Surface,29,Image 1,1,26547,
1.10889e+12,,Surface,29,Image 1,1,26548,
7.72147e+11,,Surface,29,Image 1,1,26549,
7.19029e+11,,Surface,29,Image 1,1,26550,
1.09481e+12,,Surface,29,Image 1,1,26551,
6.90067e+11,,Surface,29,Image 1,1,26552,
6.39849e+12,,Surface,29,Image 1,1,26553,
1.91282e+12,,Surface,29,Image 1,1,26554,
5.24292e+11,,Surface,29,Image 1,1,26555,
2.40752e+12,,Surface,29,Image 1,1,26556,
4.08716e+12,,Surface,29,Image 1,1,26557,
2.98224e+12,,Surface,29,Image 1,1,26558,
5.91761e+12,,Surface,29,Image 1,1,26559,
1.90219e+12,,Surface,29,Image 1,1,26560,
8.3556e+11,,Surface,29,Image 1,1,26561,
6.1776e+12,,Surface,29,Image 1,1,26562,
1.03249e+12,,Surface,29,Image 1,1,26563,
3.42507e+11,,Surface,29,Image 1,1,26564,
4.18211e+12,,Surface,29,Image 1,1,26565,
4.58163e+12,,Surface,29,Image 1,1,26567,
2.91343e+12,,Surface,29,Image 1,1,26568,
7.54033e+11,,Surface,29,Image 1,1,26569,
3.87221e+12,,Surface,29,Image 1,1,26570,
2.19911e+12,,Surface,29,Image 1,1,26571,
5.86465e+12,,Surface,29,Image 1,1,26572,
9.63092e+11,,Surface,29,Image 1,1,26573,
6.51788e+12,,Surface,29,Image 1,1,26574,
1.85418e+12,,Surface,29,Image 1,1,26575,
1.01184e+13,,Surface,29,Image 1,1,26576,
4.93713e+12,,Surface,29,Image 1,1,26577,
1.99379e+12,,Surface,29,Image 1,1,26578,
6.87475e+11,,Surface,29,Image 1,1,26580,
5.42996e+11,,Surface,29,Image 1,1,26581,
4.94549e+12,,Surface,29,Image 1,1,26582,
5.15787e+11,,Surface,29,Image 1,1,26583,
2.3297e+12,,Surface,29,Image 1,1,26584,
4.83429e+12,,Surface,29,Image 1,1,26585,
1.50168e+12,,Surface,29,Image 1,1,26586,
7.07139e+12,,Surface,29,Image 1,1,26587,
1.48579e+12,,Surface,29,Image 1,1,26589,
4.55936e+11,,Surface,29,Image 1,1,26591,
2.02549e+13,,Surface,29,Image 1,1,26592,
1.04574e+13,,Surface,29,Image 1,1,26593,
4.69814e+12,,Surface,29,Image 1,1,26594,
3.98255e+12,,Surface,29,Image 1,1,26595,
5.1653e+12,,Surface,29,Image 1,1,26597,
3.64809e+12,,Surface,29,Image 1,1,26598,
4.33762e+12,,Surface,29,Image 1,1,26599,
3.75703e+12,,Surface,29,Image 1,1,26600,
1.9731e+12,,Surface,29,Image 1,1,26601,
2.48339e+11,,Surface,29,Image 1,1,26602,
1.63085e+13,,Surface,29,Image 1,1,26603,
3.00571e+12,,Surface,29,Image 1,1,26604,
4.01433e+11,,Surface,29,Image 1,1,26606,
2.35498e+12,,Surface,29,Image 1,1,26607,
5.27403e+11,,Surface,29,Image 1,1,26608,
4.63389e+12,,Surface,29,Image 1,1,26609,
5.48097e+12,,Surface,29,Image 1,1,26610,
4.44864e+12,,Surface,29,Image 1,1,26611,
3.25152e+12,,Surface,29,Image 1,1,26612,
1.12641e+12,,Surface,29,Image 1,1,26614,
4.39637e+12,,Surface,29,Image 1,1,26616,
3.25698e+12,,Surface,29,Image 1,1,26617,
1.83434e+11,,Surface,29,Image 1,1,26621,
2.85633e+11,,Surface,29,Image 1,1,26622,
3.47364e+11,,Surface,29,Image 1,1,26624,
1.15231e+12,,Surface,29,Image 1,1,26626,
3.66051e+12,,Surface,29,Image 1,1,26627,
3.69306e+11,,Surface,29,Image 1,1,26628,
4.39463e+12,,Surface,29,Image 1,1,26630,
9.20625e+10,,Surface,29,Image 1,1,26632,
7.5946e+11,,Surface,29,Image 1,1,26633,
3.49519e+12,,Surface,29,Image 1,1,26635,
1.1914e+12,,Surface,29,Image 1,1,26636,
3.83725e+12,,Surface,29,Image 1,1,26637,
3.23797e+12,,Surface,29,Image 1,1,26638,
8.93005e+12,,Surface,29,Image 1,1,26639,
1.31414e+12,,Surface,29,Image 1,1,26640,
4.08898e+11,,Surface,29,Image 1,1,26641,
1.6896e+12,,Surface,29,Image 1,1,26642,
8.67558e+11,,Surface,29,Image 1,1,26643,
1.58606e+12,,Surface,29,Image 1,1,26644,
7.81512e+12,,Surface,29,Image 1,1,26645,
2.08806e+12,,Surface,29,Image 1,1,26646,
1.47606e+12,,Surface,29,Image 1,1,26647,
1.72277e+12,,Surface,29,Image 1,1,26649,
3.47411e+12,,Surface,29,Image 1,1,26652,
2.9727e+12,,Surface,29,Image 1,1,26654,
4.09447e+12,,Surface,29,Image 1,1,26655,
2.0143e+11,,Surface,29,Image 1,1,26658,
2.21265e+12,,Surface,29,Image 1,1,26659,
2.60452e+12,,Surface,29,Image 1,1,26660,
1.71784e+11,,Surface,29,Image 1,1,26661,
5.1495e+11,,Surface,29,Image 1,1,26662,
3.79073e+12,,Surface,29,Image 1,1,26663,
2.43106e+12,,Surface,29,Image 1,1,26664,
8.40922e+11,,Surface,29,Image 1,1,26665,
3.54962e+11,,Surface,29,Image 1,1,26666,
3.72804e+12,,Surface,29,Image 1,1,26667,
1.14281e+12,,Surface,29,Image 1,1,26668,
7.31477e+12,,Surface,29,Image 1,1,26669,
5.15216e+11,,Surface,29,Image 1,1,26670,
3.76941e+12,,Surface,29,Image 1,1,26671,
6.31701e+12,,Surface,29,Image 1,1,26672,
2.20403e+11,,Surface,29,Image 1,1,26673,
4.47494e+11,,Surface,29,Image 1,1,26674,
6.84299e+12,,Surface,29,Image 1,1,26675,
2.56696e+11,,Surface,29,Image 1,1,26676,
9.47012e+11,,Surface,29,Image 1,1,26677,
1.50363e+12,,Surface,29,Image 1,1,26678,
1.95622e+13,,Surface,29,Image 1,1,26679,
6.0444e+11,,Surface,29,Image 1,1,26681,
1.42052e+12,,Surface,29,Image 1,1,26682,
1.03176e+12,,Surface,29,Image 1,1,26683,
4.48626e+12,,Surface,29,Image 1,1,26686,
4.7558e+11,,Surface,29,Image 1,1,26688,
3.07841e+12,,Surface,29,Image 1,1,26689,
6.52926e+12,,Surface,29,Image 1,1,26690,
9.57245e+11,,Surface,29,Image 1,1,26691,
1.65543e+12,,Surface,29,Image 1,1,26692,
3.81715e+12,,Surface,29,Image 1,1,26694,
1.63629e+12,,Surface,29,Image 1,1,26695,
2.27249e+12,,Surface,29,Image 1,1,26696,
1.45473e+12,,Surface,29,Image 1,1,26697,
3.97587e+11,,Surface,29,Image 1,1,26699,
7.68729e+12,,Surface,29,Image 1,1,26700,
5.41841e+11,,Surface,29,Image 1,1,26701,
4.81026e+12,,Surface,29,Image 1,1,26702,
4.78295e+12,,Surface,29,Image 1,1,26703,
1.01911e+12,,Surface,29,Image 1,1,26704,
1.4093e+12,,Surface,29,Image 1,1,26705,
1.04784e+12,,Surface,29,Image 1,1,26706,
9.5352e+11,,Surface,29,Image 1,1,26707,
1.57032e+12,,Surface,29,Image 1,1,26708,
1.80088e+12,,Surface,29,Image 1,1,26709,
1.26754e+12,,Surface,29,Image 1,1,26710,
5.30757e+12,,Surface,29,Image 1,1,26711,
2.37041e+13,,Surface,29,Image 1,1,26712,
