
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
342.876,µm^3,Surface,1,26391,
267.203,µm^3,Surface,1,26392,
858.688,µm^3,Surface,1,26393,
796.801,µm^3,Surface,1,26394,
357.675,µm^3,Surface,1,26395,
243.381,µm^3,Surface,1,26396,
445.556,µm^3,Surface,1,26397,
394.16,µm^3,Surface,1,26398,
588.475,µm^3,Surface,1,26399,
795.984,µm^3,Surface,1,26401,
343.764,µm^3,Surface,1,26402,
402.448,µm^3,Surface,1,26404,
322.879,µm^3,Surface,1,26406,
645.222,µm^3,Surface,1,26407,
596.695,µm^3,Surface,1,26408,
263.973,µm^3,Surface,1,26409,
309.781,µm^3,Surface,1,26410,
555.899,µm^3,Surface,1,26411,
581.942,µm^3,Surface,1,26412,
325.874,µm^3,Surface,1,26413,
738.829,µm^3,Surface,1,26414,
406.412,µm^3,Surface,1,26415,
649.271,µm^3,Surface,1,26417,
250.404,µm^3,Surface,1,26418,
1264.05,µm^3,Surface,1,26419,
156.723,µm^3,Surface,1,26420,
425.636,µm^3,Surface,1,26421,
609.51,µm^3,Surface,1,26423,
134.339,µm^3,Surface,1,26425,
432.459,µm^3,Surface,1,26426,
600.297,µm^3,Surface,1,26427,
802.752,µm^3,Surface,1,26428,
320.593,µm^3,Surface,1,26429,
348.324,µm^3,Surface,1,26430,
494.58,µm^3,Surface,1,26431,
263.371,µm^3,Surface,1,26432,
264.334,µm^3,Surface,1,26433,
500.527,µm^3,Surface,1,26434,
967.727,µm^3,Surface,1,26435,
469.957,µm^3,Surface,1,26436,
300.026,µm^3,Surface,1,26437,
1095.87,µm^3,Surface,1,26438,
174.896,µm^3,Surface,1,26439,
747.716,µm^3,Surface,1,26440,
1418.02,µm^3,Surface,1,26441,
473.347,µm^3,Surface,1,26442,
317.407,µm^3,Surface,1,26443,
442.236,µm^3,Surface,1,26444,
246.769,µm^3,Surface,1,26446,
444.384,µm^3,Surface,1,26448,
1021.94,µm^3,Surface,1,26451,
248.428,µm^3,Surface,1,26452,
288.603,µm^3,Surface,1,26453,
