
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
8,,Surface,3,Image 1,1,26181,
129,,Surface,3,Image 1,1,26182,
86,,Surface,3,Image 1,1,26183,
0,,Surface,3,Image 1,1,26184,
94,,Surface,3,Image 1,1,26185,
0,,Surface,3,Image 1,1,26186,
120,,Surface,3,Image 1,1,26189,
109,,Surface,3,Image 1,1,26190,
18,,Surface,3,Image 1,1,26192,
102,,Surface,3,Image 1,1,26193,
93,,Surface,3,Image 1,1,26194,
113,,Surface,3,Image 1,1,26195,
137,,Surface,3,Image 1,1,26196,
118,,Surface,3,Image 1,1,26197,
102,,Surface,3,Image 1,1,26198,
89,,Surface,3,Image 1,1,26199,
70,,Surface,3,Image 1,1,26200,
135,,Surface,3,Image 1,1,26201,
0,,Surface,3,Image 1,1,26203,
103,,Surface,3,Image 1,1,26204,
143,,Surface,3,Image 1,1,26205,
43,,Surface,3,Image 1,1,26206,
89,,Surface,3,Image 1,1,26207,
131,,Surface,3,Image 1,1,26208,
116,,Surface,3,Image 1,1,26209,
95,,Surface,3,Image 1,1,26211,
136,,Surface,3,Image 1,1,26212,
65,,Surface,3,Image 1,1,26213,
120,,Surface,3,Image 1,1,26214,
84,,Surface,3,Image 1,1,26215,
100,,Surface,3,Image 1,1,26216,
128,,Surface,3,Image 1,1,26217,
115,,Surface,3,Image 1,1,26218,
138,,Surface,3,Image 1,1,26219,
10,,Surface,3,Image 1,1,26220,
0,,Surface,3,Image 1,1,26221,
40,,Surface,3,Image 1,1,26222,
139,,Surface,3,Image 1,1,26225,
104,,Surface,3,Image 1,1,26226,
0,,Surface,3,Image 1,1,26227,
21,,Surface,3,Image 1,1,26228,
122,,Surface,3,Image 1,1,26229,
115,,Surface,3,Image 1,1,26230,
0,,Surface,3,Image 1,1,26231,
0,,Surface,3,Image 1,1,26232,
130,,Surface,3,Image 1,1,26233,
0,,Surface,3,Image 1,1,26235,
132,,Surface,3,Image 1,1,26236,
122,,Surface,3,Image 1,1,26237,
125,,Surface,3,Image 1,1,26238,
98,,Surface,3,Image 1,1,26241,
127,,Surface,3,Image 1,1,26242,
93,,Surface,3,Image 1,1,26245,
0,,Surface,3,Image 1,1,26246,
111,,Surface,3,Image 1,1,26247,
90,,Surface,3,Image 1,1,26248,
144,,Surface,3,Image 1,1,26249,
90,,Surface,3,Image 1,1,26250,
145,,Surface,3,Image 1,1,26251,
0,,Surface,3,Image 1,1,26252,
43,,Surface,3,Image 1,1,26253,
134,,Surface,3,Image 1,1,26254,
0,,Surface,3,Image 1,1,26255,
125,,Surface,3,Image 1,1,26256,
119,,Surface,3,Image 1,1,26258,
84,,Surface,3,Image 1,1,26259,
124,,Surface,3,Image 1,1,26260,
133,,Surface,3,Image 1,1,26261,
101,,Surface,3,Image 1,1,26262,
130,,Surface,3,Image 1,1,26263,
80,,Surface,3,Image 1,1,26264,
114,,Surface,3,Image 1,1,26265,
133,,Surface,3,Image 1,1,26266,
0,,Surface,3,Image 1,1,26267,
97,,Surface,3,Image 1,1,26268,
111,,Surface,3,Image 1,1,26269,
105,,Surface,3,Image 1,1,26270,
118,,Surface,3,Image 1,1,26271,
121,,Surface,3,Image 1,1,26272,
0,,Surface,3,Image 1,1,26273,
30,,Surface,3,Image 1,1,26274,
0,,Surface,3,Image 1,1,26275,
90,,Surface,3,Image 1,1,26276,
170,,Surface,3,Image 1,1,26277,
0,,Surface,3,Image 1,1,26279,
98,,Surface,3,Image 1,1,26280,
105,,Surface,3,Image 1,1,26281,
0,,Surface,3,Image 1,1,26282,
0,,Surface,3,Image 1,1,26283,
109,,Surface,3,Image 1,1,26284,
98,,Surface,3,Image 1,1,26285,
96,,Surface,3,Image 1,1,26286,
104,,Surface,3,Image 1,1,26287,
95,,Surface,3,Image 1,1,26289,
94,,Surface,3,Image 1,1,26290,
95,,Surface,3,Image 1,1,26291,
107,,Surface,3,Image 1,1,26292,
