
Intensity Max Ch=29 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
10755,,Surface,29,Image 1,1,26364,
10141,,Surface,29,Image 1,1,26365,
13098,,Surface,29,Image 1,1,26366,
11023,,Surface,29,Image 1,1,26368,
9645,,Surface,29,Image 1,1,26369,
11172,,Surface,29,Image 1,1,26370,
9168,,Surface,29,Image 1,1,26371,
6302,,Surface,29,Image 1,1,26375,
10206,,Surface,29,Image 1,1,26382,
15999,,Surface,29,Image 1,1,26383,
13394,,Surface,29,Image 1,1,26384,
8409,,Surface,29,Image 1,1,26385,
10723,,Surface,29,Image 1,1,26386,
11682,,Surface,29,Image 1,1,26387,
10955,,Surface,29,Image 1,1,26388,
11941,,Surface,29,Image 1,1,26389,
7076,,Surface,29,Image 1,1,26390,
9490,,Surface,29,Image 1,1,26391,
6629,,Surface,29,Image 1,1,26392,
13984,,Surface,29,Image 1,1,26393,
20920,,Surface,29,Image 1,1,26394,
9467,,Surface,29,Image 1,1,26395,
7135,,Surface,29,Image 1,1,26396,
18198,,Surface,29,Image 1,1,26397,
14705,,Surface,29,Image 1,1,26398,
9227,,Surface,29,Image 1,1,26399,
12243,,Surface,29,Image 1,1,26401,
9515,,Surface,29,Image 1,1,26402,
12536,,Surface,29,Image 1,1,26404,
8667,,Surface,29,Image 1,1,26406,
9492,,Surface,29,Image 1,1,26407,
12558,,Surface,29,Image 1,1,26408,
13937,,Surface,29,Image 1,1,26409,
7156,,Surface,29,Image 1,1,26410,
8277,,Surface,29,Image 1,1,26411,
9731,,Surface,29,Image 1,1,26412,
10571,,Surface,29,Image 1,1,26413,
9905,,Surface,29,Image 1,1,26414,
10804,,Surface,29,Image 1,1,26415,
9878,,Surface,29,Image 1,1,26417,
7898,,Surface,29,Image 1,1,26418,
13131,,Surface,29,Image 1,1,26419,
10799,,Surface,29,Image 1,1,26420,
11124,,Surface,29,Image 1,1,26421,
15176,,Surface,29,Image 1,1,26423,
4795,,Surface,29,Image 1,1,26425,
10728,,Surface,29,Image 1,1,26426,
12570,,Surface,29,Image 1,1,26427,
12405,,Surface,29,Image 1,1,26428,
9864,,Surface,29,Image 1,1,26429,
7265,,Surface,29,Image 1,1,26430,
10001,,Surface,29,Image 1,1,26431,
9930,,Surface,29,Image 1,1,26432,
10214,,Surface,29,Image 1,1,26433,
14458,,Surface,29,Image 1,1,26434,
17257,,Surface,29,Image 1,1,26435,
12487,,Surface,29,Image 1,1,26436,
11604,,Surface,29,Image 1,1,26437,
15219,,Surface,29,Image 1,1,26438,
10849,,Surface,29,Image 1,1,26439,
17517,,Surface,29,Image 1,1,26440,
14906,,Surface,29,Image 1,1,26441,
11234,,Surface,29,Image 1,1,26442,
17128,,Surface,29,Image 1,1,26443,
9951,,Surface,29,Image 1,1,26444,
15536,,Surface,29,Image 1,1,26446,
13525,,Surface,29,Image 1,1,26448,
12028,,Surface,29,Image 1,1,26451,
9929,,Surface,29,Image 1,1,26452,
11176,,Surface,29,Image 1,1,26453,
11639,,Surface,29,Image 1,1,26456,
11583,,Surface,29,Image 1,1,26457,
4844,,Surface,29,Image 1,1,26458,
13170,,Surface,29,Image 1,1,26459,
8386,,Surface,29,Image 1,1,26460,
8892,,Surface,29,Image 1,1,26461,
7551,,Surface,29,Image 1,1,26462,
8795,,Surface,29,Image 1,1,26463,
11495,,Surface,29,Image 1,1,26464,
12299,,Surface,29,Image 1,1,26465,
13718,,Surface,29,Image 1,1,26466,
11334,,Surface,29,Image 1,1,26467,
12074,,Surface,29,Image 1,1,26468,
11098,,Surface,29,Image 1,1,26469,
13895,,Surface,29,Image 1,1,26471,
8846,,Surface,29,Image 1,1,26472,
15342,,Surface,29,Image 1,1,26473,
11421,,Surface,29,Image 1,1,26474,
7104,,Surface,29,Image 1,1,26475,
6189,,Surface,29,Image 1,1,26476,
10133,,Surface,29,Image 1,1,26477,
10384,,Surface,29,Image 1,1,26478,
9505,,Surface,29,Image 1,1,26480,
12055,,Surface,29,Image 1,1,26481,
8558,,Surface,29,Image 1,1,26482,
10948,,Surface,29,Image 1,1,26483,
15341,,Surface,29,Image 1,1,26484,
11661,,Surface,29,Image 1,1,26485,
8295,,Surface,29,Image 1,1,26486,
10204,,Surface,29,Image 1,1,26487,
10430,,Surface,29,Image 1,1,26488,
10934,,Surface,29,Image 1,1,26489,
13081,,Surface,29,Image 1,1,26490,
12670,,Surface,29,Image 1,1,26491,
8993,,Surface,29,Image 1,1,26492,
6137,,Surface,29,Image 1,1,26493,
8184,,Surface,29,Image 1,1,26494,
12268,,Surface,29,Image 1,1,26495,
7163,,Surface,29,Image 1,1,26497,
12545,,Surface,29,Image 1,1,26498,
7953,,Surface,29,Image 1,1,26499,
7038,,Surface,29,Image 1,1,26502,
6418,,Surface,29,Image 1,1,26503,
13417,,Surface,29,Image 1,1,26504,
11846,,Surface,29,Image 1,1,26506,
9144,,Surface,29,Image 1,1,26507,
9288,,Surface,29,Image 1,1,26509,
12593,,Surface,29,Image 1,1,26510,
16019,,Surface,29,Image 1,1,26512,
13441,,Surface,29,Image 1,1,26513,
13680,,Surface,29,Image 1,1,26514,
10797,,Surface,29,Image 1,1,26515,
12820,,Surface,29,Image 1,1,26516,
10565,,Surface,29,Image 1,1,26517,
11609,,Surface,29,Image 1,1,26518,
11060,,Surface,29,Image 1,1,26521,
13610,,Surface,29,Image 1,1,26522,
10695,,Surface,29,Image 1,1,26523,
11592,,Surface,29,Image 1,1,26524,
6884,,Surface,29,Image 1,1,26525,
6549,,Surface,29,Image 1,1,26526,
22570,,Surface,29,Image 1,1,26527,
10698,,Surface,29,Image 1,1,26528,
10755,,Surface,29,Image 1,1,26529,
9336,,Surface,29,Image 1,1,26530,
18003,,Surface,29,Image 1,1,26531,
6603,,Surface,29,Image 1,1,26532,
16403,,Surface,29,Image 1,1,26533,
5014,,Surface,29,Image 1,1,26534,
15123,,Surface,29,Image 1,1,26535,
15059,,Surface,29,Image 1,1,26536,
9497,,Surface,29,Image 1,1,26537,
10276,,Surface,29,Image 1,1,26538,
7458,,Surface,29,Image 1,1,26539,
6696,,Surface,29,Image 1,1,26541,
12058,,Surface,29,Image 1,1,26542,
15596,,Surface,29,Image 1,1,26543,
9482,,Surface,29,Image 1,1,26544,
6981,,Surface,29,Image 1,1,26545,
17723,,Surface,29,Image 1,1,26546,
6541,,Surface,29,Image 1,1,26547,
9633,,Surface,29,Image 1,1,26548,
11584,,Surface,29,Image 1,1,26549,
6765,,Surface,29,Image 1,1,26550,
9944,,Surface,29,Image 1,1,26551,
9045,,Surface,29,Image 1,1,26552,
20490,,Surface,29,Image 1,1,26553,
10621,,Surface,29,Image 1,1,26554,
6318,,Surface,29,Image 1,1,26555,
13102,,Surface,29,Image 1,1,26556,
16106,,Surface,29,Image 1,1,26557,
12912,,Surface,29,Image 1,1,26558,
13572,,Surface,29,Image 1,1,26559,
11284,,Surface,29,Image 1,1,26560,
7160,,Surface,29,Image 1,1,26561,
17619,,Surface,29,Image 1,1,26562,
9525,,Surface,29,Image 1,1,26563,
6639,,Surface,29,Image 1,1,26564,
13407,,Surface,29,Image 1,1,26565,
15052,,Surface,29,Image 1,1,26567,
11013,,Surface,29,Image 1,1,26568,
6543,,Surface,29,Image 1,1,26569,
13120,,Surface,29,Image 1,1,26570,
11629,,Surface,29,Image 1,1,26571,
13358,,Surface,29,Image 1,1,26572,
10786,,Surface,29,Image 1,1,26573,
17827,,Surface,29,Image 1,1,26574,
10401,,Surface,29,Image 1,1,26575,
12771,,Surface,29,Image 1,1,26576,
13616,,Surface,29,Image 1,1,26577,
10772,,Surface,29,Image 1,1,26578,
8355,,Surface,29,Image 1,1,26580,
8678,,Surface,29,Image 1,1,26581,
13267,,Surface,29,Image 1,1,26582,
9548,,Surface,29,Image 1,1,26583,
12109,,Surface,29,Image 1,1,26584,
12215,,Surface,29,Image 1,1,26585,
9203,,Surface,29,Image 1,1,26586,
22016,,Surface,29,Image 1,1,26587,
9710,,Surface,29,Image 1,1,26589,
8399,,Surface,29,Image 1,1,26591,
22748,,Surface,29,Image 1,1,26592,
15781,,Surface,29,Image 1,1,26593,
16451,,Surface,29,Image 1,1,26594,
18804,,Surface,29,Image 1,1,26595,
15578,,Surface,29,Image 1,1,26597,
8966,,Surface,29,Image 1,1,26598,
13481,,Surface,29,Image 1,1,26599,
9324,,Surface,29,Image 1,1,26600,
9576,,Surface,29,Image 1,1,26601,
5553,,Surface,29,Image 1,1,26602,
15593,,Surface,29,Image 1,1,26603,
12743,,Surface,29,Image 1,1,26604,
8114,,Surface,29,Image 1,1,26606,
11475,,Surface,29,Image 1,1,26607,
6252,,Surface,29,Image 1,1,26608,
15336,,Surface,29,Image 1,1,26609,
13120,,Surface,29,Image 1,1,26610,
14727,,Surface,29,Image 1,1,26611,
12315,,Surface,29,Image 1,1,26612,
8324,,Surface,29,Image 1,1,26614,
14293,,Surface,29,Image 1,1,26616,
11480,,Surface,29,Image 1,1,26617,
7181,,Surface,29,Image 1,1,26621,
9708,,Surface,29,Image 1,1,26622,
7422,,Surface,29,Image 1,1,26624,
8565,,Surface,29,Image 1,1,26626,
11651,,Surface,29,Image 1,1,26627,
6913,,Surface,29,Image 1,1,26628,
10565,,Surface,29,Image 1,1,26630,
5334,,Surface,29,Image 1,1,26632,
