
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.135,38.5484,µm^3,Volume Outside,Image 1,1,,
0.405,52.8209,µm^3,Volume Outside,Image 1,1,,
0.675,66.6279,µm^3,Volume Outside,Image 1,1,,
0.945,79.1302,µm^3,Volume Outside,Image 1,1,,
1.215,91.5775,µm^3,Volume Outside,Image 1,1,,
1.485,104.569,µm^3,Volume Outside,Image 1,1,,
1.755,117.272,µm^3,Volume Outside,Image 1,1,,
2.025,129.84,µm^3,Volume Outside,Image 1,1,,
2.295,142.569,µm^3,Volume Outside,Image 1,1,,
2.565,155.04,µm^3,Volume Outside,Image 1,1,,
2.835,167.306,µm^3,Volume Outside,Image 1,1,,
3.105,179.142,µm^3,Volume Outside,Image 1,1,,
3.375,190.645,µm^3,Volume Outside,Image 1,1,,
3.645,200.499,µm^3,Volume Outside,Image 1,1,,
3.915,210.593,µm^3,Volume Outside,Image 1,1,,
4.185,220.264,µm^3,Volume Outside,Image 1,1,,
4.455,229.068,µm^3,Volume Outside,Image 1,1,,
4.725,235.543,µm^3,Volume Outside,Image 1,1,,
4.995,242.032,µm^3,Volume Outside,Image 1,1,,
5.265,248.859,µm^3,Volume Outside,Image 1,1,,
5.535,255.462,µm^3,Volume Outside,Image 1,1,,
5.805,262.019,µm^3,Volume Outside,Image 1,1,,
6.075,268.037,µm^3,Volume Outside,Image 1,1,,
6.345,274.474,µm^3,Volume Outside,Image 1,1,,
6.615,280.933,µm^3,Volume Outside,Image 1,1,,
6.885,284.588,µm^3,Volume Outside,Image 1,1,,
7.155,288.089,µm^3,Volume Outside,Image 1,1,,
7.425,291.177,µm^3,Volume Outside,Image 1,1,,
7.695,294.613,µm^3,Volume Outside,Image 1,1,,
7.965,297.482,µm^3,Volume Outside,Image 1,1,,
8.235,300.184,µm^3,Volume Outside,Image 1,1,,
8.505,299.509,µm^3,Volume Outside,Image 1,1,,
8.775,300.493,µm^3,Volume Outside,Image 1,1,,
9.045,298.531,µm^3,Volume Outside,Image 1,1,,
9.315,292.08,µm^3,Volume Outside,Image 1,1,,
9.585,286.316,µm^3,Volume Outside,Image 1,1,,
9.855,278.184,µm^3,Volume Outside,Image 1,1,,
10.125,271.693,µm^3,Volume Outside,Image 1,1,,
10.395,263.772,µm^3,Volume Outside,Image 1,1,,
10.665,257.03,µm^3,Volume Outside,Image 1,1,,
10.935,248.586,µm^3,Volume Outside,Image 1,1,,
11.205,241.221,µm^3,Volume Outside,Image 1,1,,
11.475,231.966,µm^3,Volume Outside,Image 1,1,,
11.745,221.032,µm^3,Volume Outside,Image 1,1,,
12.015,211.495,µm^3,Volume Outside,Image 1,1,,
12.285,200.942,µm^3,Volume Outside,Image 1,1,,
12.555,191.942,µm^3,Volume Outside,Image 1,1,,
12.825,181.602,µm^3,Volume Outside,Image 1,1,,
13.095,172.468,µm^3,Volume Outside,Image 1,1,,
13.365,162.036,µm^3,Volume Outside,Image 1,1,,
13.635,150.215,µm^3,Volume Outside,Image 1,1,,
13.905,139.589,µm^3,Volume Outside,Image 1,1,,
14.175,128.816,µm^3,Volume Outside,Image 1,1,,
14.445,119.144,µm^3,Volume Outside,Image 1,1,,
14.715,108.903,µm^3,Volume Outside,Image 1,1,,
14.985,99.8475,µm^3,Volume Outside,Image 1,1,,
15.255,90.8584,µm^3,Volume Outside,Image 1,1,,
15.525,83.3246,µm^3,Volume Outside,Image 1,1,,
15.795,76.0677,µm^3,Volume Outside,Image 1,1,,
16.065,69.2138,µm^3,Volume Outside,Image 1,1,,
16.335,64.1448,µm^3,Volume Outside,Image 1,1,,
16.605,58.3432,µm^3,Volume Outside,Image 1,1,,
16.875,53.622,µm^3,Volume Outside,Image 1,1,,
17.145,49.9507,µm^3,Volume Outside,Image 1,1,,
17.415,46.9004,µm^3,Volume Outside,Image 1,1,,
17.685,42.9375,µm^3,Volume Outside,Image 1,1,,
17.955,39.6545,µm^3,Volume Outside,Image 1,1,,
18.225,36.8346,µm^3,Volume Outside,Image 1,1,,
18.495,33.2956,µm^3,Volume Outside,Image 1,1,,
18.765,30.0505,µm^3,Volume Outside,Image 1,1,,
19.035,27.1558,µm^3,Volume Outside,Image 1,1,,
