
Intensity Median Ch=12 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
4994,,Surface,12,Image 1,1,0,
5040,,Surface,12,Image 1,1,1,
1950,,Surface,12,Image 1,1,2,
0.25,,Surface,12,Image 1,1,3,
5296,,Surface,12,Image 1,1,4,
2366,,Surface,12,Image 1,1,5,
2628,,Surface,12,Image 1,1,6,
3418,,Surface,12,Image 1,1,7,
28,,Surface,12,Image 1,1,8,
1592,,Surface,12,Image 1,1,9,
3456,,Surface,12,Image 1,1,10,
562,,Surface,12,Image 1,1,11,
1502,,Surface,12,Image 1,1,12,
3190,,Surface,12,Image 1,1,13,
1974,,Surface,12,Image 1,1,14,
2852,,Surface,12,Image 1,1,15,
