
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
609.273,µm,Surface,Position,1,0,
608.642,µm,Surface,Position,1,1,
610.278,µm,Surface,Position,1,2,
600.184,µm,Surface,Position,1,3,
607.937,µm,Surface,Position,1,4,
606.789,µm,Surface,Position,1,5,
607.37,µm,Surface,Position,1,6,
606.106,µm,Surface,Position,1,7,
600.641,µm,Surface,Position,1,8,
602.043,µm,Surface,Position,1,9,
605.297,µm,Surface,Position,1,10,
601.391,µm,Surface,Position,1,11,
612.051,µm,Surface,Position,1,12,
604.742,µm,Surface,Position,1,13,
602.797,µm,Surface,Position,1,14,
603.703,µm,Surface,Position,1,15,
