
Intensity Min Ch=25 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,25,Image 1,1,0,
0,,Surface,25,Image 1,1,1,
0,,Surface,25,Image 1,1,2,
0,,Surface,25,Image 1,1,3,
0,,Surface,25,Image 1,1,4,
0,,Surface,25,Image 1,1,5,
0,,Surface,25,Image 1,1,6,
0,,Surface,25,Image 1,1,7,
0,,Surface,25,Image 1,1,8,
0,,Surface,25,Image 1,1,9,
0,,Surface,25,Image 1,1,10,
0,,Surface,25,Image 1,1,11,
0,,Surface,25,Image 1,1,12,
0,,Surface,25,Image 1,1,13,
0,,Surface,25,Image 1,1,14,
0,,Surface,25,Image 1,1,15,
