
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-0.6775,1.17477,µm^3,Cumulative Volume,Image 1,1,,
-0.4065,4.71502,µm^3,Cumulative Volume,Image 1,1,,
-0.1355,12.2708,µm^3,Cumulative Volume,Image 1,1,,
0.1355,24.8454,µm^3,Cumulative Volume,Image 1,1,,
0.4065,42.4229,µm^3,Cumulative Volume,Image 1,1,,
0.6775,65.4933,µm^3,Cumulative Volume,Image 1,1,,
0.9485,94.1215,µm^3,Cumulative Volume,Image 1,1,,
1.2195,128.725,µm^3,Cumulative Volume,Image 1,1,,
1.4905,169.692,µm^3,Cumulative Volume,Image 1,1,,
1.7615,217.24,µm^3,Cumulative Volume,Image 1,1,,
2.0325,270.858,µm^3,Cumulative Volume,Image 1,1,,
2.3035,329.693,µm^3,Cumulative Volume,Image 1,1,,
2.5745,393.098,µm^3,Cumulative Volume,Image 1,1,,
2.8455,460.919,µm^3,Cumulative Volume,Image 1,1,,
3.1165,533.325,µm^3,Cumulative Volume,Image 1,1,,
3.3875,610.502,µm^3,Cumulative Volume,Image 1,1,,
3.6585,692.47,µm^3,Cumulative Volume,Image 1,1,,
3.9295,779.065,µm^3,Cumulative Volume,Image 1,1,,
4.2005,869.454,µm^3,Cumulative Volume,Image 1,1,,
4.4715,962.285,µm^3,Cumulative Volume,Image 1,1,,
4.7425,1057.13,µm^3,Cumulative Volume,Image 1,1,,
5.0135,1154.23,µm^3,Cumulative Volume,Image 1,1,,
5.2845,1252.72,µm^3,Cumulative Volume,Image 1,1,,
5.5555,1352.4,µm^3,Cumulative Volume,Image 1,1,,
5.8265,1453.49,µm^3,Cumulative Volume,Image 1,1,,
6.0975,1555.56,µm^3,Cumulative Volume,Image 1,1,,
6.3685,1659.13,µm^3,Cumulative Volume,Image 1,1,,
6.6395,1763.87,µm^3,Cumulative Volume,Image 1,1,,
6.9105,1870,µm^3,Cumulative Volume,Image 1,1,,
7.1815,1978.09,µm^3,Cumulative Volume,Image 1,1,,
7.4525,2087.72,µm^3,Cumulative Volume,Image 1,1,,
7.7235,2199.2,µm^3,Cumulative Volume,Image 1,1,,
7.9945,2312.94,µm^3,Cumulative Volume,Image 1,1,,
8.2655,2428.91,µm^3,Cumulative Volume,Image 1,1,,
8.5365,2546.59,µm^3,Cumulative Volume,Image 1,1,,
8.8075,2665.54,µm^3,Cumulative Volume,Image 1,1,,
9.0785,2786.65,µm^3,Cumulative Volume,Image 1,1,,
9.3495,2908.63,µm^3,Cumulative Volume,Image 1,1,,
9.6205,3029.31,µm^3,Cumulative Volume,Image 1,1,,
9.8915,3148.45,µm^3,Cumulative Volume,Image 1,1,,
10.1625,3264.59,µm^3,Cumulative Volume,Image 1,1,,
10.4335,3376.91,µm^3,Cumulative Volume,Image 1,1,,
10.7045,3486.98,µm^3,Cumulative Volume,Image 1,1,,
10.9755,3594.53,µm^3,Cumulative Volume,Image 1,1,,
11.2465,3699.49,µm^3,Cumulative Volume,Image 1,1,,
11.5175,3803.43,µm^3,Cumulative Volume,Image 1,1,,
11.7885,3906.15,µm^3,Cumulative Volume,Image 1,1,,
12.0595,4007.19,µm^3,Cumulative Volume,Image 1,1,,
12.3305,4107.64,µm^3,Cumulative Volume,Image 1,1,,
12.6015,4206.81,µm^3,Cumulative Volume,Image 1,1,,
12.8725,4302.4,µm^3,Cumulative Volume,Image 1,1,,
13.1435,4390.55,µm^3,Cumulative Volume,Image 1,1,,
13.4145,4471.94,µm^3,Cumulative Volume,Image 1,1,,
13.6855,4547.3,µm^3,Cumulative Volume,Image 1,1,,
13.9565,4617.51,µm^3,Cumulative Volume,Image 1,1,,
14.2275,4684.32,µm^3,Cumulative Volume,Image 1,1,,
14.4985,4748.05,µm^3,Cumulative Volume,Image 1,1,,
14.7695,4808.83,µm^3,Cumulative Volume,Image 1,1,,
15.0405,4867.46,µm^3,Cumulative Volume,Image 1,1,,
15.3115,4923.89,µm^3,Cumulative Volume,Image 1,1,,
15.5825,4977.94,µm^3,Cumulative Volume,Image 1,1,,
15.8535,5030.36,µm^3,Cumulative Volume,Image 1,1,,
16.1245,5081.18,µm^3,Cumulative Volume,Image 1,1,,
16.3955,5130.72,µm^3,Cumulative Volume,Image 1,1,,
16.6665,5179.86,µm^3,Cumulative Volume,Image 1,1,,
16.9375,5228.05,µm^3,Cumulative Volume,Image 1,1,,
17.2085,5276.02,µm^3,Cumulative Volume,Image 1,1,,
17.4795,5323.13,µm^3,Cumulative Volume,Image 1,1,,
17.7505,5370.04,µm^3,Cumulative Volume,Image 1,1,,
18.0215,5417.18,µm^3,Cumulative Volume,Image 1,1,,
18.2925,5463.65,µm^3,Cumulative Volume,Image 1,1,,
18.5635,5509.91,µm^3,Cumulative Volume,Image 1,1,,
18.8345,5556.19,µm^3,Cumulative Volume,Image 1,1,,
19.1055,5601,µm^3,Cumulative Volume,Image 1,1,,
19.3765,5642.58,µm^3,Cumulative Volume,Image 1,1,,
19.6475,5677.45,µm^3,Cumulative Volume,Image 1,1,,
19.9185,5704.53,µm^3,Cumulative Volume,Image 1,1,,
20.1895,5725.89,µm^3,Cumulative Volume,Image 1,1,,
