
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.1355,12.5746,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4065,30.1521,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6775,53.2225,µm^3,Cumulative Volume Outside,Image 1,1,,
0.9485,81.8507,µm^3,Cumulative Volume Outside,Image 1,1,,
1.2195,116.454,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4905,157.421,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7615,204.969,µm^3,Cumulative Volume Outside,Image 1,1,,
2.0325,258.587,µm^3,Cumulative Volume Outside,Image 1,1,,
2.3035,317.423,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5745,380.827,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8455,448.648,µm^3,Cumulative Volume Outside,Image 1,1,,
3.1165,521.054,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3875,598.231,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6585,680.2,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9295,766.795,µm^3,Cumulative Volume Outside,Image 1,1,,
4.2005,857.183,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4715,950.014,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7425,1044.86,µm^3,Cumulative Volume Outside,Image 1,1,,
5.0135,1141.96,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2845,1240.45,µm^3,Cumulative Volume Outside,Image 1,1,,
5.5555,1340.13,µm^3,Cumulative Volume Outside,Image 1,1,,
5.8265,1441.22,µm^3,Cumulative Volume Outside,Image 1,1,,
6.0975,1543.29,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3685,1646.86,µm^3,Cumulative Volume Outside,Image 1,1,,
6.6395,1751.6,µm^3,Cumulative Volume Outside,Image 1,1,,
6.9105,1857.73,µm^3,Cumulative Volume Outside,Image 1,1,,
7.1815,1965.82,µm^3,Cumulative Volume Outside,Image 1,1,,
7.4525,2075.45,µm^3,Cumulative Volume Outside,Image 1,1,,
7.7235,2186.93,µm^3,Cumulative Volume Outside,Image 1,1,,
7.9945,2300.67,µm^3,Cumulative Volume Outside,Image 1,1,,
8.2655,2416.64,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5365,2534.32,µm^3,Cumulative Volume Outside,Image 1,1,,
8.8075,2653.27,µm^3,Cumulative Volume Outside,Image 1,1,,
9.0785,2774.38,µm^3,Cumulative Volume Outside,Image 1,1,,
9.3495,2896.35,µm^3,Cumulative Volume Outside,Image 1,1,,
9.6205,3017.04,µm^3,Cumulative Volume Outside,Image 1,1,,
9.8915,3136.18,µm^3,Cumulative Volume Outside,Image 1,1,,
10.1625,3252.32,µm^3,Cumulative Volume Outside,Image 1,1,,
10.4335,3364.64,µm^3,Cumulative Volume Outside,Image 1,1,,
10.7045,3474.71,µm^3,Cumulative Volume Outside,Image 1,1,,
10.9755,3582.26,µm^3,Cumulative Volume Outside,Image 1,1,,
11.2465,3687.22,µm^3,Cumulative Volume Outside,Image 1,1,,
11.5175,3791.16,µm^3,Cumulative Volume Outside,Image 1,1,,
11.7885,3893.88,µm^3,Cumulative Volume Outside,Image 1,1,,
12.0595,3994.92,µm^3,Cumulative Volume Outside,Image 1,1,,
12.3305,4095.37,µm^3,Cumulative Volume Outside,Image 1,1,,
12.6015,4194.54,µm^3,Cumulative Volume Outside,Image 1,1,,
12.8725,4290.13,µm^3,Cumulative Volume Outside,Image 1,1,,
13.1435,4378.28,µm^3,Cumulative Volume Outside,Image 1,1,,
13.4145,4459.67,µm^3,Cumulative Volume Outside,Image 1,1,,
13.6855,4535.03,µm^3,Cumulative Volume Outside,Image 1,1,,
13.9565,4605.24,µm^3,Cumulative Volume Outside,Image 1,1,,
14.2275,4672.05,µm^3,Cumulative Volume Outside,Image 1,1,,
14.4985,4735.78,µm^3,Cumulative Volume Outside,Image 1,1,,
14.7695,4796.56,µm^3,Cumulative Volume Outside,Image 1,1,,
15.0405,4855.19,µm^3,Cumulative Volume Outside,Image 1,1,,
15.3115,4911.61,µm^3,Cumulative Volume Outside,Image 1,1,,
15.5825,4965.67,µm^3,Cumulative Volume Outside,Image 1,1,,
15.8535,5018.09,µm^3,Cumulative Volume Outside,Image 1,1,,
16.1245,5068.91,µm^3,Cumulative Volume Outside,Image 1,1,,
16.3955,5118.45,µm^3,Cumulative Volume Outside,Image 1,1,,
16.6665,5167.58,µm^3,Cumulative Volume Outside,Image 1,1,,
16.9375,5215.78,µm^3,Cumulative Volume Outside,Image 1,1,,
17.2085,5263.75,µm^3,Cumulative Volume Outside,Image 1,1,,
17.4795,5310.86,µm^3,Cumulative Volume Outside,Image 1,1,,
17.7505,5357.77,µm^3,Cumulative Volume Outside,Image 1,1,,
18.0215,5404.91,µm^3,Cumulative Volume Outside,Image 1,1,,
18.2925,5451.38,µm^3,Cumulative Volume Outside,Image 1,1,,
18.5635,5497.63,µm^3,Cumulative Volume Outside,Image 1,1,,
18.8345,5543.92,µm^3,Cumulative Volume Outside,Image 1,1,,
19.1055,5588.73,µm^3,Cumulative Volume Outside,Image 1,1,,
19.3765,5630.31,µm^3,Cumulative Volume Outside,Image 1,1,,
19.6475,5665.18,µm^3,Cumulative Volume Outside,Image 1,1,,
19.9185,5692.26,µm^3,Cumulative Volume Outside,Image 1,1,,
20.1895,5713.62,µm^3,Cumulative Volume Outside,Image 1,1,,
