
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,6,,1,,
Number of Surfaces per Time Point,6,,1,,
Number of Tracks,0,,,,
Total Number of Disconnected Components,6,,,,
Total Number of Surfaces,6,,,,
