
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-0.67,1.2397,µm^3,Cumulative Volume,Image 1,1,,
-0.402,4.97963,µm^3,Cumulative Volume,Image 1,1,,
-0.134,13.0769,µm^3,Cumulative Volume,Image 1,1,,
0.134,26.5078,µm^3,Cumulative Volume,Image 1,1,,
0.402,44.9232,µm^3,Cumulative Volume,Image 1,1,,
0.67,68.3575,µm^3,Cumulative Volume,Image 1,1,,
0.938,96.6182,µm^3,Cumulative Volume,Image 1,1,,
1.206,129.543,µm^3,Cumulative Volume,Image 1,1,,
1.474,167.274,µm^3,Cumulative Volume,Image 1,1,,
1.742,210.048,µm^3,Cumulative Volume,Image 1,1,,
2.01,258.237,µm^3,Cumulative Volume,Image 1,1,,
2.278,311.873,µm^3,Cumulative Volume,Image 1,1,,
2.546,371.087,µm^3,Cumulative Volume,Image 1,1,,
2.814,436.137,µm^3,Cumulative Volume,Image 1,1,,
3.082,507.194,µm^3,Cumulative Volume,Image 1,1,,
3.35,584.623,µm^3,Cumulative Volume,Image 1,1,,
3.618,667.939,µm^3,Cumulative Volume,Image 1,1,,
3.886,755.324,µm^3,Cumulative Volume,Image 1,1,,
4.154,846.153,µm^3,Cumulative Volume,Image 1,1,,
4.422,940.858,µm^3,Cumulative Volume,Image 1,1,,
4.69,1039.63,µm^3,Cumulative Volume,Image 1,1,,
4.958,1143.33,µm^3,Cumulative Volume,Image 1,1,,
5.226,1251.72,µm^3,Cumulative Volume,Image 1,1,,
5.494,1364.75,µm^3,Cumulative Volume,Image 1,1,,
5.762,1483.18,µm^3,Cumulative Volume,Image 1,1,,
6.03,1606.46,µm^3,Cumulative Volume,Image 1,1,,
6.298,1734.93,µm^3,Cumulative Volume,Image 1,1,,
6.566,1866.92,µm^3,Cumulative Volume,Image 1,1,,
6.834,2000.57,µm^3,Cumulative Volume,Image 1,1,,
7.102,2136.23,µm^3,Cumulative Volume,Image 1,1,,
7.37,2273.74,µm^3,Cumulative Volume,Image 1,1,,
7.638,2413,µm^3,Cumulative Volume,Image 1,1,,
7.906,2554.81,µm^3,Cumulative Volume,Image 1,1,,
8.174,2698.43,µm^3,Cumulative Volume,Image 1,1,,
8.442,2844.75,µm^3,Cumulative Volume,Image 1,1,,
8.71,2994.33,µm^3,Cumulative Volume,Image 1,1,,
8.978,3145.56,µm^3,Cumulative Volume,Image 1,1,,
9.246,3298.86,µm^3,Cumulative Volume,Image 1,1,,
9.514,3454.94,µm^3,Cumulative Volume,Image 1,1,,
9.782,3613.34,µm^3,Cumulative Volume,Image 1,1,,
10.05,3769.85,µm^3,Cumulative Volume,Image 1,1,,
10.318,3923.31,µm^3,Cumulative Volume,Image 1,1,,
10.586,4074.07,µm^3,Cumulative Volume,Image 1,1,,
10.854,4220.96,µm^3,Cumulative Volume,Image 1,1,,
11.122,4365.2,µm^3,Cumulative Volume,Image 1,1,,
11.39,4507.68,µm^3,Cumulative Volume,Image 1,1,,
11.658,4646.62,µm^3,Cumulative Volume,Image 1,1,,
11.926,4782.34,µm^3,Cumulative Volume,Image 1,1,,
12.194,4915.65,µm^3,Cumulative Volume,Image 1,1,,
12.462,5046.35,µm^3,Cumulative Volume,Image 1,1,,
12.73,5171.45,µm^3,Cumulative Volume,Image 1,1,,
12.998,5289.6,µm^3,Cumulative Volume,Image 1,1,,
13.266,5400.53,µm^3,Cumulative Volume,Image 1,1,,
13.534,5503.22,µm^3,Cumulative Volume,Image 1,1,,
13.802,5599.19,µm^3,Cumulative Volume,Image 1,1,,
14.07,5690,µm^3,Cumulative Volume,Image 1,1,,
14.338,5775.62,µm^3,Cumulative Volume,Image 1,1,,
14.606,5857.23,µm^3,Cumulative Volume,Image 1,1,,
14.874,5935.93,µm^3,Cumulative Volume,Image 1,1,,
15.142,6011.11,µm^3,Cumulative Volume,Image 1,1,,
15.41,6083.18,µm^3,Cumulative Volume,Image 1,1,,
15.678,6152.96,µm^3,Cumulative Volume,Image 1,1,,
15.946,6220.73,µm^3,Cumulative Volume,Image 1,1,,
16.214,6285.43,µm^3,Cumulative Volume,Image 1,1,,
16.482,6347.7,µm^3,Cumulative Volume,Image 1,1,,
16.75,6408.43,µm^3,Cumulative Volume,Image 1,1,,
17.018,6468.3,µm^3,Cumulative Volume,Image 1,1,,
17.286,6527.95,µm^3,Cumulative Volume,Image 1,1,,
17.554,6587.81,µm^3,Cumulative Volume,Image 1,1,,
17.822,6646.68,µm^3,Cumulative Volume,Image 1,1,,
18.09,6704.89,µm^3,Cumulative Volume,Image 1,1,,
18.358,6762.96,µm^3,Cumulative Volume,Image 1,1,,
18.626,6821.17,µm^3,Cumulative Volume,Image 1,1,,
18.894,6879.47,µm^3,Cumulative Volume,Image 1,1,,
19.162,6938.13,µm^3,Cumulative Volume,Image 1,1,,
19.43,6997.29,µm^3,Cumulative Volume,Image 1,1,,
19.698,7055.08,µm^3,Cumulative Volume,Image 1,1,,
19.966,7110.52,µm^3,Cumulative Volume,Image 1,1,,
20.234,7161.42,µm^3,Cumulative Volume,Image 1,1,,
20.502,7205.83,µm^3,Cumulative Volume,Image 1,1,,
20.77,7243.21,µm^3,Cumulative Volume,Image 1,1,,
21.038,7274.06,µm^3,Cumulative Volume,Image 1,1,,
