
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.134,33.9938,µm^3,Cumulative Volume Outside,Image 1,1,,
0.402,79.6411,µm^3,Cumulative Volume Outside,Image 1,1,,
0.67,137.166,µm^3,Cumulative Volume Outside,Image 1,1,,
0.938,206.855,µm^3,Cumulative Volume Outside,Image 1,1,,
1.206,288.532,µm^3,Cumulative Volume Outside,Image 1,1,,
1.474,382.727,µm^3,Cumulative Volume Outside,Image 1,1,,
1.742,490.122,µm^3,Cumulative Volume Outside,Image 1,1,,
2.01,610.874,µm^3,Cumulative Volume Outside,Image 1,1,,
2.278,743.749,µm^3,Cumulative Volume Outside,Image 1,1,,
2.546,888.074,µm^3,Cumulative Volume Outside,Image 1,1,,
2.814,1043.68,µm^3,Cumulative Volume Outside,Image 1,1,,
3.082,1210.83,µm^3,Cumulative Volume Outside,Image 1,1,,
3.35,1390.59,µm^3,Cumulative Volume Outside,Image 1,1,,
3.618,1583.46,µm^3,Cumulative Volume Outside,Image 1,1,,
3.886,1788.41,µm^3,Cumulative Volume Outside,Image 1,1,,
4.154,2005.3,µm^3,Cumulative Volume Outside,Image 1,1,,
4.422,2235.2,µm^3,Cumulative Volume Outside,Image 1,1,,
4.69,2478.06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.958,2735.07,µm^3,Cumulative Volume Outside,Image 1,1,,
5.226,3005.39,µm^3,Cumulative Volume Outside,Image 1,1,,
5.494,3288.2,µm^3,Cumulative Volume Outside,Image 1,1,,
5.762,3585.05,µm^3,Cumulative Volume Outside,Image 1,1,,
6.03,3894.61,µm^3,Cumulative Volume Outside,Image 1,1,,
6.298,4218.98,µm^3,Cumulative Volume Outside,Image 1,1,,
6.566,4556.78,µm^3,Cumulative Volume Outside,Image 1,1,,
6.834,4906.24,µm^3,Cumulative Volume Outside,Image 1,1,,
7.102,5267.92,µm^3,Cumulative Volume Outside,Image 1,1,,
7.37,5640.35,µm^3,Cumulative Volume Outside,Image 1,1,,
7.638,6021.32,µm^3,Cumulative Volume Outside,Image 1,1,,
7.906,6409.4,µm^3,Cumulative Volume Outside,Image 1,1,,
8.174,6799.59,µm^3,Cumulative Volume Outside,Image 1,1,,
8.442,7193.35,µm^3,Cumulative Volume Outside,Image 1,1,,
8.71,7592.4,µm^3,Cumulative Volume Outside,Image 1,1,,
8.978,7992.58,µm^3,Cumulative Volume Outside,Image 1,1,,
9.246,8395,µm^3,Cumulative Volume Outside,Image 1,1,,
9.514,8801.36,µm^3,Cumulative Volume Outside,Image 1,1,,
9.782,9210.86,µm^3,Cumulative Volume Outside,Image 1,1,,
10.05,9616.51,µm^3,Cumulative Volume Outside,Image 1,1,,
10.318,10019.4,µm^3,Cumulative Volume Outside,Image 1,1,,
10.586,10421.6,µm^3,Cumulative Volume Outside,Image 1,1,,
10.854,10818.9,µm^3,Cumulative Volume Outside,Image 1,1,,
11.122,11213.2,µm^3,Cumulative Volume Outside,Image 1,1,,
11.39,11606.5,µm^3,Cumulative Volume Outside,Image 1,1,,
11.658,11993.5,µm^3,Cumulative Volume Outside,Image 1,1,,
11.926,12375.3,µm^3,Cumulative Volume Outside,Image 1,1,,
12.194,12754.3,µm^3,Cumulative Volume Outside,Image 1,1,,
12.462,13132,µm^3,Cumulative Volume Outside,Image 1,1,,
12.73,13503.5,µm^3,Cumulative Volume Outside,Image 1,1,,
12.998,13868.6,µm^3,Cumulative Volume Outside,Image 1,1,,
13.266,14226.2,µm^3,Cumulative Volume Outside,Image 1,1,,
13.534,14569.4,µm^3,Cumulative Volume Outside,Image 1,1,,
13.802,14897.8,µm^3,Cumulative Volume Outside,Image 1,1,,
14.07,15211.8,µm^3,Cumulative Volume Outside,Image 1,1,,
14.338,15508.1,µm^3,Cumulative Volume Outside,Image 1,1,,
14.606,15787.9,µm^3,Cumulative Volume Outside,Image 1,1,,
14.874,16052.6,µm^3,Cumulative Volume Outside,Image 1,1,,
15.142,16298.9,µm^3,Cumulative Volume Outside,Image 1,1,,
15.41,16527.4,µm^3,Cumulative Volume Outside,Image 1,1,,
15.678,16740.6,µm^3,Cumulative Volume Outside,Image 1,1,,
15.946,16939.6,µm^3,Cumulative Volume Outside,Image 1,1,,
16.214,17121.4,µm^3,Cumulative Volume Outside,Image 1,1,,
16.482,17287.2,µm^3,Cumulative Volume Outside,Image 1,1,,
16.75,17438.1,µm^3,Cumulative Volume Outside,Image 1,1,,
17.018,17574.7,µm^3,Cumulative Volume Outside,Image 1,1,,
17.286,17697.6,µm^3,Cumulative Volume Outside,Image 1,1,,
17.554,17807.2,µm^3,Cumulative Volume Outside,Image 1,1,,
17.822,17901.6,µm^3,Cumulative Volume Outside,Image 1,1,,
18.09,17982.7,µm^3,Cumulative Volume Outside,Image 1,1,,
18.358,18052.2,µm^3,Cumulative Volume Outside,Image 1,1,,
18.626,18111.4,µm^3,Cumulative Volume Outside,Image 1,1,,
18.894,18161.3,µm^3,Cumulative Volume Outside,Image 1,1,,
