
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
649.459,µm,Surface,Distance from Origin,1,0,
650.094,µm,Surface,Distance from Origin,1,1,
651.137,µm,Surface,Distance from Origin,1,2,
648.065,µm,Surface,Distance from Origin,1,3,
646.945,µm,Surface,Distance from Origin,1,4,
646.12,µm,Surface,Distance from Origin,1,5,
645.399,µm,Surface,Distance from Origin,1,6,
644.159,µm,Surface,Distance from Origin,1,7,
642.456,µm,Surface,Distance from Origin,1,8,
641.628,µm,Surface,Distance from Origin,1,9,
