
Area
 ==================== 
Area,Unit,Category,Time,ID,
7.5506,µm^2,Surface,1,0,
7.89746,µm^2,Surface,1,1,
5.92911,µm^2,Surface,1,2,
6.42471,µm^2,Surface,1,3,
