
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.134,6.92127,µm^3,Volume Outside,Image 1,1,,
0.402,10.0658,µm^3,Volume Outside,Image 1,1,,
0.67,13.6845,µm^3,Volume Outside,Image 1,1,,
0.938,17.8091,µm^3,Volume Outside,Image 1,1,,
1.206,22.284,µm^3,Volume Outside,Image 1,1,,
1.474,27.2747,µm^3,Volume Outside,Image 1,1,,
1.742,32.922,µm^3,Volume Outside,Image 1,1,,
2.01,39.1058,µm^3,Volume Outside,Image 1,1,,
2.278,45.5799,µm^3,Volume Outside,Image 1,1,,
2.546,52.4583,µm^3,Volume Outside,Image 1,1,,
2.814,59.8132,µm^3,Volume Outside,Image 1,1,,
3.082,67.6398,µm^3,Volume Outside,Image 1,1,,
3.35,76.4022,µm^3,Volume Outside,Image 1,1,,
3.618,85.7943,µm^3,Volume Outside,Image 1,1,,
3.886,95.0676,µm^3,Volume Outside,Image 1,1,,
4.154,104.545,µm^3,Volume Outside,Image 1,1,,
4.422,114.909,µm^3,Volume Outside,Image 1,1,,
4.69,125.663,µm^3,Volume Outside,Image 1,1,,
4.958,137.493,µm^3,Volume Outside,Image 1,1,,
5.226,149.308,µm^3,Volume Outside,Image 1,1,,
5.494,161.074,µm^3,Volume Outside,Image 1,1,,
5.762,174.134,µm^3,Volume Outside,Image 1,1,,
6.03,186.853,µm^3,Volume Outside,Image 1,1,,
6.298,201.273,µm^3,Volume Outside,Image 1,1,,
6.566,215.392,µm^3,Volume Outside,Image 1,1,,
6.834,228.92,µm^3,Volume Outside,Image 1,1,,
7.102,242.971,µm^3,Volume Outside,Image 1,1,,
7.37,255.57,µm^3,Volume Outside,Image 1,1,,
7.638,267.296,µm^3,Volume Outside,Image 1,1,,
7.906,280.27,µm^3,Volume Outside,Image 1,1,,
8.174,291.202,µm^3,Volume Outside,Image 1,1,,
8.442,302.884,µm^3,Volume Outside,Image 1,1,,
8.71,313.732,µm^3,Volume Outside,Image 1,1,,
8.978,318.949,µm^3,Volume Outside,Image 1,1,,
9.246,322.264,µm^3,Volume Outside,Image 1,1,,
9.514,325.204,µm^3,Volume Outside,Image 1,1,,
9.782,326.95,µm^3,Volume Outside,Image 1,1,,
10.05,322.831,µm^3,Volume Outside,Image 1,1,,
10.318,319.6,µm^3,Volume Outside,Image 1,1,,
10.586,317.749,µm^3,Volume Outside,Image 1,1,,
10.854,312.274,µm^3,Volume Outside,Image 1,1,,
11.122,308.17,µm^3,Volume Outside,Image 1,1,,
11.39,305.331,µm^3,Volume Outside,Image 1,1,,
11.658,298.327,µm^3,Volume Outside,Image 1,1,,
11.926,291.862,µm^3,Volume Outside,Image 1,1,,
12.194,286.956,µm^3,Volume Outside,Image 1,1,,
12.462,282.834,µm^3,Volume Outside,Image 1,1,,
12.73,274.479,µm^3,Volume Outside,Image 1,1,,
12.998,265.342,µm^3,Volume Outside,Image 1,1,,
13.266,255.676,µm^3,Volume Outside,Image 1,1,,
13.534,242.789,µm^3,Volume Outside,Image 1,1,,
13.802,231.728,µm^3,Volume Outside,Image 1,1,,
14.07,222.426,µm^3,Volume Outside,Image 1,1,,
14.338,211.445,µm^3,Volume Outside,Image 1,1,,
14.606,202.183,µm^3,Volume Outside,Image 1,1,,
14.874,194.481,µm^3,Volume Outside,Image 1,1,,
15.142,185.17,µm^3,Volume Outside,Image 1,1,,
15.41,176.923,µm^3,Volume Outside,Image 1,1,,
15.678,170.702,µm^3,Volume Outside,Image 1,1,,
15.946,165.662,µm^3,Volume Outside,Image 1,1,,
16.214,158.453,µm^3,Volume Outside,Image 1,1,,
16.482,152.657,µm^3,Volume Outside,Image 1,1,,
16.75,148.261,µm^3,Volume Outside,Image 1,1,,
17.018,145.06,µm^3,Volume Outside,Image 1,1,,
17.286,143.354,µm^3,Volume Outside,Image 1,1,,
17.554,142.626,µm^3,Volume Outside,Image 1,1,,
17.822,139.016,µm^3,Volume Outside,Image 1,1,,
18.09,136.301,µm^3,Volume Outside,Image 1,1,,
18.358,134.952,µm^3,Volume Outside,Image 1,1,,
18.626,134.353,µm^3,Volume Outside,Image 1,1,,
18.894,133.925,µm^3,Volume Outside,Image 1,1,,
19.162,134.4,µm^3,Volume Outside,Image 1,1,,
19.43,135.37,µm^3,Volume Outside,Image 1,1,,
19.698,133.125,µm^3,Volume Outside,Image 1,1,,
19.966,131.33,µm^3,Volume Outside,Image 1,1,,
20.234,130.577,µm^3,Volume Outside,Image 1,1,,
20.502,130.329,µm^3,Volume Outside,Image 1,1,,
20.77,130.813,µm^3,Volume Outside,Image 1,1,,
21.038,131.842,µm^3,Volume Outside,Image 1,1,,
21.306,129.847,µm^3,Volume Outside,Image 1,1,,
21.574,128.424,µm^3,Volume Outside,Image 1,1,,
21.842,127.698,µm^3,Volume Outside,Image 1,1,,
22.11,127.534,µm^3,Volume Outside,Image 1,1,,
22.378,127.737,µm^3,Volume Outside,Image 1,1,,
22.646,128.201,µm^3,Volume Outside,Image 1,1,,
22.914,127.46,µm^3,Volume Outside,Image 1,1,,
23.182,120.097,µm^3,Volume Outside,Image 1,1,,
23.45,109.094,µm^3,Volume Outside,Image 1,1,,
23.718,97.2003,µm^3,Volume Outside,Image 1,1,,
23.986,85.161,µm^3,Volume Outside,Image 1,1,,
24.254,73.5296,µm^3,Volume Outside,Image 1,1,,
24.522,62.801,µm^3,Volume Outside,Image 1,1,,
24.79,52.8724,µm^3,Volume Outside,Image 1,1,,
