
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-1.4795,0.3185,µm^3,Volume,Image 1,1,,
-1.2105,1.05105,µm^3,Volume,Image 1,1,,
-0.9415,2.6803,µm^3,Volume,Image 1,1,,
-0.6725,5.45493,µm^3,Volume,Image 1,1,,
-0.4035,9.86494,µm^3,Volume,Image 1,1,,
-0.1345,16.0928,µm^3,Volume,Image 1,1,,
0.1345,23.6879,µm^3,Volume,Image 1,1,,
0.4035,29.5899,µm^3,Volume,Image 1,1,,
0.6725,35.0252,µm^3,Volume,Image 1,1,,
0.9415,40.806,µm^3,Volume,Image 1,1,,
1.2105,47.176,µm^3,Volume,Image 1,1,,
1.4795,54.232,µm^3,Volume,Image 1,1,,
1.7485,61.7976,µm^3,Volume,Image 1,1,,
2.0175,69.5286,µm^3,Volume,Image 1,1,,
2.2865,76.6361,µm^3,Volume,Image 1,1,,
2.5555,83.8219,µm^3,Volume,Image 1,1,,
2.8245,90.2177,µm^3,Volume,Image 1,1,,
3.0935,95.555,µm^3,Volume,Image 1,1,,
3.3625,100.56,µm^3,Volume,Image 1,1,,
3.6315,105.666,µm^3,Volume,Image 1,1,,
3.9005,110.442,µm^3,Volume,Image 1,1,,
4.1695,115.477,µm^3,Volume,Image 1,1,,
4.4385,120.426,µm^3,Volume,Image 1,1,,
4.7075,125.299,µm^3,Volume,Image 1,1,,
4.9765,130.145,µm^3,Volume,Image 1,1,,
5.2455,134.298,µm^3,Volume,Image 1,1,,
5.5145,137.499,µm^3,Volume,Image 1,1,,
5.7835,139.283,µm^3,Volume,Image 1,1,,
6.0525,140.19,µm^3,Volume,Image 1,1,,
6.3215,141.643,µm^3,Volume,Image 1,1,,
6.5905,143.39,µm^3,Volume,Image 1,1,,
6.8595,145.55,µm^3,Volume,Image 1,1,,
7.1285,147.981,µm^3,Volume,Image 1,1,,
7.3975,150.322,µm^3,Volume,Image 1,1,,
7.6665,152.241,µm^3,Volume,Image 1,1,,
7.9355,153.58,µm^3,Volume,Image 1,1,,
8.2045,154.783,µm^3,Volume,Image 1,1,,
8.4735,152.578,µm^3,Volume,Image 1,1,,
8.7425,149.36,µm^3,Volume,Image 1,1,,
9.0115,144.457,µm^3,Volume,Image 1,1,,
9.2805,140.41,µm^3,Volume,Image 1,1,,
9.5495,135.949,µm^3,Volume,Image 1,1,,
9.8185,132.665,µm^3,Volume,Image 1,1,,
10.0875,130.396,µm^3,Volume,Image 1,1,,
10.3565,127.597,µm^3,Volume,Image 1,1,,
10.6255,125.876,µm^3,Volume,Image 1,1,,
10.8945,123.621,µm^3,Volume,Image 1,1,,
11.1635,122.276,µm^3,Volume,Image 1,1,,
11.4325,120.317,µm^3,Volume,Image 1,1,,
11.7015,119.358,µm^3,Volume,Image 1,1,,
11.9705,117.653,µm^3,Volume,Image 1,1,,
12.2395,116.814,µm^3,Volume,Image 1,1,,
12.5085,116.732,µm^3,Volume,Image 1,1,,
12.7775,115.712,µm^3,Volume,Image 1,1,,
13.0465,115.405,µm^3,Volume,Image 1,1,,
13.3155,114.52,µm^3,Volume,Image 1,1,,
13.5845,114.162,µm^3,Volume,Image 1,1,,
13.8535,113.026,µm^3,Volume,Image 1,1,,
14.1225,112.747,µm^3,Volume,Image 1,1,,
14.3915,113.025,µm^3,Volume,Image 1,1,,
14.6605,111.426,µm^3,Volume,Image 1,1,,
14.9295,108.248,µm^3,Volume,Image 1,1,,
15.1985,101.003,µm^3,Volume,Image 1,1,,
15.4675,91.1989,µm^3,Volume,Image 1,1,,
15.7365,78.4479,µm^3,Volume,Image 1,1,,
16.0055,65.959,µm^3,Volume,Image 1,1,,
16.2745,54.8249,µm^3,Volume,Image 1,1,,
16.5435,43.2107,µm^3,Volume,Image 1,1,,
