
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
14.2962,µm,Surface,Position,1,576,
14.1037,µm,Surface,Position,1,581,
19.2281,µm,Surface,Position,1,588,
15.7261,µm,Surface,Position,1,589,
14.2597,µm,Surface,Position,1,592,
22.159,µm,Surface,Position,1,599,
19.9611,µm,Surface,Position,1,601,
12.2492,µm,Surface,Position,1,604,
17.8534,µm,Surface,Position,1,606,
18.1419,µm,Surface,Position,1,607,
14.305,µm,Surface,Position,1,611,
13.3045,µm,Surface,Position,1,614,
13.5676,µm,Surface,Position,1,615,
21.8087,µm,Surface,Position,1,616,
26.1185,µm,Surface,Position,1,617,
13.9355,µm,Surface,Position,1,619,
14.2117,µm,Surface,Position,1,627,
13.8782,µm,Surface,Position,1,631,
16.0327,µm,Surface,Position,1,632,
15.7271,µm,Surface,Position,1,639,
25.7595,µm,Surface,Position,1,644,
27.4002,µm,Surface,Position,1,652,
18.5079,µm,Surface,Position,1,655,
15.6847,µm,Surface,Position,1,657,
24.1054,µm,Surface,Position,1,658,
26.8104,µm,Surface,Position,1,665,
14.6471,µm,Surface,Position,1,682,
14.9109,µm,Surface,Position,1,687,
16.1649,µm,Surface,Position,1,693,
17.5134,µm,Surface,Position,1,699,
23.3602,µm,Surface,Position,1,700,
19.5205,µm,Surface,Position,1,708,
14.0643,µm,Surface,Position,1,710,
23.9696,µm,Surface,Position,1,725,
12.1784,µm,Surface,Position,1,728,
13.8444,µm,Surface,Position,1,729,
14.0615,µm,Surface,Position,1,730,
12.4853,µm,Surface,Position,1,731,
12.7053,µm,Surface,Position,1,733,
22.278,µm,Surface,Position,1,735,
14.5615,µm,Surface,Position,1,736,
17.2228,µm,Surface,Position,1,742,
14.463,µm,Surface,Position,1,748,
14.1661,µm,Surface,Position,1,750,
15.6754,µm,Surface,Position,1,753,
20.76,µm,Surface,Position,1,756,
13.4675,µm,Surface,Position,1,760,
17.2816,µm,Surface,Position,1,764,
23.2975,µm,Surface,Position,1,766,
18.0536,µm,Surface,Position,1,771,
23.2233,µm,Surface,Position,1,772,
15.929,µm,Surface,Position,1,782,
12.3391,µm,Surface,Position,1,783,
13.4001,µm,Surface,Position,1,784,
15.4316,µm,Surface,Position,1,793,
24.5817,µm,Surface,Position,1,794,
19.5884,µm,Surface,Position,1,800,
16.2439,µm,Surface,Position,1,802,
12.6202,µm,Surface,Position,1,805,
15.2694,µm,Surface,Position,1,810,
15.0586,µm,Surface,Position,1,817,
12.4424,µm,Surface,Position,1,821,
15.4265,µm,Surface,Position,1,822,
15.1074,µm,Surface,Position,1,827,
12.6956,µm,Surface,Position,1,831,
15.247,µm,Surface,Position,1,834,
15.9273,µm,Surface,Position,1,839,
13.9755,µm,Surface,Position,1,850,
12.4365,µm,Surface,Position,1,855,
13.5714,µm,Surface,Position,1,868,
15.638,µm,Surface,Position,1,874,
22.4796,µm,Surface,Position,1,875,
15.292,µm,Surface,Position,1,882,
17.6063,µm,Surface,Position,1,883,
12.5995,µm,Surface,Position,1,885,
12.3824,µm,Surface,Position,1,891,
17.9873,µm,Surface,Position,1,892,
12.4752,µm,Surface,Position,1,895,
15.8332,µm,Surface,Position,1,896,
15.0271,µm,Surface,Position,1,897,
14.4365,µm,Surface,Position,1,901,
20.1675,µm,Surface,Position,1,905,
19.523,µm,Surface,Position,1,911,
13.4619,µm,Surface,Position,1,912,
23.0356,µm,Surface,Position,1,924,
12.6373,µm,Surface,Position,1,925,
16.2865,µm,Surface,Position,1,926,
13.8641,µm,Surface,Position,1,935,
22.005,µm,Surface,Position,1,936,
18.8724,µm,Surface,Position,1,946,
26.7149,µm,Surface,Position,1,950,
13.6126,µm,Surface,Position,1,955,
13.9576,µm,Surface,Position,1,957,
20.036,µm,Surface,Position,1,962,
14.1329,µm,Surface,Position,1,966,
22.5232,µm,Surface,Position,1,977,
15.2216,µm,Surface,Position,1,979,
17.4198,µm,Surface,Position,1,986,
27.1315,µm,Surface,Position,1,991,
14.0522,µm,Surface,Position,1,993,
14.5522,µm,Surface,Position,1,1011,
16.2511,µm,Surface,Position,1,1013,
22.8534,µm,Surface,Position,1,1016,
23.8636,µm,Surface,Position,1,1017,
14.8694,µm,Surface,Position,1,1023,
20.7587,µm,Surface,Position,1,1024,
12.2226,µm,Surface,Position,1,1030,
22.7407,µm,Surface,Position,1,1033,
17.06,µm,Surface,Position,1,1041,
14.24,µm,Surface,Position,1,1043,
12.3672,µm,Surface,Position,1,1046,
12.2408,µm,Surface,Position,1,1048,
15.9786,µm,Surface,Position,1,1049,
17.4366,µm,Surface,Position,1,1051,
13.3081,µm,Surface,Position,1,1052,
15.3831,µm,Surface,Position,1,1053,
12.5423,µm,Surface,Position,1,1055,
17.0725,µm,Surface,Position,1,1056,
13.3493,µm,Surface,Position,1,1062,
17.3487,µm,Surface,Position,1,1065,
15.2018,µm,Surface,Position,1,1066,
13.3511,µm,Surface,Position,1,1070,
17.1798,µm,Surface,Position,1,1071,
20.3324,µm,Surface,Position,1,1074,
14.0721,µm,Surface,Position,1,1078,
14.142,µm,Surface,Position,1,1087,
19.7904,µm,Surface,Position,1,1090,
24.3182,µm,Surface,Position,1,1093,
14.3225,µm,Surface,Position,1,1094,
19.7182,µm,Surface,Position,1,1095,
14.434,µm,Surface,Position,1,1096,
14.2991,µm,Surface,Position,1,1101,
12.2804,µm,Surface,Position,1,1102,
18.7417,µm,Surface,Position,1,1104,
22.7004,µm,Surface,Position,1,1105,
23.0691,µm,Surface,Position,1,1106,
12.4111,µm,Surface,Position,1,1108,
22.2951,µm,Surface,Position,1,1109,
21.38,µm,Surface,Position,1,1112,
12.5968,µm,Surface,Position,1,1118,
18.4615,µm,Surface,Position,1,1121,
22.6466,µm,Surface,Position,1,1131,
18.543,µm,Surface,Position,1,1134,
13.3371,µm,Surface,Position,1,1137,
17.6795,µm,Surface,Position,1,1144,
14.3909,µm,Surface,Position,1,1145,
14.5891,µm,Surface,Position,1,1148,
22.5358,µm,Surface,Position,1,1163,
16.1548,µm,Surface,Position,1,1166,
27.486,µm,Surface,Position,1,1169,
26.2866,µm,Surface,Position,1,1171,
23.3553,µm,Surface,Position,1,1173,
19.0812,µm,Surface,Position,1,1177,
23.4067,µm,Surface,Position,1,1184,
12.8972,µm,Surface,Position,1,1189,
16.8029,µm,Surface,Position,1,1191,
19.1057,µm,Surface,Position,1,1193,
12.3158,µm,Surface,Position,1,1198,
19.065,µm,Surface,Position,1,1200,
27.0545,µm,Surface,Position,1,1202,
25.9553,µm,Surface,Position,1,1203,
23.2123,µm,Surface,Position,1,1212,
12.2096,µm,Surface,Position,1,1217,
15.5355,µm,Surface,Position,1,1223,
12.4204,µm,Surface,Position,1,1224,
20.6813,µm,Surface,Position,1,1226,
14.5495,µm,Surface,Position,1,1231,
21.4419,µm,Surface,Position,1,1236,
17.3124,µm,Surface,Position,1,1237,
18.9499,µm,Surface,Position,1,1240,
14.842,µm,Surface,Position,1,1241,
21.9328,µm,Surface,Position,1,1242,
20.4738,µm,Surface,Position,1,1247,
19.0319,µm,Surface,Position,1,1249,
13.9163,µm,Surface,Position,1,1250,
19.3232,µm,Surface,Position,1,1251,
19.5602,µm,Surface,Position,1,1253,
23.7784,µm,Surface,Position,1,1254,
12.1262,µm,Surface,Position,1,1256,
15.2917,µm,Surface,Position,1,1264,
12.8281,µm,Surface,Position,1,1267,
21.8806,µm,Surface,Position,1,1275,
17.5266,µm,Surface,Position,1,1277,
17.6291,µm,Surface,Position,1,1278,
19.982,µm,Surface,Position,1,1280,
20.7165,µm,Surface,Position,1,1282,
20.2772,µm,Surface,Position,1,1283,
13.607,µm,Surface,Position,1,1285,
14.6934,µm,Surface,Position,1,1288,
19.8587,µm,Surface,Position,1,1292,
22.9454,µm,Surface,Position,1,1297,
18.584,µm,Surface,Position,1,1300,
20.2975,µm,Surface,Position,1,1303,
15.8145,µm,Surface,Position,1,1306,
18.3667,µm,Surface,Position,1,1307,
23.7297,µm,Surface,Position,1,1310,
21.7156,µm,Surface,Position,1,1312,
18.4507,µm,Surface,Position,1,1321,
14.4741,µm,Surface,Position,1,1323,
15.1957,µm,Surface,Position,1,1332,
19.0209,µm,Surface,Position,1,1334,
20.6441,µm,Surface,Position,1,1341,
12.9963,µm,Surface,Position,1,1348,
15.5623,µm,Surface,Position,1,1350,
14.3064,µm,Surface,Position,1,1353,
13.099,µm,Surface,Position,1,1356,
14.2071,µm,Surface,Position,1,1358,
14.8203,µm,Surface,Position,1,1359,
15.0454,µm,Surface,Position,1,1360,
18.173,µm,Surface,Position,1,1365,
24.5173,µm,Surface,Position,1,1369,
19.0057,µm,Surface,Position,1,1371,
18.6258,µm,Surface,Position,1,1383,
17.8593,µm,Surface,Position,1,1388,
12.1727,µm,Surface,Position,1,1392,
15.2416,µm,Surface,Position,1,1395,
12.6122,µm,Surface,Position,1,1399,
16.6077,µm,Surface,Position,1,1400,
22.3339,µm,Surface,Position,1,1401,
14.3321,µm,Surface,Position,1,1406,
12.4272,µm,Surface,Position,1,1408,
15.9831,µm,Surface,Position,1,1410,
15.666,µm,Surface,Position,1,1411,
14.183,µm,Surface,Position,1,1422,
21.125,µm,Surface,Position,1,1428,
17.4917,µm,Surface,Position,1,1429,
20.6293,µm,Surface,Position,1,1441,
24.4628,µm,Surface,Position,1,1464,
15.2959,µm,Surface,Position,1,1467,
26.8433,µm,Surface,Position,1,1470,
19.7443,µm,Surface,Position,1,1475,
22.769,µm,Surface,Position,1,1488,
23.7929,µm,Surface,Position,1,1494,
14.5627,µm,Surface,Position,1,1501,
15.7183,µm,Surface,Position,1,1502,
14.2011,µm,Surface,Position,1,1503,
15.699,µm,Surface,Position,1,1504,
14.1638,µm,Surface,Position,1,1508,
28.1044,µm,Surface,Position,1,1510,
21.5961,µm,Surface,Position,1,1512,
17.9503,µm,Surface,Position,1,1515,
19.9528,µm,Surface,Position,1,1516,
19.0991,µm,Surface,Position,1,1517,
19.4107,µm,Surface,Position,1,1518,
16.3087,µm,Surface,Position,1,1521,
22.5431,µm,Surface,Position,1,1525,
18.1045,µm,Surface,Position,1,1527,
18.7066,µm,Surface,Position,1,1528,
21.2146,µm,Surface,Position,1,1529,
25.28,µm,Surface,Position,1,1534,
24.8203,µm,Surface,Position,1,1535,
15.2464,µm,Surface,Position,1,1537,
26.6955,µm,Surface,Position,1,1540,
13.9615,µm,Surface,Position,1,1542,
27.3012,µm,Surface,Position,1,1545,
19.7019,µm,Surface,Position,1,1546,
28.1762,µm,Surface,Position,1,1547,
24.7413,µm,Surface,Position,1,1549,
14.9312,µm,Surface,Position,1,1554,
13.4511,µm,Surface,Position,1,1555,
21.9054,µm,Surface,Position,1,1556,
20.6941,µm,Surface,Position,1,1565,
17.9013,µm,Surface,Position,1,1566,
19.0442,µm,Surface,Position,1,1569,
14.5203,µm,Surface,Position,1,1574,
18.9732,µm,Surface,Position,1,1575,
17.4821,µm,Surface,Position,1,1577,
15.5849,µm,Surface,Position,1,1578,
14.7462,µm,Surface,Position,1,1579,
20.6595,µm,Surface,Position,1,1580,
13.0799,µm,Surface,Position,1,1584,
12.2694,µm,Surface,Position,1,1597,
27.1692,µm,Surface,Position,1,1599,
17.0546,µm,Surface,Position,1,1602,
12.9802,µm,Surface,Position,1,1607,
13.8746,µm,Surface,Position,1,1609,
14.1798,µm,Surface,Position,1,1610,
23.3775,µm,Surface,Position,1,1619,
20.0648,µm,Surface,Position,1,1621,
19.7868,µm,Surface,Position,1,1632,
15.567,µm,Surface,Position,1,1635,
17.4379,µm,Surface,Position,1,1647,
19.7209,µm,Surface,Position,1,1656,
13.4113,µm,Surface,Position,1,1657,
13.7702,µm,Surface,Position,1,1659,
13.1137,µm,Surface,Position,1,1662,
13.8654,µm,Surface,Position,1,1663,
12.9032,µm,Surface,Position,1,1664,
20.8031,µm,Surface,Position,1,1667,
15.7903,µm,Surface,Position,1,1668,
17.2577,µm,Surface,Position,1,1676,
27.2667,µm,Surface,Position,1,1677,
18.2652,µm,Surface,Position,1,1679,
24.2434,µm,Surface,Position,1,1680,
15.6338,µm,Surface,Position,1,1686,
17.49,µm,Surface,Position,1,1689,
26.375,µm,Surface,Position,1,1692,
13.4388,µm,Surface,Position,1,1715,
17.0557,µm,Surface,Position,1,1716,
12.2189,µm,Surface,Position,1,1718,
13.1975,µm,Surface,Position,1,1722,
14.4088,µm,Surface,Position,1,1739,
23.0313,µm,Surface,Position,1,1742,
12.447,µm,Surface,Position,1,1743,
14.0264,µm,Surface,Position,1,1752,
17.7413,µm,Surface,Position,1,1754,
13.3818,µm,Surface,Position,1,1757,
19.7783,µm,Surface,Position,1,1759,
15.7136,µm,Surface,Position,1,1761,
21.8412,µm,Surface,Position,1,1762,
13.8784,µm,Surface,Position,1,1763,
13.2983,µm,Surface,Position,1,1779,
13.0741,µm,Surface,Position,1,1784,
21.0918,µm,Surface,Position,1,1786,
14.4766,µm,Surface,Position,1,1791,
19.1884,µm,Surface,Position,1,1792,
19.4389,µm,Surface,Position,1,1794,
12.5532,µm,Surface,Position,1,1802,
13.7775,µm,Surface,Position,1,1808,
20.5119,µm,Surface,Position,1,1812,
13.1522,µm,Surface,Position,1,1815,
13.5769,µm,Surface,Position,1,1816,
15.1547,µm,Surface,Position,1,1820,
17.5916,µm,Surface,Position,1,1832,
12.8114,µm,Surface,Position,1,1835,
23.9193,µm,Surface,Position,1,1845,
14.754,µm,Surface,Position,1,1846,
26.5427,µm,Surface,Position,1,1848,
16.783,µm,Surface,Position,1,1856,
14.4156,µm,Surface,Position,1,1860,
15.9534,µm,Surface,Position,1,1866,
20.3407,µm,Surface,Position,1,1867,
20.3638,µm,Surface,Position,1,1868,
20.1467,µm,Surface,Position,1,1871,
15.175,µm,Surface,Position,1,1872,
18.8979,µm,Surface,Position,1,1875,
25.6337,µm,Surface,Position,1,1878,
23.1183,µm,Surface,Position,1,1879,
19.8225,µm,Surface,Position,1,1882,
23.4212,µm,Surface,Position,1,1885,
27.2157,µm,Surface,Position,1,1886,
13.1829,µm,Surface,Position,1,1887,
18.5749,µm,Surface,Position,1,1890,
20.7505,µm,Surface,Position,1,1891,
24.6469,µm,Surface,Position,1,1892,
15.6976,µm,Surface,Position,1,1897,
15.3406,µm,Surface,Position,1,1901,
13.7947,µm,Surface,Position,1,1904,
12.2115,µm,Surface,Position,1,1906,
12.2862,µm,Surface,Position,1,1907,
17.6992,µm,Surface,Position,1,1917,
25.1581,µm,Surface,Position,1,1920,
26.0071,µm,Surface,Position,1,1922,
27.1264,µm,Surface,Position,1,1936,
12.9375,µm,Surface,Position,1,1939,
21.3742,µm,Surface,Position,1,1941,
23.6099,µm,Surface,Position,1,1943,
15.4389,µm,Surface,Position,1,1948,
15.7782,µm,Surface,Position,1,1949,
13.7498,µm,Surface,Position,1,1952,
19.9846,µm,Surface,Position,1,1955,
17.6762,µm,Surface,Position,1,1956,
14.3841,µm,Surface,Position,1,1966,
16.8266,µm,Surface,Position,1,1969,
14.229,µm,Surface,Position,1,1970,
17.3946,µm,Surface,Position,1,1974,
13.0113,µm,Surface,Position,1,1977,
17.467,µm,Surface,Position,1,1988,
22.4827,µm,Surface,Position,1,1990,
12.3545,µm,Surface,Position,1,1992,
15.2091,µm,Surface,Position,1,1993,
14.1258,µm,Surface,Position,1,1997,
13.0541,µm,Surface,Position,1,2001,
19.5182,µm,Surface,Position,1,2006,
15.0236,µm,Surface,Position,1,2010,
13.4681,µm,Surface,Position,1,2013,
13.7838,µm,Surface,Position,1,2016,
12.9924,µm,Surface,Position,1,2020,
15.0485,µm,Surface,Position,1,2021,
21.9106,µm,Surface,Position,1,2023,
18.3076,µm,Surface,Position,1,2025,
13.2684,µm,Surface,Position,1,2026,
12.304,µm,Surface,Position,1,2030,
25.3151,µm,Surface,Position,1,2031,
20.1158,µm,Surface,Position,1,2035,
14.044,µm,Surface,Position,1,2040,
14.5226,µm,Surface,Position,1,2050,
17.3641,µm,Surface,Position,1,2051,
22.0555,µm,Surface,Position,1,2052,
27.0895,µm,Surface,Position,1,2054,
14.7993,µm,Surface,Position,1,2055,
20.0679,µm,Surface,Position,1,2058,
12.2992,µm,Surface,Position,1,2061,
19.8848,µm,Surface,Position,1,2064,
18.8521,µm,Surface,Position,1,2065,
16.0062,µm,Surface,Position,1,2068,
14.316,µm,Surface,Position,1,2070,
25.0815,µm,Surface,Position,1,2074,
25.9214,µm,Surface,Position,1,2076,
17.9227,µm,Surface,Position,1,2079,
13.0063,µm,Surface,Position,1,2090,
21.9407,µm,Surface,Position,1,2092,
14.6471,µm,Surface,Position,1,2094,
