
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1376,,Surface,4,Image 1,1,4,
1351,,Surface,4,Image 1,1,5,
1038,,Surface,4,Image 1,1,11,
1028,,Surface,4,Image 1,1,14,
1120,,Surface,4,Image 1,1,20,
1020,,Surface,4,Image 1,1,21,
802,,Surface,4,Image 1,1,27,
1062,,Surface,4,Image 1,1,32,
1664,,Surface,4,Image 1,1,34,
1227,,Surface,4,Image 1,1,38,
1014,,Surface,4,Image 1,1,40,
917,,Surface,4,Image 1,1,41,
1137,,Surface,4,Image 1,1,45,
1536,,Surface,4,Image 1,1,50,
1080,,Surface,4,Image 1,1,53,
1201,,Surface,4,Image 1,1,55,
717,,Surface,4,Image 1,1,57,
555,,Surface,4,Image 1,1,58,
977,,Surface,4,Image 1,1,59,
851,,Surface,4,Image 1,1,62,
834,,Surface,4,Image 1,1,65,
670,,Surface,4,Image 1,1,70,
1073,,Surface,4,Image 1,1,81,
790,,Surface,4,Image 1,1,83,
1127,,Surface,4,Image 1,1,84,
566,,Surface,4,Image 1,1,90,
1049,,Surface,4,Image 1,1,94,
728,,Surface,4,Image 1,1,95,
1114,,Surface,4,Image 1,1,96,
651,,Surface,4,Image 1,1,98,
768,,Surface,4,Image 1,1,100,
926,,Surface,4,Image 1,1,102,
915,,Surface,4,Image 1,1,104,
1921,,Surface,4,Image 1,1,112,
651,,Surface,4,Image 1,1,113,
849,,Surface,4,Image 1,1,114,
897,,Surface,4,Image 1,1,118,
675,,Surface,4,Image 1,1,121,
722,,Surface,4,Image 1,1,124,
878,,Surface,4,Image 1,1,137,
522,,Surface,4,Image 1,1,138,
437,,Surface,4,Image 1,1,141,
1304,,Surface,4,Image 1,1,145,
671,,Surface,4,Image 1,1,149,
972,,Surface,4,Image 1,1,150,
1045,,Surface,4,Image 1,1,154,
1138,,Surface,4,Image 1,1,155,
612,,Surface,4,Image 1,1,166,
590,,Surface,4,Image 1,1,171,
766,,Surface,4,Image 1,1,173,
902,,Surface,4,Image 1,1,174,
882,,Surface,4,Image 1,1,176,
884,,Surface,4,Image 1,1,177,
676,,Surface,4,Image 1,1,190,
769,,Surface,4,Image 1,1,192,
729,,Surface,4,Image 1,1,193,
750,,Surface,4,Image 1,1,205,
589,,Surface,4,Image 1,1,206,
1020,,Surface,4,Image 1,1,209,
550,,Surface,4,Image 1,1,210,
770,,Surface,4,Image 1,1,212,
696,,Surface,4,Image 1,1,225,
909,,Surface,4,Image 1,1,235,
572,,Surface,4,Image 1,1,237,
1886,,Surface,4,Image 1,1,239,
570,,Surface,4,Image 1,1,245,
1105,,Surface,4,Image 1,1,248,
767,,Surface,4,Image 1,1,251,
507,,Surface,4,Image 1,1,256,
1270,,Surface,4,Image 1,1,258,
1388,,Surface,4,Image 1,1,259,
1144,,Surface,4,Image 1,1,260,
1245,,Surface,4,Image 1,1,262,
613,,Surface,4,Image 1,1,263,
1314,,Surface,4,Image 1,1,269,
452,,Surface,4,Image 1,1,271,
915,,Surface,4,Image 1,1,278,
959,,Surface,4,Image 1,1,280,
693,,Surface,4,Image 1,1,289,
1111,,Surface,4,Image 1,1,292,
702,,Surface,4,Image 1,1,294,
866,,Surface,4,Image 1,1,295,
576,,Surface,4,Image 1,1,297,
915,,Surface,4,Image 1,1,298,
780,,Surface,4,Image 1,1,312,
1165,,Surface,4,Image 1,1,318,
1101,,Surface,4,Image 1,1,326,
1102,,Surface,4,Image 1,1,332,
639,,Surface,4,Image 1,1,339,
611,,Surface,4,Image 1,1,343,
384,,Surface,4,Image 1,1,346,
