
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,ID,
1,,Surface,1,1249,
1,,Surface,1,1250,
1,,Surface,1,1251,
1,,Surface,1,1253,
1,,Surface,1,1254,
1,,Surface,1,1256,
1,,Surface,1,1264,
1,,Surface,1,1267,
1,,Surface,1,1275,
1,,Surface,1,1277,
1,,Surface,1,1278,
1,,Surface,1,1280,
1,,Surface,1,1282,
1,,Surface,1,1283,
1,,Surface,1,1285,
1,,Surface,1,1288,
1,,Surface,1,1292,
1,,Surface,1,1297,
1,,Surface,1,1300,
1,,Surface,1,1303,
1,,Surface,1,1306,
1,,Surface,1,1307,
1,,Surface,1,1310,
1,,Surface,1,1312,
1,,Surface,1,1321,
1,,Surface,1,1323,
1,,Surface,1,1332,
1,,Surface,1,1334,
1,,Surface,1,1341,
1,,Surface,1,1348,
1,,Surface,1,1350,
1,,Surface,1,1353,
1,,Surface,1,1356,
1,,Surface,1,1358,
1,,Surface,1,1359,
1,,Surface,1,1360,
1,,Surface,1,1365,
1,,Surface,1,1369,
1,,Surface,1,1371,
1,,Surface,1,1383,
1,,Surface,1,1388,
1,,Surface,1,1392,
1,,Surface,1,1395,
1,,Surface,1,1399,
1,,Surface,1,1400,
1,,Surface,1,1401,
1,,Surface,1,1406,
1,,Surface,1,1408,
1,,Surface,1,1410,
1,,Surface,1,1411,
1,,Surface,1,1422,
1,,Surface,1,1428,
1,,Surface,1,1429,
1,,Surface,1,1441,
1,,Surface,1,1464,
1,,Surface,1,1467,
1,,Surface,1,1470,
1,,Surface,1,1475,
1,,Surface,1,1488,
1,,Surface,1,1494,
1,,Surface,1,1501,
1,,Surface,1,1502,
1,,Surface,1,1503,
1,,Surface,1,1504,
1,,Surface,1,1508,
1,,Surface,1,1510,
1,,Surface,1,1512,
1,,Surface,1,1515,
1,,Surface,1,1516,
1,,Surface,1,1517,
1,,Surface,1,1518,
1,,Surface,1,1521,
1,,Surface,1,1525,
1,,Surface,1,1527,
1,,Surface,1,1528,
1,,Surface,1,1529,
1,,Surface,1,1534,
1,,Surface,1,1535,
1,,Surface,1,1537,
1,,Surface,1,1540,
1,,Surface,1,1542,
1,,Surface,1,1545,
1,,Surface,1,1546,
1,,Surface,1,1547,
1,,Surface,1,1549,
1,,Surface,1,1554,
1,,Surface,1,1555,
1,,Surface,1,1556,
1,,Surface,1,1565,
1,,Surface,1,1566,
1,,Surface,1,1569,
1,,Surface,1,1574,
1,,Surface,1,1575,
1,,Surface,1,1577,
1,,Surface,1,1578,
1,,Surface,1,1579,
1,,Surface,1,1580,
1,,Surface,1,1584,
1,,Surface,1,1597,
1,,Surface,1,1599,
1,,Surface,1,1602,
1,,Surface,1,1607,
1,,Surface,1,1609,
1,,Surface,1,1610,
1,,Surface,1,1619,
1,,Surface,1,1621,
1,,Surface,1,1632,
1,,Surface,1,1635,
1,,Surface,1,1647,
1,,Surface,1,1656,
1,,Surface,1,1657,
1,,Surface,1,1659,
1,,Surface,1,1662,
1,,Surface,1,1663,
1,,Surface,1,1664,
1,,Surface,1,1667,
1,,Surface,1,1668,
1,,Surface,1,1676,
1,,Surface,1,1677,
1,,Surface,1,1679,
1,,Surface,1,1680,
1,,Surface,1,1686,
1,,Surface,1,1689,
1,,Surface,1,1692,
1,,Surface,1,1715,
1,,Surface,1,1716,
1,,Surface,1,1718,
1,,Surface,1,1722,
1,,Surface,1,1739,
1,,Surface,1,1742,
1,,Surface,1,1743,
1,,Surface,1,1752,
1,,Surface,1,1754,
1,,Surface,1,1757,
1,,Surface,1,1759,
1,,Surface,1,1761,
1,,Surface,1,1762,
1,,Surface,1,1763,
1,,Surface,1,1779,
1,,Surface,1,1784,
1,,Surface,1,1786,
1,,Surface,1,1791,
1,,Surface,1,1792,
1,,Surface,1,1794,
1,,Surface,1,1802,
1,,Surface,1,1808,
1,,Surface,1,1812,
1,,Surface,1,1815,
1,,Surface,1,1816,
1,,Surface,1,1820,
1,,Surface,1,1832,
1,,Surface,1,1835,
1,,Surface,1,1845,
1,,Surface,1,1846,
1,,Surface,1,1848,
1,,Surface,1,1856,
1,,Surface,1,1860,
1,,Surface,1,1866,
1,,Surface,1,1867,
1,,Surface,1,1868,
1,,Surface,1,1871,
1,,Surface,1,1872,
1,,Surface,1,1875,
1,,Surface,1,1878,
1,,Surface,1,1879,
1,,Surface,1,1882,
1,,Surface,1,1885,
1,,Surface,1,1886,
1,,Surface,1,1887,
1,,Surface,1,1890,
1,,Surface,1,1891,
1,,Surface,1,1892,
1,,Surface,1,1897,
1,,Surface,1,1901,
1,,Surface,1,1904,
1,,Surface,1,1906,
1,,Surface,1,1907,
1,,Surface,1,1917,
1,,Surface,1,1920,
1,,Surface,1,1922,
1,,Surface,1,1936,
1,,Surface,1,1939,
1,,Surface,1,1941,
1,,Surface,1,1943,
1,,Surface,1,1948,
1,,Surface,1,1949,
1,,Surface,1,1952,
1,,Surface,1,1955,
1,,Surface,1,1956,
1,,Surface,1,1966,
1,,Surface,1,1969,
1,,Surface,1,1970,
1,,Surface,1,1974,
1,,Surface,1,1977,
1,,Surface,1,1988,
1,,Surface,1,1990,
1,,Surface,1,1992,
1,,Surface,1,1993,
1,,Surface,1,1997,
1,,Surface,1,2001,
1,,Surface,1,2006,
1,,Surface,1,2010,
1,,Surface,1,2013,
1,,Surface,1,2016,
1,,Surface,1,2020,
1,,Surface,1,2021,
1,,Surface,1,2023,
1,,Surface,1,2025,
1,,Surface,1,2026,
1,,Surface,1,2030,
1,,Surface,1,2031,
1,,Surface,1,2035,
1,,Surface,1,2040,
1,,Surface,1,2050,
1,,Surface,1,2051,
1,,Surface,1,2052,
1,,Surface,1,2054,
1,,Surface,1,2055,
1,,Surface,1,2058,
1,,Surface,1,2061,
1,,Surface,1,2064,
1,,Surface,1,2065,
1,,Surface,1,2068,
1,,Surface,1,2070,
1,,Surface,1,2074,
1,,Surface,1,2076,
1,,Surface,1,2079,
1,,Surface,1,2090,
1,,Surface,1,2092,
1,,Surface,1,2094,
1,,Surface,1,2096,
1,,Surface,1,2097,
1,,Surface,1,2099,
1,,Surface,1,2101,
1,,Surface,1,2103,
1,,Surface,1,2106,
1,,Surface,1,2108,
1,,Surface,1,2113,
1,,Surface,1,2114,
1,,Surface,1,2115,
1,,Surface,1,2133,
1,,Surface,1,2138,
1,,Surface,1,2147,
1,,Surface,1,2150,
1,,Surface,1,2156,
1,,Surface,1,2158,
1,,Surface,1,2159,
1,,Surface,1,2160,
1,,Surface,1,2161,
1,,Surface,1,2164,
1,,Surface,1,2166,
1,,Surface,1,2168,
1,,Surface,1,2170,
1,,Surface,1,2171,
1,,Surface,1,2173,
1,,Surface,1,2174,
1,,Surface,1,2176,
1,,Surface,1,2181,
1,,Surface,1,2187,
1,,Surface,1,2189,
1,,Surface,1,2193,
1,,Surface,1,2204,
1,,Surface,1,2210,
1,,Surface,1,2214,
1,,Surface,1,2216,
1,,Surface,1,2225,
1,,Surface,1,2234,
1,,Surface,1,2235,
1,,Surface,1,2257,
1,,Surface,1,2258,
1,,Surface,1,2259,
1,,Surface,1,2260,
1,,Surface,1,2263,
1,,Surface,1,2264,
1,,Surface,1,2265,
1,,Surface,1,2266,
1,,Surface,1,2275,
1,,Surface,1,2276,
1,,Surface,1,2284,
1,,Surface,1,2294,
1,,Surface,1,2299,
1,,Surface,1,2307,
1,,Surface,1,2310,
1,,Surface,1,2314,
1,,Surface,1,2317,
1,,Surface,1,2318,
1,,Surface,1,2319,
1,,Surface,1,2320,
1,,Surface,1,2331,
1,,Surface,1,2332,
1,,Surface,1,2337,
1,,Surface,1,2339,
1,,Surface,1,2354,
1,,Surface,1,2368,
1,,Surface,1,2369,
1,,Surface,1,2375,
1,,Surface,1,2380,
1,,Surface,1,2398,
1,,Surface,1,2403,
1,,Surface,1,2405,
1,,Surface,1,2409,
1,,Surface,1,2420,
1,,Surface,1,2422,
1,,Surface,1,2426,
1,,Surface,1,2428,
1,,Surface,1,2434,
1,,Surface,1,2438,
1,,Surface,1,2439,
1,,Surface,1,2440,
1,,Surface,1,2441,
1,,Surface,1,2442,
1,,Surface,1,2444,
1,,Surface,1,2453,
1,,Surface,1,2458,
1,,Surface,1,2464,
1,,Surface,1,2469,
1,,Surface,1,2476,
1,,Surface,1,2484,
1,,Surface,1,2489,
1,,Surface,1,2494,
1,,Surface,1,2495,
1,,Surface,1,2496,
1,,Surface,1,2497,
1,,Surface,1,2498,
1,,Surface,1,2499,
