
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-1.215,26.8177,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.945,123.949,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.675,415.05,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.405,1119.58,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.135,2544.9,µm^3,Cumulative Volume Inside,Image 1,1,,
