
Intensity StdDev Ch=19 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
5.65006,,Surface,19,Image 1,1,4,
112.075,,Surface,19,Image 1,1,5,
209.159,,Surface,19,Image 1,1,11,
47.9787,,Surface,19,Image 1,1,14,
81.6242,,Surface,19,Image 1,1,20,
26.7634,,Surface,19,Image 1,1,21,
44.914,,Surface,19,Image 1,1,27,
50.5475,,Surface,19,Image 1,1,32,
72.875,,Surface,19,Image 1,1,34,
24.4033,,Surface,19,Image 1,1,38,
77.3829,,Surface,19,Image 1,1,40,
37.9131,,Surface,19,Image 1,1,41,
29.7058,,Surface,19,Image 1,1,45,
48.916,,Surface,19,Image 1,1,50,
3.84066,,Surface,19,Image 1,1,53,
130.361,,Surface,19,Image 1,1,55,
156.112,,Surface,19,Image 1,1,57,
54.4361,,Surface,19,Image 1,1,58,
69.9824,,Surface,19,Image 1,1,59,
5.86769,,Surface,19,Image 1,1,62,
48.7469,,Surface,19,Image 1,1,65,
113.194,,Surface,19,Image 1,1,70,
195.783,,Surface,19,Image 1,1,81,
150.102,,Surface,19,Image 1,1,83,
127.713,,Surface,19,Image 1,1,84,
61.5597,,Surface,19,Image 1,1,90,
20.553,,Surface,19,Image 1,1,94,
31.9846,,Surface,19,Image 1,1,95,
177.194,,Surface,19,Image 1,1,96,
51.1852,,Surface,19,Image 1,1,98,
216.286,,Surface,19,Image 1,1,100,
32.8567,,Surface,19,Image 1,1,102,
44.4254,,Surface,19,Image 1,1,104,
24.0082,,Surface,19,Image 1,1,112,
36.0687,,Surface,19,Image 1,1,113,
49.3148,,Surface,19,Image 1,1,114,
25.8188,,Surface,19,Image 1,1,118,
139.124,,Surface,19,Image 1,1,121,
81.8225,,Surface,19,Image 1,1,124,
0.082015,,Surface,19,Image 1,1,137,
16.4922,,Surface,19,Image 1,1,138,
131.044,,Surface,19,Image 1,1,141,
14.6135,,Surface,19,Image 1,1,145,
35.1612,,Surface,19,Image 1,1,149,
6.45951,,Surface,19,Image 1,1,150,
17.0173,,Surface,19,Image 1,1,154,
23.2543,,Surface,19,Image 1,1,155,
62.8063,,Surface,19,Image 1,1,166,
281.21,,Surface,19,Image 1,1,171,
523.018,,Surface,19,Image 1,1,173,
80.4843,,Surface,19,Image 1,1,174,
104.063,,Surface,19,Image 1,1,176,
59.8461,,Surface,19,Image 1,1,177,
32.9203,,Surface,19,Image 1,1,190,
54.2344,,Surface,19,Image 1,1,192,
47.9615,,Surface,19,Image 1,1,193,
39.512,,Surface,19,Image 1,1,205,
55.9655,,Surface,19,Image 1,1,206,
126.415,,Surface,19,Image 1,1,209,
281,,Surface,19,Image 1,1,210,
43.9749,,Surface,19,Image 1,1,212,
30.301,,Surface,19,Image 1,1,225,
0,,Surface,19,Image 1,1,235,
796.893,,Surface,19,Image 1,1,237,
94.2564,,Surface,19,Image 1,1,239,
2254.88,,Surface,19,Image 1,1,245,
121.88,,Surface,19,Image 1,1,248,
139.368,,Surface,19,Image 1,1,251,
92.0412,,Surface,19,Image 1,1,256,
15.4491,,Surface,19,Image 1,1,258,
116.279,,Surface,19,Image 1,1,259,
581.155,,Surface,19,Image 1,1,260,
96.4438,,Surface,19,Image 1,1,262,
162.116,,Surface,19,Image 1,1,263,
38.9797,,Surface,19,Image 1,1,269,
280.562,,Surface,19,Image 1,1,271,
43.4139,,Surface,19,Image 1,1,278,
88.1819,,Surface,19,Image 1,1,280,
130.156,,Surface,19,Image 1,1,289,
85.3758,,Surface,19,Image 1,1,292,
90.6187,,Surface,19,Image 1,1,294,
41.3817,,Surface,19,Image 1,1,295,
18.0586,,Surface,19,Image 1,1,297,
99.6115,,Surface,19,Image 1,1,298,
95.6094,,Surface,19,Image 1,1,312,
45.5793,,Surface,19,Image 1,1,318,
61.6194,,Surface,19,Image 1,1,326,
54.1104,,Surface,19,Image 1,1,332,
134.037,,Surface,19,Image 1,1,339,
89.0803,,Surface,19,Image 1,1,343,
150.165,,Surface,19,Image 1,1,346,
94.9139,,Surface,19,Image 1,1,348,
54.6997,,Surface,19,Image 1,1,356,
505.378,,Surface,19,Image 1,1,357,
94.0907,,Surface,19,Image 1,1,359,
12.8071,,Surface,19,Image 1,1,361,
64.4589,,Surface,19,Image 1,1,365,
93.2495,,Surface,19,Image 1,1,370,
32.665,,Surface,19,Image 1,1,376,
10.6494,,Surface,19,Image 1,1,377,
303.6,,Surface,19,Image 1,1,382,
96.7209,,Surface,19,Image 1,1,384,
125.949,,Surface,19,Image 1,1,388,
98.4264,,Surface,19,Image 1,1,389,
89.4278,,Surface,19,Image 1,1,390,
80.8272,,Surface,19,Image 1,1,401,
122.301,,Surface,19,Image 1,1,406,
207.253,,Surface,19,Image 1,1,409,
18.4256,,Surface,19,Image 1,1,410,
88.2953,,Surface,19,Image 1,1,411,
306.567,,Surface,19,Image 1,1,412,
50.3001,,Surface,19,Image 1,1,418,
19.8667,,Surface,19,Image 1,1,424,
128.636,,Surface,19,Image 1,1,426,
28.8642,,Surface,19,Image 1,1,433,
55.7999,,Surface,19,Image 1,1,439,
6.68394,,Surface,19,Image 1,1,449,
165.165,,Surface,19,Image 1,1,452,
61.9192,,Surface,19,Image 1,1,453,
49.3503,,Surface,19,Image 1,1,456,
22.4081,,Surface,19,Image 1,1,457,
82.6206,,Surface,19,Image 1,1,458,
115.89,,Surface,19,Image 1,1,459,
266.737,,Surface,19,Image 1,1,465,
6.41379,,Surface,19,Image 1,1,466,
0,,Surface,19,Image 1,1,470,
122.793,,Surface,19,Image 1,1,474,
19.7223,,Surface,19,Image 1,1,479,
51.4822,,Surface,19,Image 1,1,481,
14.9084,,Surface,19,Image 1,1,482,
22.8375,,Surface,19,Image 1,1,485,
38.5366,,Surface,19,Image 1,1,489,
160.77,,Surface,19,Image 1,1,492,
62.8602,,Surface,19,Image 1,1,497,
69.5092,,Surface,19,Image 1,1,498,
34.1366,,Surface,19,Image 1,1,503,
14.8654,,Surface,19,Image 1,1,504,
84.9465,,Surface,19,Image 1,1,505,
87.0218,,Surface,19,Image 1,1,507,
75.1088,,Surface,19,Image 1,1,508,
45.441,,Surface,19,Image 1,1,524,
114.585,,Surface,19,Image 1,1,530,
125.346,,Surface,19,Image 1,1,532,
10.8844,,Surface,19,Image 1,1,533,
136.252,,Surface,19,Image 1,1,537,
16.8725,,Surface,19,Image 1,1,540,
613.094,,Surface,19,Image 1,1,541,
79.0559,,Surface,19,Image 1,1,542,
184.646,,Surface,19,Image 1,1,544,
47.0828,,Surface,19,Image 1,1,547,
48.0313,,Surface,19,Image 1,1,549,
1483.3,,Surface,19,Image 1,1,550,
26.7468,,Surface,19,Image 1,1,551,
22.3664,,Surface,19,Image 1,1,558,
92.9365,,Surface,19,Image 1,1,561,
66.0254,,Surface,19,Image 1,1,571,
67.4883,,Surface,19,Image 1,1,572,
236.729,,Surface,19,Image 1,1,573,
29.2628,,Surface,19,Image 1,1,576,
245.307,,Surface,19,Image 1,1,581,
126.612,,Surface,19,Image 1,1,588,
108,,Surface,19,Image 1,1,589,
0,,Surface,19,Image 1,1,592,
134.759,,Surface,19,Image 1,1,599,
34.5564,,Surface,19,Image 1,1,601,
566.695,,Surface,19,Image 1,1,604,
43.126,,Surface,19,Image 1,1,606,
769.54,,Surface,19,Image 1,1,607,
62.3028,,Surface,19,Image 1,1,611,
96.7917,,Surface,19,Image 1,1,614,
22.9226,,Surface,19,Image 1,1,615,
66.3996,,Surface,19,Image 1,1,616,
22.7078,,Surface,19,Image 1,1,617,
147.491,,Surface,19,Image 1,1,619,
148.625,,Surface,19,Image 1,1,627,
59.5047,,Surface,19,Image 1,1,631,
31.1772,,Surface,19,Image 1,1,632,
30.0566,,Surface,19,Image 1,1,639,
39.3359,,Surface,19,Image 1,1,644,
41.0219,,Surface,19,Image 1,1,652,
7.74582,,Surface,19,Image 1,1,655,
46.6745,,Surface,19,Image 1,1,657,
9.44147,,Surface,19,Image 1,1,658,
41.2416,,Surface,19,Image 1,1,665,
19.8449,,Surface,19,Image 1,1,682,
112.732,,Surface,19,Image 1,1,687,
34.346,,Surface,19,Image 1,1,693,
14.1918,,Surface,19,Image 1,1,699,
33.3061,,Surface,19,Image 1,1,700,
67.926,,Surface,19,Image 1,1,708,
61.7502,,Surface,19,Image 1,1,710,
17.9538,,Surface,19,Image 1,1,725,
79.9153,,Surface,19,Image 1,1,728,
275.735,,Surface,19,Image 1,1,729,
109.257,,Surface,19,Image 1,1,730,
76.2026,,Surface,19,Image 1,1,731,
21.2323,,Surface,19,Image 1,1,733,
70.5859,,Surface,19,Image 1,1,735,
279.063,,Surface,19,Image 1,1,736,
92.5234,,Surface,19,Image 1,1,742,
47.2942,,Surface,19,Image 1,1,748,
49.3479,,Surface,19,Image 1,1,750,
33.3649,,Surface,19,Image 1,1,753,
18.4922,,Surface,19,Image 1,1,756,
57.7054,,Surface,19,Image 1,1,760,
44.7362,,Surface,19,Image 1,1,764,
32.9426,,Surface,19,Image 1,1,766,
85.2839,,Surface,19,Image 1,1,771,
48.1473,,Surface,19,Image 1,1,772,
27.1293,,Surface,19,Image 1,1,782,
27.0162,,Surface,19,Image 1,1,783,
73.9646,,Surface,19,Image 1,1,784,
54.0159,,Surface,19,Image 1,1,793,
69.2389,,Surface,19,Image 1,1,794,
97.4644,,Surface,19,Image 1,1,800,
110.98,,Surface,19,Image 1,1,802,
350.955,,Surface,19,Image 1,1,805,
1.98238,,Surface,19,Image 1,1,810,
38.9432,,Surface,19,Image 1,1,817,
120.323,,Surface,19,Image 1,1,821,
177.711,,Surface,19,Image 1,1,822,
26.4164,,Surface,19,Image 1,1,827,
137.93,,Surface,19,Image 1,1,831,
19.7066,,Surface,19,Image 1,1,834,
42.7243,,Surface,19,Image 1,1,839,
112.96,,Surface,19,Image 1,1,850,
38.3948,,Surface,19,Image 1,1,855,
18.0581,,Surface,19,Image 1,1,868,
43.9884,,Surface,19,Image 1,1,874,
71.9046,,Surface,19,Image 1,1,875,
27.4288,,Surface,19,Image 1,1,882,
25.0578,,Surface,19,Image 1,1,883,
60.2194,,Surface,19,Image 1,1,885,
50.1701,,Surface,19,Image 1,1,891,
32.1158,,Surface,19,Image 1,1,892,
23.7516,,Surface,19,Image 1,1,895,
8.02087,,Surface,19,Image 1,1,896,
135.358,,Surface,19,Image 1,1,897,
108.691,,Surface,19,Image 1,1,901,
67.6087,,Surface,19,Image 1,1,905,
106.333,,Surface,19,Image 1,1,911,
44.5079,,Surface,19,Image 1,1,912,
34.0236,,Surface,19,Image 1,1,924,
49.574,,Surface,19,Image 1,1,925,
27.3966,,Surface,19,Image 1,1,926,
110.683,,Surface,19,Image 1,1,935,
14.871,,Surface,19,Image 1,1,936,
75.2355,,Surface,19,Image 1,1,946,
174.49,,Surface,19,Image 1,1,950,
97.8821,,Surface,19,Image 1,1,955,
65.1177,,Surface,19,Image 1,1,957,
32.4862,,Surface,19,Image 1,1,962,
9.46111,,Surface,19,Image 1,1,966,
51.207,,Surface,19,Image 1,1,977,
23.1041,,Surface,19,Image 1,1,979,
76.0433,,Surface,19,Image 1,1,986,
49.269,,Surface,19,Image 1,1,991,
147.681,,Surface,19,Image 1,1,993,
60.1925,,Surface,19,Image 1,1,1011,
61.4193,,Surface,19,Image 1,1,1013,
38.6061,,Surface,19,Image 1,1,1016,
64.9526,,Surface,19,Image 1,1,1017,
7.71087,,Surface,19,Image 1,1,1023,
105.755,,Surface,19,Image 1,1,1024,
24.5605,,Surface,19,Image 1,1,1030,
2475.8,,Surface,19,Image 1,1,1033,
1.78158,,Surface,19,Image 1,1,1041,
64.369,,Surface,19,Image 1,1,1043,
311.581,,Surface,19,Image 1,1,1046,
60.7606,,Surface,19,Image 1,1,1048,
37.4987,,Surface,19,Image 1,1,1049,
46.2114,,Surface,19,Image 1,1,1051,
42.9096,,Surface,19,Image 1,1,1052,
24.4684,,Surface,19,Image 1,1,1053,
43.5787,,Surface,19,Image 1,1,1055,
41.3584,,Surface,19,Image 1,1,1056,
20.8409,,Surface,19,Image 1,1,1062,
278.19,,Surface,19,Image 1,1,1065,
121.672,,Surface,19,Image 1,1,1066,
22.4529,,Surface,19,Image 1,1,1070,
61.8007,,Surface,19,Image 1,1,1071,
39.332,,Surface,19,Image 1,1,1074,
91.4785,,Surface,19,Image 1,1,1078,
32.2365,,Surface,19,Image 1,1,1087,
56.5193,,Surface,19,Image 1,1,1090,
44.9885,,Surface,19,Image 1,1,1093,
263.238,,Surface,19,Image 1,1,1094,
0,,Surface,19,Image 1,1,1095,
43.8338,,Surface,19,Image 1,1,1096,
139.858,,Surface,19,Image 1,1,1101,
153.75,,Surface,19,Image 1,1,1102,
44.2816,,Surface,19,Image 1,1,1104,
22.7159,,Surface,19,Image 1,1,1105,
2.62445,,Surface,19,Image 1,1,1106,
94.0982,,Surface,19,Image 1,1,1108,
61.0558,,Surface,19,Image 1,1,1109,
10.1822,,Surface,19,Image 1,1,1112,
579.82,,Surface,19,Image 1,1,1118,
891.715,,Surface,19,Image 1,1,1121,
26.4437,,Surface,19,Image 1,1,1131,
78.4636,,Surface,19,Image 1,1,1134,
19.3419,,Surface,19,Image 1,1,1137,
126.113,,Surface,19,Image 1,1,1144,
114.841,,Surface,19,Image 1,1,1145,
147.701,,Surface,19,Image 1,1,1148,
20.7867,,Surface,19,Image 1,1,1163,
1286.43,,Surface,19,Image 1,1,1166,
22.8883,,Surface,19,Image 1,1,1169,
18.316,,Surface,19,Image 1,1,1171,
0.26375,,Surface,19,Image 1,1,1173,
41.1102,,Surface,19,Image 1,1,1177,
33.8392,,Surface,19,Image 1,1,1184,
117.38,,Surface,19,Image 1,1,1189,
28.4925,,Surface,19,Image 1,1,1191,
25.6953,,Surface,19,Image 1,1,1193,
57.295,,Surface,19,Image 1,1,1198,
15.5815,,Surface,19,Image 1,1,1200,
33.9742,,Surface,19,Image 1,1,1202,
9.86288,,Surface,19,Image 1,1,1203,
39.6654,,Surface,19,Image 1,1,1212,
1507.24,,Surface,19,Image 1,1,1217,
6.33728,,Surface,19,Image 1,1,1223,
1964.6,,Surface,19,Image 1,1,1224,
295.596,,Surface,19,Image 1,1,1226,
135.799,,Surface,19,Image 1,1,1231,
48.2408,,Surface,19,Image 1,1,1236,
123.893,,Surface,19,Image 1,1,1237,
70.1502,,Surface,19,Image 1,1,1240,
76.9695,,Surface,19,Image 1,1,1241,
45.582,,Surface,19,Image 1,1,1242,
22.9518,,Surface,19,Image 1,1,1247,
9.65178,,Surface,19,Image 1,1,1249,
31.5832,,Surface,19,Image 1,1,1250,
24.5308,,Surface,19,Image 1,1,1251,
100.365,,Surface,19,Image 1,1,1253,
29.0192,,Surface,19,Image 1,1,1254,
90.4081,,Surface,19,Image 1,1,1256,
37.8301,,Surface,19,Image 1,1,1264,
36.7531,,Surface,19,Image 1,1,1267,
60.4204,,Surface,19,Image 1,1,1275,
17.0574,,Surface,19,Image 1,1,1277,
65.9287,,Surface,19,Image 1,1,1278,
81.999,,Surface,19,Image 1,1,1280,
18.6317,,Surface,19,Image 1,1,1282,
26.0103,,Surface,19,Image 1,1,1283,
53.2692,,Surface,19,Image 1,1,1285,
34.9256,,Surface,19,Image 1,1,1288,
74.6217,,Surface,19,Image 1,1,1292,
39.1007,,Surface,19,Image 1,1,1297,
102.361,,Surface,19,Image 1,1,1300,
92.0995,,Surface,19,Image 1,1,1303,
6.53531,,Surface,19,Image 1,1,1306,
35.8985,,Surface,19,Image 1,1,1307,
171.77,,Surface,19,Image 1,1,1310,
59.4591,,Surface,19,Image 1,1,1312,
66.8591,,Surface,19,Image 1,1,1321,
86.1183,,Surface,19,Image 1,1,1323,
1210.82,,Surface,19,Image 1,1,1332,
50.4677,,Surface,19,Image 1,1,1334,
76.9027,,Surface,19,Image 1,1,1341,
488.045,,Surface,19,Image 1,1,1348,
52.9001,,Surface,19,Image 1,1,1350,
64.9874,,Surface,19,Image 1,1,1353,
