
Intensity Median Ch=13 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
658,,Surface,13,Image 1,1,550,
0.25,,Surface,13,Image 1,1,551,
0.25,,Surface,13,Image 1,1,558,
266.25,,Surface,13,Image 1,1,561,
0.25,,Surface,13,Image 1,1,571,
0.5,,Surface,13,Image 1,1,572,
43,,Surface,13,Image 1,1,573,
12.5,,Surface,13,Image 1,1,576,
0.25,,Surface,13,Image 1,1,581,
0.25,,Surface,13,Image 1,1,588,
0.125,,Surface,13,Image 1,1,589,
0.25,,Surface,13,Image 1,1,592,
0.25,,Surface,13,Image 1,1,599,
0.25,,Surface,13,Image 1,1,601,
25.5,,Surface,13,Image 1,1,604,
41.5,,Surface,13,Image 1,1,606,
100,,Surface,13,Image 1,1,607,
251,,Surface,13,Image 1,1,611,
89.5,,Surface,13,Image 1,1,614,
13.25,,Surface,13,Image 1,1,615,
239,,Surface,13,Image 1,1,616,
0.25,,Surface,13,Image 1,1,617,
0.25,,Surface,13,Image 1,1,619,
181.5,,Surface,13,Image 1,1,627,
78,,Surface,13,Image 1,1,631,
155.5,,Surface,13,Image 1,1,632,
158.5,,Surface,13,Image 1,1,639,
0.5,,Surface,13,Image 1,1,644,
22.5,,Surface,13,Image 1,1,652,
126.5,,Surface,13,Image 1,1,655,
160.25,,Surface,13,Image 1,1,657,
0.125,,Surface,13,Image 1,1,658,
1,,Surface,13,Image 1,1,665,
126.5,,Surface,13,Image 1,1,682,
280.5,,Surface,13,Image 1,1,687,
55.25,,Surface,13,Image 1,1,693,
0.25,,Surface,13,Image 1,1,699,
0.125,,Surface,13,Image 1,1,700,
61.25,,Surface,13,Image 1,1,708,
0.25,,Surface,13,Image 1,1,710,
0.25,,Surface,13,Image 1,1,725,
15.25,,Surface,13,Image 1,1,728,
131.5,,Surface,13,Image 1,1,729,
0.25,,Surface,13,Image 1,1,730,
0.125,,Surface,13,Image 1,1,731,
0.5,,Surface,13,Image 1,1,733,
36.5,,Surface,13,Image 1,1,735,
94.25,,Surface,13,Image 1,1,736,
99.5,,Surface,13,Image 1,1,742,
28.5,,Surface,13,Image 1,1,748,
56.25,,Surface,13,Image 1,1,750,
119.25,,Surface,13,Image 1,1,753,
20.5,,Surface,13,Image 1,1,756,
12.25,,Surface,13,Image 1,1,760,
55.25,,Surface,13,Image 1,1,764,
77.25,,Surface,13,Image 1,1,766,
210.5,,Surface,13,Image 1,1,771,
781,,Surface,13,Image 1,1,772,
15.75,,Surface,13,Image 1,1,782,
21.25,,Surface,13,Image 1,1,783,
21.25,,Surface,13,Image 1,1,784,
182.5,,Surface,13,Image 1,1,793,
0.5,,Surface,13,Image 1,1,794,
9.75,,Surface,13,Image 1,1,800,
257.25,,Surface,13,Image 1,1,802,
232.5,,Surface,13,Image 1,1,805,
0.125,,Surface,13,Image 1,1,810,
129.5,,Surface,13,Image 1,1,817,
128.5,,Surface,13,Image 1,1,821,
149.5,,Surface,13,Image 1,1,822,
88.25,,Surface,13,Image 1,1,827,
0.5,,Surface,13,Image 1,1,831,
90.25,,Surface,13,Image 1,1,834,
234.5,,Surface,13,Image 1,1,839,
0.125,,Surface,13,Image 1,1,850,
11,,Surface,13,Image 1,1,855,
163,,Surface,13,Image 1,1,868,
19.25,,Surface,13,Image 1,1,874,
272.5,,Surface,13,Image 1,1,875,
267,,Surface,13,Image 1,1,882,
0.25,,Surface,13,Image 1,1,883,
0.125,,Surface,13,Image 1,1,885,
0.25,,Surface,13,Image 1,1,891,
75.25,,Surface,13,Image 1,1,892,
0.5,,Surface,13,Image 1,1,895,
103.25,,Surface,13,Image 1,1,896,
0.25,,Surface,13,Image 1,1,897,
0.5,,Surface,13,Image 1,1,901,
0.5,,Surface,13,Image 1,1,905,
121.25,,Surface,13,Image 1,1,911,
131.25,,Surface,13,Image 1,1,912,
0.25,,Surface,13,Image 1,1,924,
0.25,,Surface,13,Image 1,1,925,
0.25,,Surface,13,Image 1,1,926,
46.25,,Surface,13,Image 1,1,935,
39.25,,Surface,13,Image 1,1,936,
164,,Surface,13,Image 1,1,946,
0.25,,Surface,13,Image 1,1,950,
13.25,,Surface,13,Image 1,1,955,
0.5,,Surface,13,Image 1,1,957,
87,,Surface,13,Image 1,1,962,
37.25,,Surface,13,Image 1,1,966,
29.5,,Surface,13,Image 1,1,977,
0.125,,Surface,13,Image 1,1,979,
0.25,,Surface,13,Image 1,1,986,
0.25,,Surface,13,Image 1,1,991,
242.5,,Surface,13,Image 1,1,993,
97.5,,Surface,13,Image 1,1,1011,
110.5,,Surface,13,Image 1,1,1013,
0.25,,Surface,13,Image 1,1,1016,
0.125,,Surface,13,Image 1,1,1017,
0.25,,Surface,13,Image 1,1,1023,
12.5,,Surface,13,Image 1,1,1024,
131.5,,Surface,13,Image 1,1,1030,
579,,Surface,13,Image 1,1,1033,
0.5,,Surface,13,Image 1,1,1041,
15.5,,Surface,13,Image 1,1,1043,
33.25,,Surface,13,Image 1,1,1046,
0.25,,Surface,13,Image 1,1,1048,
0.25,,Surface,13,Image 1,1,1049,
0.25,,Surface,13,Image 1,1,1051,
30.125,,Surface,13,Image 1,1,1052,
35.25,,Surface,13,Image 1,1,1053,
27.5,,Surface,13,Image 1,1,1055,
22.25,,Surface,13,Image 1,1,1056,
0.25,,Surface,13,Image 1,1,1062,
55.5,,Surface,13,Image 1,1,1065,
0.25,,Surface,13,Image 1,1,1066,
0.25,,Surface,13,Image 1,1,1070,
65.5,,Surface,13,Image 1,1,1071,
0.5,,Surface,13,Image 1,1,1074,
0.25,,Surface,13,Image 1,1,1078,
40.25,,Surface,13,Image 1,1,1087,
91.5,,Surface,13,Image 1,1,1090,
45.5,,Surface,13,Image 1,1,1093,
13.75,,Surface,13,Image 1,1,1094,
48.25,,Surface,13,Image 1,1,1095,
26.25,,Surface,13,Image 1,1,1096,
61.5,,Surface,13,Image 1,1,1101,
0.25,,Surface,13,Image 1,1,1102,
0.125,,Surface,13,Image 1,1,1104,
38.75,,Surface,13,Image 1,1,1105,
0.125,,Surface,13,Image 1,1,1106,
0.5,,Surface,13,Image 1,1,1108,
0.25,,Surface,13,Image 1,1,1109,
0.25,,Surface,13,Image 1,1,1112,
0.5,,Surface,13,Image 1,1,1118,
478,,Surface,13,Image 1,1,1121,
0.25,,Surface,13,Image 1,1,1131,
33.25,,Surface,13,Image 1,1,1134,
0.125,,Surface,13,Image 1,1,1137,
85.5,,Surface,13,Image 1,1,1144,
0.25,,Surface,13,Image 1,1,1145,
100.5,,Surface,13,Image 1,1,1148,
0.25,,Surface,13,Image 1,1,1163,
0.25,,Surface,13,Image 1,1,1166,
0.5,,Surface,13,Image 1,1,1169,
639,,Surface,13,Image 1,1,1171,
0.0625,,Surface,13,Image 1,1,1173,
0.125,,Surface,13,Image 1,1,1177,
0.25,,Surface,13,Image 1,1,1184,
1,,Surface,13,Image 1,1,1189,
0.25,,Surface,13,Image 1,1,1191,
252.5,,Surface,13,Image 1,1,1193,
0.25,,Surface,13,Image 1,1,1198,
0.25,,Surface,13,Image 1,1,1200,
0.5,,Surface,13,Image 1,1,1202,
926,,Surface,13,Image 1,1,1203,
0.25,,Surface,13,Image 1,1,1212,
0.25,,Surface,13,Image 1,1,1217,
0.125,,Surface,13,Image 1,1,1223,
558,,Surface,13,Image 1,1,1224,
128.5,,Surface,13,Image 1,1,1226,
95.5,,Surface,13,Image 1,1,1231,
0.5,,Surface,13,Image 1,1,1236,
52.5,,Surface,13,Image 1,1,1237,
73.5,,Surface,13,Image 1,1,1240,
51.5,,Surface,13,Image 1,1,1241,
0.25,,Surface,13,Image 1,1,1242,
112.5,,Surface,13,Image 1,1,1247,
204.5,,Surface,13,Image 1,1,1249,
144,,Surface,13,Image 1,1,1250,
46,,Surface,13,Image 1,1,1251,
25.5,,Surface,13,Image 1,1,1253,
39.25,,Surface,13,Image 1,1,1254,
22.25,,Surface,13,Image 1,1,1256,
42.25,,Surface,13,Image 1,1,1264,
131.5,,Surface,13,Image 1,1,1267,
172,,Surface,13,Image 1,1,1275,
0.25,,Surface,13,Image 1,1,1277,
38.5,,Surface,13,Image 1,1,1278,
49.25,,Surface,13,Image 1,1,1280,
16.5,,Surface,13,Image 1,1,1282,
58.25,,Surface,13,Image 1,1,1283,
0.25,,Surface,13,Image 1,1,1285,
21.25,,Surface,13,Image 1,1,1288,
786,,Surface,13,Image 1,1,1292,
90.75,,Surface,13,Image 1,1,1297,
181.5,,Surface,13,Image 1,1,1300,
223,,Surface,13,Image 1,1,1303,
79.75,,Surface,13,Image 1,1,1306,
28.5,,Surface,13,Image 1,1,1307,
162.5,,Surface,13,Image 1,1,1310,
0.5,,Surface,13,Image 1,1,1312,
0.25,,Surface,13,Image 1,1,1321,
195.5,,Surface,13,Image 1,1,1323,
146.5,,Surface,13,Image 1,1,1332,
138.5,,Surface,13,Image 1,1,1334,
0.25,,Surface,13,Image 1,1,1341,
470,,Surface,13,Image 1,1,1348,
0.25,,Surface,13,Image 1,1,1350,
0.25,,Surface,13,Image 1,1,1353,
102.5,,Surface,13,Image 1,1,1356,
125.25,,Surface,13,Image 1,1,1358,
192.25,,Surface,13,Image 1,1,1359,
116.25,,Surface,13,Image 1,1,1360,
582,,Surface,13,Image 1,1,1365,
0.25,,Surface,13,Image 1,1,1369,
0.25,,Surface,13,Image 1,1,1371,
31.5,,Surface,13,Image 1,1,1383,
0.25,,Surface,13,Image 1,1,1388,
