
Intensity Sum of Square Ch=21 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.88035e+08,,Surface,21,Image 1,1,492,
6.6535e+07,,Surface,21,Image 1,1,497,
5.14721e+06,,Surface,21,Image 1,1,498,
1.29421e+07,,Surface,21,Image 1,1,503,
6.65426e+06,,Surface,21,Image 1,1,504,
2.47406e+07,,Surface,21,Image 1,1,505,
748687,,Surface,21,Image 1,1,507,
2.81259e+08,,Surface,21,Image 1,1,508,
4.91563e+07,,Surface,21,Image 1,1,524,
2.76595e+08,,Surface,21,Image 1,1,530,
6.63848e+06,,Surface,21,Image 1,1,532,
2.30465e+07,,Surface,21,Image 1,1,533,
2.61498e+08,,Surface,21,Image 1,1,537,
3.42667e+07,,Surface,21,Image 1,1,540,
1.30896e+10,,Surface,21,Image 1,1,541,
2.77125e+07,,Surface,21,Image 1,1,542,
1.55521e+09,,Surface,21,Image 1,1,544,
3.91305e+07,,Surface,21,Image 1,1,547,
2.33948e+07,,Surface,21,Image 1,1,549,
1.46985e+10,,Surface,21,Image 1,1,550,
3.6854e+06,,Surface,21,Image 1,1,551,
9.27644e+06,,Surface,21,Image 1,1,558,
2.88287e+07,,Surface,21,Image 1,1,561,
8.8994e+06,,Surface,21,Image 1,1,571,
6.21544e+07,,Surface,21,Image 1,1,572,
1.87255e+08,,Surface,21,Image 1,1,573,
2.90701e+07,,Surface,21,Image 1,1,576,
8.00176e+06,,Surface,21,Image 1,1,581,
2.85385e+07,,Surface,21,Image 1,1,588,
5.09126e+07,,Surface,21,Image 1,1,589,
3.49468e+06,,Surface,21,Image 1,1,592,
8.34763e+06,,Surface,21,Image 1,1,599,
2.03669e+06,,Surface,21,Image 1,1,601,
6.91045e+06,,Surface,21,Image 1,1,604,
1.05285e+08,,Surface,21,Image 1,1,606,
1.53565e+07,,Surface,21,Image 1,1,607,
2.09229e+08,,Surface,21,Image 1,1,611,
3.13248e+08,,Surface,21,Image 1,1,614,
6.49677e+06,,Surface,21,Image 1,1,615,
6.58723e+09,,Surface,21,Image 1,1,616,
8.9297e+07,,Surface,21,Image 1,1,617,
2.66108e+07,,Surface,21,Image 1,1,619,
6.20621e+08,,Surface,21,Image 1,1,627,
2.98448e+07,,Surface,21,Image 1,1,631,
8.17845e+06,,Surface,21,Image 1,1,632,
5.25857e+07,,Surface,21,Image 1,1,639,
8.33205e+07,,Surface,21,Image 1,1,644,
3.22732e+08,,Surface,21,Image 1,1,652,
1.80101e+08,,Surface,21,Image 1,1,655,
7.46239e+07,,Surface,21,Image 1,1,657,
1.43203e+07,,Surface,21,Image 1,1,658,
1.98494e+09,,Surface,21,Image 1,1,665,
2.80961e+07,,Surface,21,Image 1,1,682,
