
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
29.835,71754.9,µm^3,Volume Outside,Image 1,1,,
30.105,68199.5,µm^3,Volume Outside,Image 1,1,,
30.375,65155.6,µm^3,Volume Outside,Image 1,1,,
30.645,62972,µm^3,Volume Outside,Image 1,1,,
30.915,61377,µm^3,Volume Outside,Image 1,1,,
31.185,58525.4,µm^3,Volume Outside,Image 1,1,,
31.455,56389.4,µm^3,Volume Outside,Image 1,1,,
31.725,55024.9,µm^3,Volume Outside,Image 1,1,,
31.995,52338.7,µm^3,Volume Outside,Image 1,1,,
32.265,49537.9,µm^3,Volume Outside,Image 1,1,,
32.535,48884.6,µm^3,Volume Outside,Image 1,1,,
32.805,47082.5,µm^3,Volume Outside,Image 1,1,,
33.075,44197.1,µm^3,Volume Outside,Image 1,1,,
33.345,42797.2,µm^3,Volume Outside,Image 1,1,,
33.615,40649.1,µm^3,Volume Outside,Image 1,1,,
33.885,40038.7,µm^3,Volume Outside,Image 1,1,,
34.155,38521.8,µm^3,Volume Outside,Image 1,1,,
34.425,36042.3,µm^3,Volume Outside,Image 1,1,,
34.695,35157,µm^3,Volume Outside,Image 1,1,,
34.965,33678.6,µm^3,Volume Outside,Image 1,1,,
35.235,31596.7,µm^3,Volume Outside,Image 1,1,,
35.505,30820,µm^3,Volume Outside,Image 1,1,,
35.775,29514.3,µm^3,Volume Outside,Image 1,1,,
36.045,27644.6,µm^3,Volume Outside,Image 1,1,,
36.315,26891.1,µm^3,Volume Outside,Image 1,1,,
36.585,25670.9,µm^3,Volume Outside,Image 1,1,,
36.855,23922.7,µm^3,Volume Outside,Image 1,1,,
37.125,23199.2,µm^3,Volume Outside,Image 1,1,,
37.395,22016.8,µm^3,Volume Outside,Image 1,1,,
37.665,21566.2,µm^3,Volume Outside,Image 1,1,,
37.935,20683.1,µm^3,Volume Outside,Image 1,1,,
38.205,19455.5,µm^3,Volume Outside,Image 1,1,,
38.475,19001.8,µm^3,Volume Outside,Image 1,1,,
38.745,18220.3,µm^3,Volume Outside,Image 1,1,,
39.015,17119.9,µm^3,Volume Outside,Image 1,1,,
39.285,16754.4,µm^3,Volume Outside,Image 1,1,,
39.555,16081.2,µm^3,Volume Outside,Image 1,1,,
39.825,15080.7,µm^3,Volume Outside,Image 1,1,,
40.095,14702.3,µm^3,Volume Outside,Image 1,1,,
40.365,14052.9,µm^3,Volume Outside,Image 1,1,,
40.635,13873.3,µm^3,Volume Outside,Image 1,1,,
40.905,13371.3,µm^3,Volume Outside,Image 1,1,,
41.175,12626.7,µm^3,Volume Outside,Image 1,1,,
41.445,12354.9,µm^3,Volume Outside,Image 1,1,,
41.715,11869.3,µm^3,Volume Outside,Image 1,1,,
41.985,11181.5,µm^3,Volume Outside,Image 1,1,,
42.255,11001.4,µm^3,Volume Outside,Image 1,1,,
42.525,10556.9,µm^3,Volume Outside,Image 1,1,,
42.795,9903.3,µm^3,Volume Outside,Image 1,1,,
43.065,9730.27,µm^3,Volume Outside,Image 1,1,,
43.335,9340.58,µm^3,Volume Outside,Image 1,1,,
43.605,8711.62,µm^3,Volume Outside,Image 1,1,,
43.875,8425.45,µm^3,Volume Outside,Image 1,1,,
44.145,8027.04,µm^3,Volume Outside,Image 1,1,,
