
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
109.957,µm,Surface,Position,1,604,
212.586,µm,Surface,Position,1,606,
178.739,µm,Surface,Position,1,607,
194.294,µm,Surface,Position,1,611,
83.9062,µm,Surface,Position,1,614,
106.48,µm,Surface,Position,1,615,
154.788,µm,Surface,Position,1,616,
59.4601,µm,Surface,Position,1,617,
98.7457,µm,Surface,Position,1,619,
50.4883,µm,Surface,Position,1,627,
174.374,µm,Surface,Position,1,631,
48.8829,µm,Surface,Position,1,632,
91.4014,µm,Surface,Position,1,639,
54.7944,µm,Surface,Position,1,644,
15.5226,µm,Surface,Position,1,652,
139.699,µm,Surface,Position,1,655,
141.477,µm,Surface,Position,1,657,
5.04181,µm,Surface,Position,1,658,
116.306,µm,Surface,Position,1,665,
37.7354,µm,Surface,Position,1,682,
45.6206,µm,Surface,Position,1,687,
40.5066,µm,Surface,Position,1,693,
710.862,µm,Surface,Position,1,699,
696.635,µm,Surface,Position,1,700,
650.666,µm,Surface,Position,1,708,
659.846,µm,Surface,Position,1,710,
689.582,µm,Surface,Position,1,725,
672.492,µm,Surface,Position,1,728,
670.944,µm,Surface,Position,1,729,
672.905,µm,Surface,Position,1,730,
675.049,µm,Surface,Position,1,731,
605.799,µm,Surface,Position,1,733,
587.871,µm,Surface,Position,1,735,
674.223,µm,Surface,Position,1,736,
616.409,µm,Surface,Position,1,742,
586.281,µm,Surface,Position,1,748,
569.336,µm,Surface,Position,1,750,
614.097,µm,Surface,Position,1,753,
575.266,µm,Surface,Position,1,756,
653.272,µm,Surface,Position,1,760,
567.858,µm,Surface,Position,1,764,
581.284,µm,Surface,Position,1,766,
675.416,µm,Surface,Position,1,771,
685.005,µm,Surface,Position,1,772,
686.268,µm,Surface,Position,1,782,
613.464,µm,Surface,Position,1,783,
578.187,µm,Surface,Position,1,784,
612.574,µm,Surface,Position,1,793,
626.32,µm,Surface,Position,1,794,
549.333,µm,Surface,Position,1,800,
619.226,µm,Surface,Position,1,802,
639.569,µm,Surface,Position,1,805,
640.125,µm,Surface,Position,1,810,
612.619,µm,Surface,Position,1,817,
621.615,µm,Surface,Position,1,821,
650.138,µm,Surface,Position,1,822,
590.294,µm,Surface,Position,1,827,
495.082,µm,Surface,Position,1,831,
615.202,µm,Surface,Position,1,834,
518.511,µm,Surface,Position,1,839,
565.676,µm,Surface,Position,1,850,
583.045,µm,Surface,Position,1,855,
571.983,µm,Surface,Position,1,868,
541.246,µm,Surface,Position,1,874,
613.809,µm,Surface,Position,1,875,
