
Intensity Min Ch=22 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,22,Image 1,1,604,
625,,Surface,22,Image 1,1,606,
0,,Surface,22,Image 1,1,607,
991,,Surface,22,Image 1,1,611,
0,,Surface,22,Image 1,1,614,
106,,Surface,22,Image 1,1,615,
0,,Surface,22,Image 1,1,616,
0,,Surface,22,Image 1,1,617,
0,,Surface,22,Image 1,1,619,
0,,Surface,22,Image 1,1,627,
0,,Surface,22,Image 1,1,631,
0,,Surface,22,Image 1,1,632,
472,,Surface,22,Image 1,1,639,
9,,Surface,22,Image 1,1,644,
0,,Surface,22,Image 1,1,652,
0,,Surface,22,Image 1,1,655,
0,,Surface,22,Image 1,1,657,
72,,Surface,22,Image 1,1,658,
0,,Surface,22,Image 1,1,665,
1209,,Surface,22,Image 1,1,682,
0,,Surface,22,Image 1,1,687,
0,,Surface,22,Image 1,1,693,
0,,Surface,22,Image 1,1,699,
290,,Surface,22,Image 1,1,700,
0,,Surface,22,Image 1,1,708,
0,,Surface,22,Image 1,1,710,
273,,Surface,22,Image 1,1,725,
0,,Surface,22,Image 1,1,728,
0,,Surface,22,Image 1,1,729,
121,,Surface,22,Image 1,1,730,
0,,Surface,22,Image 1,1,731,
134,,Surface,22,Image 1,1,733,
1,,Surface,22,Image 1,1,735,
0,,Surface,22,Image 1,1,736,
0,,Surface,22,Image 1,1,742,
261,,Surface,22,Image 1,1,748,
0,,Surface,22,Image 1,1,750,
44,,Surface,22,Image 1,1,753,
0,,Surface,22,Image 1,1,756,
597,,Surface,22,Image 1,1,760,
411,,Surface,22,Image 1,1,764,
0,,Surface,22,Image 1,1,766,
0,,Surface,22,Image 1,1,771,
0,,Surface,22,Image 1,1,772,
274,,Surface,22,Image 1,1,782,
0,,Surface,22,Image 1,1,783,
0,,Surface,22,Image 1,1,784,
0,,Surface,22,Image 1,1,793,
0,,Surface,22,Image 1,1,794,
194,,Surface,22,Image 1,1,800,
245,,Surface,22,Image 1,1,802,
0,,Surface,22,Image 1,1,805,
191,,Surface,22,Image 1,1,810,
523,,Surface,22,Image 1,1,817,
0,,Surface,22,Image 1,1,821,
0,,Surface,22,Image 1,1,822,
0,,Surface,22,Image 1,1,827,
0,,Surface,22,Image 1,1,831,
0,,Surface,22,Image 1,1,834,
128,,Surface,22,Image 1,1,839,
0,,Surface,22,Image 1,1,850,
0,,Surface,22,Image 1,1,855,
170,,Surface,22,Image 1,1,868,
0,,Surface,22,Image 1,1,874,
0,,Surface,22,Image 1,1,875,
0,,Surface,22,Image 1,1,882,
0,,Surface,22,Image 1,1,883,
1,,Surface,22,Image 1,1,885,
0,,Surface,22,Image 1,1,891,
254,,Surface,22,Image 1,1,892,
52,,Surface,22,Image 1,1,895,
0,,Surface,22,Image 1,1,896,
0,,Surface,22,Image 1,1,897,
0,,Surface,22,Image 1,1,901,
0,,Surface,22,Image 1,1,905,
269,,Surface,22,Image 1,1,911,
148,,Surface,22,Image 1,1,912,
0,,Surface,22,Image 1,1,924,
0,,Surface,22,Image 1,1,925,
356,,Surface,22,Image 1,1,926,
0,,Surface,22,Image 1,1,935,
326,,Surface,22,Image 1,1,936,
0,,Surface,22,Image 1,1,946,
0,,Surface,22,Image 1,1,950,
0,,Surface,22,Image 1,1,955,
0,,Surface,22,Image 1,1,957,
0,,Surface,22,Image 1,1,962,
0,,Surface,22,Image 1,1,966,
0,,Surface,22,Image 1,1,977,
0,,Surface,22,Image 1,1,979,
0,,Surface,22,Image 1,1,986,
0,,Surface,22,Image 1,1,991,
0,,Surface,22,Image 1,1,993,
1098,,Surface,22,Image 1,1,1011,
0,,Surface,22,Image 1,1,1013,
0,,Surface,22,Image 1,1,1016,
0,,Surface,22,Image 1,1,1017,
562,,Surface,22,Image 1,1,1023,
