
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.849747,,Surface,1,784,
0.778771,,Surface,1,793,
0.858358,,Surface,1,794,
0.863332,,Surface,1,800,
0.847475,,Surface,1,802,
0.802175,,Surface,1,805,
0.820361,,Surface,1,810,
0.813314,,Surface,1,817,
0.884569,,Surface,1,821,
0.852453,,Surface,1,822,
0.85045,,Surface,1,827,
0.767648,,Surface,1,831,
0.755163,,Surface,1,834,
0.814488,,Surface,1,839,
0.830818,,Surface,1,850,
0.827644,,Surface,1,855,
0.800591,,Surface,1,868,
0.801098,,Surface,1,874,
0.861069,,Surface,1,875,
0.811331,,Surface,1,882,
0.831292,,Surface,1,883,
0.851033,,Surface,1,885,
0.786678,,Surface,1,891,
0.786054,,Surface,1,892,
0.851251,,Surface,1,895,
0.838704,,Surface,1,896,
0.854232,,Surface,1,897,
0.824766,,Surface,1,901,
0.780859,,Surface,1,905,
0.870081,,Surface,1,911,
0.807243,,Surface,1,912,
0.823073,,Surface,1,924,
0.849694,,Surface,1,925,
0.786717,,Surface,1,926,
0.816649,,Surface,1,935,
0.790111,,Surface,1,936,
0.833623,,Surface,1,946,
0.845935,,Surface,1,950,
0.8117,,Surface,1,955,
0.784943,,Surface,1,957,
0.808687,,Surface,1,962,
0.842485,,Surface,1,966,
0.875472,,Surface,1,977,
0.821911,,Surface,1,979,
0.807018,,Surface,1,986,
0.866809,,Surface,1,991,
0.838537,,Surface,1,993,
0.878743,,Surface,1,1011,
0.851656,,Surface,1,1013,
0.878215,,Surface,1,1016,
0.854074,,Surface,1,1017,
0.84156,,Surface,1,1023,
0.840349,,Surface,1,1024,
0.855793,,Surface,1,1030,
0.833172,,Surface,1,1033,
0.848466,,Surface,1,1041,
0.821416,,Surface,1,1043,
0.859795,,Surface,1,1046,
0.771681,,Surface,1,1048,
0.850538,,Surface,1,1049,
0.849363,,Surface,1,1051,
0.876899,,Surface,1,1052,
0.878946,,Surface,1,1053,
0.801766,,Surface,1,1055,
0.841944,,Surface,1,1056,
0.776963,,Surface,1,1062,
0.844232,,Surface,1,1065,
0.771885,,Surface,1,1066,
0.897431,,Surface,1,1070,
0.846479,,Surface,1,1071,
0.759067,,Surface,1,1074,
0.805391,,Surface,1,1078,
0.820941,,Surface,1,1087,
0.872206,,Surface,1,1090,
0.85824,,Surface,1,1093,
0.784715,,Surface,1,1094,
0.768479,,Surface,1,1095,
0.793722,,Surface,1,1096,
0.849477,,Surface,1,1101,
0.891232,,Surface,1,1102,
0.875744,,Surface,1,1104,
0.808605,,Surface,1,1105,
0.869332,,Surface,1,1106,
0.881945,,Surface,1,1108,
0.901032,,Surface,1,1109,
0.836919,,Surface,1,1112,
0.892901,,Surface,1,1118,
0.879429,,Surface,1,1121,
0.817365,,Surface,1,1131,
0.837616,,Surface,1,1134,
0.760137,,Surface,1,1137,
0.785875,,Surface,1,1144,
0.797444,,Surface,1,1145,
0.760996,,Surface,1,1148,
0.813267,,Surface,1,1163,
0.832223,,Surface,1,1166,
0.816261,,Surface,1,1169,
0.909755,,Surface,1,1171,
0.873382,,Surface,1,1173,
0.885597,,Surface,1,1177,
0.868217,,Surface,1,1184,
0.834753,,Surface,1,1189,
0.909935,,Surface,1,1191,
0.766682,,Surface,1,1193,
0.853649,,Surface,1,1198,
0.893828,,Surface,1,1200,
0.826862,,Surface,1,1202,
0.807133,,Surface,1,1203,
0.819329,,Surface,1,1212,
0.876842,,Surface,1,1217,
0.851151,,Surface,1,1223,
0.866427,,Surface,1,1224,
0.803829,,Surface,1,1226,
0.857163,,Surface,1,1231,
0.892486,,Surface,1,1236,
0.858636,,Surface,1,1237,
0.819796,,Surface,1,1240,
0.859533,,Surface,1,1241,
0.838615,,Surface,1,1242,
0.823492,,Surface,1,1247,
0.873212,,Surface,1,1249,
0.859127,,Surface,1,1250,
0.840111,,Surface,1,1251,
0.856423,,Surface,1,1253,
0.775968,,Surface,1,1254,
0.845026,,Surface,1,1256,
0.855067,,Surface,1,1264,
0.847777,,Surface,1,1267,
0.87805,,Surface,1,1275,
0.848844,,Surface,1,1277,
0.850048,,Surface,1,1278,
0.880235,,Surface,1,1280,
0.845685,,Surface,1,1282,
0.811537,,Surface,1,1283,
0.915863,,Surface,1,1285,
0.837436,,Surface,1,1288,
0.861598,,Surface,1,1292,
0.871376,,Surface,1,1297,
0.84787,,Surface,1,1300,
0.816299,,Surface,1,1303,
0.864359,,Surface,1,1306,
0.854527,,Surface,1,1307,
0.877984,,Surface,1,1310,
0.832559,,Surface,1,1312,
0.839994,,Surface,1,1321,
0.777586,,Surface,1,1323,
0.838908,,Surface,1,1332,
0.802091,,Surface,1,1334,
0.765345,,Surface,1,1341,
0.856597,,Surface,1,1348,
0.770826,,Surface,1,1350,
0.850199,,Surface,1,1353,
0.893836,,Surface,1,1356,
0.8178,,Surface,1,1358,
0.852991,,Surface,1,1359,
0.819702,,Surface,1,1360,
0.851795,,Surface,1,1365,
0.831698,,Surface,1,1369,
0.852734,,Surface,1,1371,
0.836726,,Surface,1,1383,
0.761073,,Surface,1,1388,
0.846207,,Surface,1,1392,
0.82828,,Surface,1,1395,
0.86324,,Surface,1,1399,
0.838374,,Surface,1,1400,
0.821669,,Surface,1,1401,
0.851039,,Surface,1,1406,
0.833461,,Surface,1,1408,
0.881524,,Surface,1,1410,
0.883585,,Surface,1,1411,
0.817704,,Surface,1,1422,
0.774844,,Surface,1,1428,
0.847622,,Surface,1,1429,
0.829437,,Surface,1,1441,
0.84916,,Surface,1,1464,
0.756721,,Surface,1,1467,
0.820785,,Surface,1,1470,
0.872799,,Surface,1,1475,
0.83,,Surface,1,1488,
0.88515,,Surface,1,1494,
0.795226,,Surface,1,1501,
0.888762,,Surface,1,1502,
0.825103,,Surface,1,1503,
0.869129,,Surface,1,1504,
0.821158,,Surface,1,1508,
0.848643,,Surface,1,1510,
0.872022,,Surface,1,1512,
0.871829,,Surface,1,1515,
0.80778,,Surface,1,1516,
0.793006,,Surface,1,1517,
0.845273,,Surface,1,1518,
0.779174,,Surface,1,1521,
0.862609,,Surface,1,1525,
0.764648,,Surface,1,1527,
0.856441,,Surface,1,1528,
0.794436,,Surface,1,1529,
0.788204,,Surface,1,1534,
0.845657,,Surface,1,1535,
0.781046,,Surface,1,1537,
0.83621,,Surface,1,1540,
0.818352,,Surface,1,1542,
0.79868,,Surface,1,1545,
0.869224,,Surface,1,1546,
0.911212,,Surface,1,1547,
0.815309,,Surface,1,1549,
0.788759,,Surface,1,1554,
0.764597,,Surface,1,1555,
0.861114,,Surface,1,1556,
0.853398,,Surface,1,1565,
0.847732,,Surface,1,1566,
0.84793,,Surface,1,1569,
0.763825,,Surface,1,1574,
0.8224,,Surface,1,1575,
0.864304,,Surface,1,1577,
0.817916,,Surface,1,1578,
0.802383,,Surface,1,1579,
0.767128,,Surface,1,1580,
0.815174,,Surface,1,1584,
0.800308,,Surface,1,1597,
0.861048,,Surface,1,1599,
0.852833,,Surface,1,1602,
0.850518,,Surface,1,1607,
0.844394,,Surface,1,1609,
0.802469,,Surface,1,1610,
0.853898,,Surface,1,1619,
0.824745,,Surface,1,1621,
0.83125,,Surface,1,1632,
0.808028,,Surface,1,1635,
0.858835,,Surface,1,1647,
0.847233,,Surface,1,1656,
0.863368,,Surface,1,1657,
0.861728,,Surface,1,1659,
0.883883,,Surface,1,1662,
0.801264,,Surface,1,1663,
0.762462,,Surface,1,1664,
0.89049,,Surface,1,1667,
0.861173,,Surface,1,1668,
0.789852,,Surface,1,1676,
0.852539,,Surface,1,1677,
0.828827,,Surface,1,1679,
0.875774,,Surface,1,1680,
0.755414,,Surface,1,1686,
0.89393,,Surface,1,1689,
0.833263,,Surface,1,1692,
0.827557,,Surface,1,1715,
0.839235,,Surface,1,1716,
0.853266,,Surface,1,1718,
0.850888,,Surface,1,1722,
0.770343,,Surface,1,1739,
0.765613,,Surface,1,1742,
0.801361,,Surface,1,1743,
0.809774,,Surface,1,1752,
0.794126,,Surface,1,1754,
0.850961,,Surface,1,1757,
0.818992,,Surface,1,1759,
0.780269,,Surface,1,1761,
0.876057,,Surface,1,1762,
0.781102,,Surface,1,1763,
0.801149,,Surface,1,1779,
0.830542,,Surface,1,1784,
0.814398,,Surface,1,1786,
0.902425,,Surface,1,1791,
0.779922,,Surface,1,1792,
0.852032,,Surface,1,1794,
0.855127,,Surface,1,1802,
0.899014,,Surface,1,1808,
0.769409,,Surface,1,1812,
0.851201,,Surface,1,1815,
0.886703,,Surface,1,1816,
0.90301,,Surface,1,1820,
0.88459,,Surface,1,1832,
0.797759,,Surface,1,1835,
0.841835,,Surface,1,1845,
0.803538,,Surface,1,1846,
0.848977,,Surface,1,1848,
0.888718,,Surface,1,1856,
0.859113,,Surface,1,1860,
0.846333,,Surface,1,1866,
0.788961,,Surface,1,1867,
0.875081,,Surface,1,1868,
0.863415,,Surface,1,1871,
0.819448,,Surface,1,1872,
0.848301,,Surface,1,1875,
0.76762,,Surface,1,1878,
0.778213,,Surface,1,1879,
0.838261,,Surface,1,1882,
0.761299,,Surface,1,1885,
0.802995,,Surface,1,1886,
0.809895,,Surface,1,1887,
0.832994,,Surface,1,1890,
0.842172,,Surface,1,1891,
0.846308,,Surface,1,1892,
0.760933,,Surface,1,1897,
0.825981,,Surface,1,1901,
0.821003,,Surface,1,1904,
0.80171,,Surface,1,1906,
0.859711,,Surface,1,1907,
0.770694,,Surface,1,1917,
0.833707,,Surface,1,1920,
0.851506,,Surface,1,1922,
0.889292,,Surface,1,1936,
0.874397,,Surface,1,1939,
0.865683,,Surface,1,1941,
0.821836,,Surface,1,1943,
0.76895,,Surface,1,1948,
0.844594,,Surface,1,1949,
0.875462,,Surface,1,1952,
0.83115,,Surface,1,1955,
0.813012,,Surface,1,1956,
0.864852,,Surface,1,1966,
0.813844,,Surface,1,1969,
0.862697,,Surface,1,1970,
0.880957,,Surface,1,1974,
0.793982,,Surface,1,1977,
0.835146,,Surface,1,1988,
0.834043,,Surface,1,1990,
0.861338,,Surface,1,1992,
0.797216,,Surface,1,1993,
0.82858,,Surface,1,1997,
0.844851,,Surface,1,2001,
0.838612,,Surface,1,2006,
0.757433,,Surface,1,2010,
0.856346,,Surface,1,2013,
0.80661,,Surface,1,2016,
0.856132,,Surface,1,2020,
0.797929,,Surface,1,2021,
0.820088,,Surface,1,2023,
0.835456,,Surface,1,2025,
0.778664,,Surface,1,2026,
0.805794,,Surface,1,2030,
0.842757,,Surface,1,2031,
0.841499,,Surface,1,2035,
0.843827,,Surface,1,2040,
0.836188,,Surface,1,2050,
0.890745,,Surface,1,2051,
0.805464,,Surface,1,2052,
0.875416,,Surface,1,2054,
0.868221,,Surface,1,2055,
0.791684,,Surface,1,2058,
0.796915,,Surface,1,2061,
0.89661,,Surface,1,2064,
0.85328,,Surface,1,2065,
0.757718,,Surface,1,2068,
0.851573,,Surface,1,2070,
0.869131,,Surface,1,2074,
0.89512,,Surface,1,2076,
0.844796,,Surface,1,2079,
0.837678,,Surface,1,2090,
0.820684,,Surface,1,2092,
0.855646,,Surface,1,2094,
0.843674,,Surface,1,2096,
0.792898,,Surface,1,2097,
0.788541,,Surface,1,2099,
0.784947,,Surface,1,2101,
0.832132,,Surface,1,2103,
0.76147,,Surface,1,2106,
0.785849,,Surface,1,2108,
0.825544,,Surface,1,2113,
0.843582,,Surface,1,2114,
0.788801,,Surface,1,2115,
0.842034,,Surface,1,2133,
0.824696,,Surface,1,2138,
0.770983,,Surface,1,2147,
0.84598,,Surface,1,2150,
0.828737,,Surface,1,2156,
0.868852,,Surface,1,2158,
0.883553,,Surface,1,2159,
0.80007,,Surface,1,2160,
0.822326,,Surface,1,2161,
0.853093,,Surface,1,2164,
0.84566,,Surface,1,2166,
0.825615,,Surface,1,2168,
0.824303,,Surface,1,2170,
0.880493,,Surface,1,2171,
0.868827,,Surface,1,2173,
0.814959,,Surface,1,2174,
0.839979,,Surface,1,2176,
0.846741,,Surface,1,2181,
0.776527,,Surface,1,2187,
0.773484,,Surface,1,2189,
0.785896,,Surface,1,2193,
0.777874,,Surface,1,2204,
0.865214,,Surface,1,2210,
0.810811,,Surface,1,2214,
0.756795,,Surface,1,2216,
0.759953,,Surface,1,2225,
0.783661,,Surface,1,2234,
0.777279,,Surface,1,2235,
0.834525,,Surface,1,2257,
0.761251,,Surface,1,2258,
0.796972,,Surface,1,2259,
0.815375,,Surface,1,2260,
0.770961,,Surface,1,2263,
0.907869,,Surface,1,2264,
0.829367,,Surface,1,2265,
0.767482,,Surface,1,2266,
0.79573,,Surface,1,2275,
0.865359,,Surface,1,2276,
0.830019,,Surface,1,2284,
0.844645,,Surface,1,2294,
0.877167,,Surface,1,2299,
0.82089,,Surface,1,2307,
0.797461,,Surface,1,2310,
0.865621,,Surface,1,2314,
0.837553,,Surface,1,2317,
0.83669,,Surface,1,2318,
0.801238,,Surface,1,2319,
0.852486,,Surface,1,2320,
0.784948,,Surface,1,2331,
0.832697,,Surface,1,2332,
0.78944,,Surface,1,2337,
0.874722,,Surface,1,2339,
0.854521,,Surface,1,2354,
0.802732,,Surface,1,2368,
0.824988,,Surface,1,2369,
0.854733,,Surface,1,2375,
0.881187,,Surface,1,2380,
0.811772,,Surface,1,2398,
0.773485,,Surface,1,2403,
0.759007,,Surface,1,2405,
0.876648,,Surface,1,2409,
0.798833,,Surface,1,2420,
0.833956,,Surface,1,2422,
0.844573,,Surface,1,2426,
0.78917,,Surface,1,2428,
0.853627,,Surface,1,2434,
0.836229,,Surface,1,2438,
0.803875,,Surface,1,2439,
0.788762,,Surface,1,2440,
0.789296,,Surface,1,2441,
0.77658,,Surface,1,2442,
