
Intensity StdDev Ch=12 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
17.5172,,Surface,12,Image 1,1,540,
27.5168,,Surface,12,Image 1,1,541,
63.4852,,Surface,12,Image 1,1,542,
74.6663,,Surface,12,Image 1,1,544,
40.2269,,Surface,12,Image 1,1,547,
46.3722,,Surface,12,Image 1,1,549,
47.2951,,Surface,12,Image 1,1,550,
41.4029,,Surface,12,Image 1,1,551,
11.2656,,Surface,12,Image 1,1,558,
3.03021,,Surface,12,Image 1,1,561,
32.556,,Surface,12,Image 1,1,571,
10.2868,,Surface,12,Image 1,1,572,
47.9332,,Surface,12,Image 1,1,573,
27.5358,,Surface,12,Image 1,1,576,
92.3422,,Surface,12,Image 1,1,581,
11.7516,,Surface,12,Image 1,1,588,
0,,Surface,12,Image 1,1,589,
0,,Surface,12,Image 1,1,592,
28.4328,,Surface,12,Image 1,1,599,
54.7452,,Surface,12,Image 1,1,601,
196.254,,Surface,12,Image 1,1,604,
53.4603,,Surface,12,Image 1,1,606,
66.6966,,Surface,12,Image 1,1,607,
30.3532,,Surface,12,Image 1,1,611,
55.3948,,Surface,12,Image 1,1,614,
72.0117,,Surface,12,Image 1,1,615,
1059.93,,Surface,12,Image 1,1,616,
48.2922,,Surface,12,Image 1,1,617,
34.2701,,Surface,12,Image 1,1,619,
60.1089,,Surface,12,Image 1,1,627,
260.377,,Surface,12,Image 1,1,631,
31.9726,,Surface,12,Image 1,1,632,
67.0664,,Surface,12,Image 1,1,639,
35.3111,,Surface,12,Image 1,1,644,
38.7856,,Surface,12,Image 1,1,652,
120.919,,Surface,12,Image 1,1,655,
50.5598,,Surface,12,Image 1,1,657,
5.18554,,Surface,12,Image 1,1,658,
3.04918,,Surface,12,Image 1,1,665,
30.9337,,Surface,12,Image 1,1,682,
207.277,,Surface,12,Image 1,1,687,
81.0288,,Surface,12,Image 1,1,693,
0,,Surface,12,Image 1,1,699,
0,,Surface,12,Image 1,1,700,
7.89004,,Surface,12,Image 1,1,708,
74.6612,,Surface,12,Image 1,1,710,
8.46734,,Surface,12,Image 1,1,725,
234.012,,Surface,12,Image 1,1,728,
58.8559,,Surface,12,Image 1,1,729,
91.7411,,Surface,12,Image 1,1,730,
12.248,,Surface,12,Image 1,1,731,
13.1577,,Surface,12,Image 1,1,733,
81.8767,,Surface,12,Image 1,1,735,
105.942,,Surface,12,Image 1,1,736,
17.284,,Surface,12,Image 1,1,742,
24.1586,,Surface,12,Image 1,1,748,
36.6568,,Surface,12,Image 1,1,750,
17.0814,,Surface,12,Image 1,1,753,
53.4671,,Surface,12,Image 1,1,756,
0,,Surface,12,Image 1,1,760,
0,,Surface,12,Image 1,1,764,
7.72471,,Surface,12,Image 1,1,766,
68.0912,,Surface,12,Image 1,1,771,
31.201,,Surface,12,Image 1,1,772,
28.3481,,Surface,12,Image 1,1,782,
128.69,,Surface,12,Image 1,1,783,
29.662,,Surface,12,Image 1,1,784,
120.251,,Surface,12,Image 1,1,793,
1.37385,,Surface,12,Image 1,1,794,
0,,Surface,12,Image 1,1,800,
4.65017,,Surface,12,Image 1,1,802,
227.657,,Surface,12,Image 1,1,805,
19.8806,,Surface,12,Image 1,1,810,
53.6927,,Surface,12,Image 1,1,817,
12.242,,Surface,12,Image 1,1,821,
520.068,,Surface,12,Image 1,1,822,
0,,Surface,12,Image 1,1,827,
44.4951,,Surface,12,Image 1,1,831,
6.32395,,Surface,12,Image 1,1,834,
6.86315,,Surface,12,Image 1,1,839,
0,,Surface,12,Image 1,1,850,
58.4924,,Surface,12,Image 1,1,855,
27.5912,,Surface,12,Image 1,1,868,
25.0036,,Surface,12,Image 1,1,874,
17.2392,,Surface,12,Image 1,1,875,
65.1728,,Surface,12,Image 1,1,882,
97.2686,,Surface,12,Image 1,1,883,
61.1902,,Surface,12,Image 1,1,885,
60.8063,,Surface,12,Image 1,1,891,
32.2833,,Surface,12,Image 1,1,892,
11.1158,,Surface,12,Image 1,1,895,
0.625217,,Surface,12,Image 1,1,896,
31.1397,,Surface,12,Image 1,1,897,
89.5915,,Surface,12,Image 1,1,901,
62.9625,,Surface,12,Image 1,1,905,
9.55842,,Surface,12,Image 1,1,911,
12.2431,,Surface,12,Image 1,1,912,
3.69309,,Surface,12,Image 1,1,924,
13.2993,,Surface,12,Image 1,1,925,
6.17439,,Surface,12,Image 1,1,926,
9.42759,,Surface,12,Image 1,1,935,
0,,Surface,12,Image 1,1,936,
26.3958,,Surface,12,Image 1,1,946,
27.9415,,Surface,12,Image 1,1,950,
32.2202,,Surface,12,Image 1,1,955,
14.115,,Surface,12,Image 1,1,957,
19.9155,,Surface,12,Image 1,1,962,
3.20212,,Surface,12,Image 1,1,966,
22.3908,,Surface,12,Image 1,1,977,
276.523,,Surface,12,Image 1,1,979,
13.9629,,Surface,12,Image 1,1,986,
30.4845,,Surface,12,Image 1,1,991,
52.3391,,Surface,12,Image 1,1,993,
9.30855,,Surface,12,Image 1,1,1011,
49.7183,,Surface,12,Image 1,1,1013,
90.7929,,Surface,12,Image 1,1,1016,
35.8002,,Surface,12,Image 1,1,1017,
15.8892,,Surface,12,Image 1,1,1023,
29.0449,,Surface,12,Image 1,1,1024,
20.1058,,Surface,12,Image 1,1,1030,
13.3208,,Surface,12,Image 1,1,1033,
15.5581,,Surface,12,Image 1,1,1041,
1.62922,,Surface,12,Image 1,1,1043,
30.7467,,Surface,12,Image 1,1,1046,
17.3026,,Surface,12,Image 1,1,1048,
14.3514,,Surface,12,Image 1,1,1049,
0.970714,,Surface,12,Image 1,1,1051,
94.567,,Surface,12,Image 1,1,1052,
166.498,,Surface,12,Image 1,1,1053,
98.5278,,Surface,12,Image 1,1,1055,
66.8235,,Surface,12,Image 1,1,1056,
33.2052,,Surface,12,Image 1,1,1062,
334.476,,Surface,12,Image 1,1,1065,
70.4549,,Surface,12,Image 1,1,1066,
34.0364,,Surface,12,Image 1,1,1070,
31.609,,Surface,12,Image 1,1,1071,
68.3686,,Surface,12,Image 1,1,1074,
43.4188,,Surface,12,Image 1,1,1078,
49.9634,,Surface,12,Image 1,1,1087,
111.099,,Surface,12,Image 1,1,1090,
49.953,,Surface,12,Image 1,1,1093,
143.135,,Surface,12,Image 1,1,1094,
