
Intensity Sum Ch=31 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
11808,,Surface,31,Image 1,1,551,
17697,,Surface,31,Image 1,1,558,
15241,,Surface,31,Image 1,1,561,
154971,,Surface,31,Image 1,1,571,
628104,,Surface,31,Image 1,1,572,
2.76724e+06,,Surface,31,Image 1,1,573,
1848,,Surface,31,Image 1,1,576,
89732,,Surface,31,Image 1,1,581,
957751,,Surface,31,Image 1,1,588,
39283,,Surface,31,Image 1,1,589,
1659,,Surface,31,Image 1,1,592,
174146,,Surface,31,Image 1,1,599,
0,,Surface,31,Image 1,1,601,
117890,,Surface,31,Image 1,1,604,
844603,,Surface,31,Image 1,1,606,
2923,,Surface,31,Image 1,1,607,
79501,,Surface,31,Image 1,1,611,
2.50691e+06,,Surface,31,Image 1,1,614,
142,,Surface,31,Image 1,1,615,
39993,,Surface,31,Image 1,1,616,
340679,,Surface,31,Image 1,1,617,
21,,Surface,31,Image 1,1,619,
3.6124e+06,,Surface,31,Image 1,1,627,
2.51549e+06,,Surface,31,Image 1,1,631,
125134,,Surface,31,Image 1,1,632,
185,,Surface,31,Image 1,1,639,
12510,,Surface,31,Image 1,1,644,
2392,,Surface,31,Image 1,1,652,
1266,,Surface,31,Image 1,1,655,
37,,Surface,31,Image 1,1,657,
12,,Surface,31,Image 1,1,658,
7254,,Surface,31,Image 1,1,665,
545185,,Surface,31,Image 1,1,682,
2.20057e+06,,Surface,31,Image 1,1,687,
73844,,Surface,31,Image 1,1,693,
1754,,Surface,31,Image 1,1,699,
412064,,Surface,31,Image 1,1,700,
13037,,Surface,31,Image 1,1,708,
1.08979e+06,,Surface,31,Image 1,1,710,
264376,,Surface,31,Image 1,1,725,
1.85245e+06,,Surface,31,Image 1,1,728,
7.10231e+06,,Surface,31,Image 1,1,729,
575107,,Surface,31,Image 1,1,730,
48764,,Surface,31,Image 1,1,731,
6181,,Surface,31,Image 1,1,733,
1.64776e+06,,Surface,31,Image 1,1,735,
831499,,Surface,31,Image 1,1,736,
59208,,Surface,31,Image 1,1,742,
175434,,Surface,31,Image 1,1,748,
7239,,Surface,31,Image 1,1,750,
1901,,Surface,31,Image 1,1,753,
2.05578e+06,,Surface,31,Image 1,1,756,
262,,Surface,31,Image 1,1,760,
57898,,Surface,31,Image 1,1,764,
936595,,Surface,31,Image 1,1,766,
104165,,Surface,31,Image 1,1,771,
15623,,Surface,31,Image 1,1,772,
5088,,Surface,31,Image 1,1,782,
25192,,Surface,31,Image 1,1,783,
6806,,Surface,31,Image 1,1,784,
501724,,Surface,31,Image 1,1,793,
1.11075e+06,,Surface,31,Image 1,1,794,
41601,,Surface,31,Image 1,1,800,
119207,,Surface,31,Image 1,1,802,
262080,,Surface,31,Image 1,1,805,
4792,,Surface,31,Image 1,1,810,
69904,,Surface,31,Image 1,1,817,
101648,,Surface,31,Image 1,1,821,
2.86036e+06,,Surface,31,Image 1,1,822,
1.21248e+06,,Surface,31,Image 1,1,827,
9.16081e+06,,Surface,31,Image 1,1,831,
223182,,Surface,31,Image 1,1,834,
6304,,Surface,31,Image 1,1,839,
1742,,Surface,31,Image 1,1,850,
120181,,Surface,31,Image 1,1,855,
30990,,Surface,31,Image 1,1,868,
4881,,Surface,31,Image 1,1,874,
32248,,Surface,31,Image 1,1,875,
78482,,Surface,31,Image 1,1,882,
11376,,Surface,31,Image 1,1,883,
3178,,Surface,31,Image 1,1,885,
740381,,Surface,31,Image 1,1,891,
26073,,Surface,31,Image 1,1,892,
15227,,Surface,31,Image 1,1,895,
82347,,Surface,31,Image 1,1,896,
6.89647e+06,,Surface,31,Image 1,1,897,
178400,,Surface,31,Image 1,1,901,
10116,,Surface,31,Image 1,1,905,
18711,,Surface,31,Image 1,1,911,
153,,Surface,31,Image 1,1,912,
4.46379e+06,,Surface,31,Image 1,1,924,
95532,,Surface,31,Image 1,1,925,
555,,Surface,31,Image 1,1,926,
332959,,Surface,31,Image 1,1,935,
3260,,Surface,31,Image 1,1,936,
2.04675e+06,,Surface,31,Image 1,1,946,
24168,,Surface,31,Image 1,1,950,
9879,,Surface,31,Image 1,1,955,
373054,,Surface,31,Image 1,1,957,
33428,,Surface,31,Image 1,1,962,
41755,,Surface,31,Image 1,1,966,
1.04944e+07,,Surface,31,Image 1,1,977,
21888,,Surface,31,Image 1,1,979,
204144,,Surface,31,Image 1,1,986,
1122,,Surface,31,Image 1,1,991,
4.27029e+06,,Surface,31,Image 1,1,993,
35161,,Surface,31,Image 1,1,1011,
255773,,Surface,31,Image 1,1,1013,
2.13374e+06,,Surface,31,Image 1,1,1016,
714397,,Surface,31,Image 1,1,1017,
163442,,Surface,31,Image 1,1,1023,
1.53021e+07,,Surface,31,Image 1,1,1024,
77871,,Surface,31,Image 1,1,1030,
8219,,Surface,31,Image 1,1,1033,
8672,,Surface,31,Image 1,1,1041,
112885,,Surface,31,Image 1,1,1043,
1.03263e+06,,Surface,31,Image 1,1,1046,
24654,,Surface,31,Image 1,1,1048,
24721,,Surface,31,Image 1,1,1049,
24551,,Surface,31,Image 1,1,1051,
932579,,Surface,31,Image 1,1,1052,
7.17049e+06,,Surface,31,Image 1,1,1053,
410562,,Surface,31,Image 1,1,1055,
1.89339e+06,,Surface,31,Image 1,1,1056,
151,,Surface,31,Image 1,1,1062,
89442,,Surface,31,Image 1,1,1065,
136873,,Surface,31,Image 1,1,1066,
87835,,Surface,31,Image 1,1,1070,
3951,,Surface,31,Image 1,1,1071,
1384,,Surface,31,Image 1,1,1074,
8635,,Surface,31,Image 1,1,1078,
32182,,Surface,31,Image 1,1,1087,
4.99923e+06,,Surface,31,Image 1,1,1090,
3.48403e+06,,Surface,31,Image 1,1,1093,
656545,,Surface,31,Image 1,1,1094,
11713,,Surface,31,Image 1,1,1095,
53211,,Surface,31,Image 1,1,1096,
19246,,Surface,31,Image 1,1,1101,
6938,,Surface,31,Image 1,1,1102,
