
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
23.895,1.45093e+07,µm^3,Cumulative Volume,Image 1,1,,
24.165,1.46667e+07,µm^3,Cumulative Volume,Image 1,1,,
24.435,1.48176e+07,µm^3,Cumulative Volume,Image 1,1,,
24.705,1.49634e+07,µm^3,Cumulative Volume,Image 1,1,,
24.975,1.51059e+07,µm^3,Cumulative Volume,Image 1,1,,
25.245,1.52421e+07,µm^3,Cumulative Volume,Image 1,1,,
25.515,1.53729e+07,µm^3,Cumulative Volume,Image 1,1,,
25.785,1.54999e+07,µm^3,Cumulative Volume,Image 1,1,,
26.055,1.56238e+07,µm^3,Cumulative Volume,Image 1,1,,
26.325,1.5742e+07,µm^3,Cumulative Volume,Image 1,1,,
26.595,1.5856e+07,µm^3,Cumulative Volume,Image 1,1,,
26.865,1.59668e+07,µm^3,Cumulative Volume,Image 1,1,,
27.135,1.60722e+07,µm^3,Cumulative Volume,Image 1,1,,
27.405,1.6173e+07,µm^3,Cumulative Volume,Image 1,1,,
27.675,1.62705e+07,µm^3,Cumulative Volume,Image 1,1,,
27.945,1.63652e+07,µm^3,Cumulative Volume,Image 1,1,,
28.215,1.64552e+07,µm^3,Cumulative Volume,Image 1,1,,
28.485,1.65414e+07,µm^3,Cumulative Volume,Image 1,1,,
28.755,1.66246e+07,µm^3,Cumulative Volume,Image 1,1,,
29.025,1.67056e+07,µm^3,Cumulative Volume,Image 1,1,,
29.295,1.67827e+07,µm^3,Cumulative Volume,Image 1,1,,
29.565,1.68566e+07,µm^3,Cumulative Volume,Image 1,1,,
29.835,1.69284e+07,µm^3,Cumulative Volume,Image 1,1,,
30.105,1.69966e+07,µm^3,Cumulative Volume,Image 1,1,,
30.375,1.70617e+07,µm^3,Cumulative Volume,Image 1,1,,
30.645,1.71247e+07,µm^3,Cumulative Volume,Image 1,1,,
30.915,1.71861e+07,µm^3,Cumulative Volume,Image 1,1,,
31.185,1.72446e+07,µm^3,Cumulative Volume,Image 1,1,,
31.455,1.7301e+07,µm^3,Cumulative Volume,Image 1,1,,
31.725,1.7356e+07,µm^3,Cumulative Volume,Image 1,1,,
31.995,1.74083e+07,µm^3,Cumulative Volume,Image 1,1,,
32.265,1.74579e+07,µm^3,Cumulative Volume,Image 1,1,,
32.535,1.75068e+07,µm^3,Cumulative Volume,Image 1,1,,
32.805,1.75538e+07,µm^3,Cumulative Volume,Image 1,1,,
33.075,1.7598e+07,µm^3,Cumulative Volume,Image 1,1,,
33.345,1.76408e+07,µm^3,Cumulative Volume,Image 1,1,,
33.615,1.76815e+07,µm^3,Cumulative Volume,Image 1,1,,
33.885,1.77215e+07,µm^3,Cumulative Volume,Image 1,1,,
34.155,1.776e+07,µm^3,Cumulative Volume,Image 1,1,,
34.425,1.77961e+07,µm^3,Cumulative Volume,Image 1,1,,
34.695,1.78312e+07,µm^3,Cumulative Volume,Image 1,1,,
34.965,1.78649e+07,µm^3,Cumulative Volume,Image 1,1,,
35.235,1.78965e+07,µm^3,Cumulative Volume,Image 1,1,,
35.505,1.79273e+07,µm^3,Cumulative Volume,Image 1,1,,
35.775,1.79569e+07,µm^3,Cumulative Volume,Image 1,1,,
36.045,1.79845e+07,µm^3,Cumulative Volume,Image 1,1,,
36.315,1.80114e+07,µm^3,Cumulative Volume,Image 1,1,,
36.585,1.80371e+07,µm^3,Cumulative Volume,Image 1,1,,
36.855,1.8061e+07,µm^3,Cumulative Volume,Image 1,1,,
37.125,1.80842e+07,µm^3,Cumulative Volume,Image 1,1,,
37.395,1.81062e+07,µm^3,Cumulative Volume,Image 1,1,,
37.665,1.81278e+07,µm^3,Cumulative Volume,Image 1,1,,
37.935,1.81485e+07,µm^3,Cumulative Volume,Image 1,1,,
38.205,1.81679e+07,µm^3,Cumulative Volume,Image 1,1,,
38.475,1.81869e+07,µm^3,Cumulative Volume,Image 1,1,,
38.745,1.82051e+07,µm^3,Cumulative Volume,Image 1,1,,
39.015,1.82222e+07,µm^3,Cumulative Volume,Image 1,1,,
39.285,1.8239e+07,µm^3,Cumulative Volume,Image 1,1,,
39.555,1.82551e+07,µm^3,Cumulative Volume,Image 1,1,,
39.825,1.82702e+07,µm^3,Cumulative Volume,Image 1,1,,
40.095,1.82849e+07,µm^3,Cumulative Volume,Image 1,1,,
40.365,1.82989e+07,µm^3,Cumulative Volume,Image 1,1,,
40.635,1.83128e+07,µm^3,Cumulative Volume,Image 1,1,,
40.905,1.83262e+07,µm^3,Cumulative Volume,Image 1,1,,
41.175,1.83388e+07,µm^3,Cumulative Volume,Image 1,1,,
41.445,1.83511e+07,µm^3,Cumulative Volume,Image 1,1,,
41.715,1.8363e+07,µm^3,Cumulative Volume,Image 1,1,,
41.985,1.83742e+07,µm^3,Cumulative Volume,Image 1,1,,
42.255,1.83852e+07,µm^3,Cumulative Volume,Image 1,1,,
42.525,1.83958e+07,µm^3,Cumulative Volume,Image 1,1,,
42.795,1.84057e+07,µm^3,Cumulative Volume,Image 1,1,,
43.065,1.84154e+07,µm^3,Cumulative Volume,Image 1,1,,
43.335,1.84247e+07,µm^3,Cumulative Volume,Image 1,1,,
43.605,1.84334e+07,µm^3,Cumulative Volume,Image 1,1,,
43.875,1.84419e+07,µm^3,Cumulative Volume,Image 1,1,,
44.145,1.84499e+07,µm^3,Cumulative Volume,Image 1,1,,
