
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-1.215,26.8177,µm^3,Volume Inside,Image 1,1,,
-0.945,97.1315,µm^3,Volume Inside,Image 1,1,,
-0.675,291.1,µm^3,Volume Inside,Image 1,1,,
-0.405,704.526,µm^3,Volume Inside,Image 1,1,,
-0.135,1425.33,µm^3,Volume Inside,Image 1,1,,
