
Time
 ==================== 
Time,Unit,Category,Time,ID,
0,s,Surface,1,926,
0,s,Surface,1,935,
0,s,Surface,1,936,
0,s,Surface,1,946,
0,s,Surface,1,950,
0,s,Surface,1,955,
0,s,Surface,1,957,
0,s,Surface,1,962,
0,s,Surface,1,966,
0,s,Surface,1,977,
0,s,Surface,1,979,
0,s,Surface,1,986,
0,s,Surface,1,991,
0,s,Surface,1,993,
0,s,Surface,1,1011,
0,s,Surface,1,1013,
0,s,Surface,1,1016,
0,s,Surface,1,1017,
0,s,Surface,1,1023,
0,s,Surface,1,1024,
0,s,Surface,1,1030,
0,s,Surface,1,1033,
0,s,Surface,1,1041,
0,s,Surface,1,1043,
0,s,Surface,1,1046,
0,s,Surface,1,1048,
0,s,Surface,1,1049,
0,s,Surface,1,1051,
0,s,Surface,1,1052,
0,s,Surface,1,1053,
0,s,Surface,1,1055,
0,s,Surface,1,1056,
0,s,Surface,1,1062,
0,s,Surface,1,1065,
0,s,Surface,1,1066,
0,s,Surface,1,1070,
0,s,Surface,1,1071,
0,s,Surface,1,1074,
0,s,Surface,1,1078,
0,s,Surface,1,1087,
0,s,Surface,1,1090,
0,s,Surface,1,1093,
0,s,Surface,1,1094,
0,s,Surface,1,1095,
0,s,Surface,1,1096,
0,s,Surface,1,1101,
0,s,Surface,1,1102,
0,s,Surface,1,1104,
0,s,Surface,1,1105,
0,s,Surface,1,1106,
0,s,Surface,1,1108,
0,s,Surface,1,1109,
0,s,Surface,1,1112,
0,s,Surface,1,1118,
0,s,Surface,1,1121,
0,s,Surface,1,1131,
0,s,Surface,1,1134,
0,s,Surface,1,1137,
0,s,Surface,1,1144,
0,s,Surface,1,1145,
0,s,Surface,1,1148,
0,s,Surface,1,1163,
0,s,Surface,1,1166,
0,s,Surface,1,1169,
0,s,Surface,1,1171,
0,s,Surface,1,1173,
0,s,Surface,1,1177,
0,s,Surface,1,1184,
0,s,Surface,1,1189,
0,s,Surface,1,1191,
0,s,Surface,1,1193,
0,s,Surface,1,1198,
0,s,Surface,1,1200,
0,s,Surface,1,1202,
0,s,Surface,1,1203,
0,s,Surface,1,1212,
0,s,Surface,1,1217,
0,s,Surface,1,1223,
0,s,Surface,1,1224,
0,s,Surface,1,1226,
0,s,Surface,1,1231,
0,s,Surface,1,1236,
0,s,Surface,1,1237,
0,s,Surface,1,1240,
0,s,Surface,1,1241,
0,s,Surface,1,1242,
0,s,Surface,1,1247,
0,s,Surface,1,1249,
0,s,Surface,1,1250,
0,s,Surface,1,1251,
0,s,Surface,1,1253,
0,s,Surface,1,1254,
0,s,Surface,1,1256,
0,s,Surface,1,1264,
0,s,Surface,1,1267,
0,s,Surface,1,1275,
0,s,Surface,1,1277,
0,s,Surface,1,1278,
0,s,Surface,1,1280,
0,s,Surface,1,1282,
0,s,Surface,1,1283,
0,s,Surface,1,1285,
0,s,Surface,1,1288,
0,s,Surface,1,1292,
0,s,Surface,1,1297,
0,s,Surface,1,1300,
0,s,Surface,1,1303,
0,s,Surface,1,1306,
0,s,Surface,1,1307,
0,s,Surface,1,1310,
0,s,Surface,1,1312,
0,s,Surface,1,1321,
0,s,Surface,1,1323,
0,s,Surface,1,1332,
0,s,Surface,1,1334,
0,s,Surface,1,1341,
0,s,Surface,1,1348,
0,s,Surface,1,1350,
0,s,Surface,1,1353,
0,s,Surface,1,1356,
0,s,Surface,1,1358,
0,s,Surface,1,1359,
0,s,Surface,1,1360,
0,s,Surface,1,1365,
0,s,Surface,1,1369,
0,s,Surface,1,1371,
0,s,Surface,1,1383,
0,s,Surface,1,1388,
0,s,Surface,1,1392,
0,s,Surface,1,1395,
0,s,Surface,1,1399,
0,s,Surface,1,1400,
0,s,Surface,1,1401,
0,s,Surface,1,1406,
0,s,Surface,1,1408,
0,s,Surface,1,1410,
0,s,Surface,1,1411,
0,s,Surface,1,1422,
0,s,Surface,1,1428,
0,s,Surface,1,1429,
0,s,Surface,1,1441,
0,s,Surface,1,1464,
0,s,Surface,1,1467,
0,s,Surface,1,1470,
0,s,Surface,1,1475,
0,s,Surface,1,1488,
0,s,Surface,1,1494,
0,s,Surface,1,1501,
0,s,Surface,1,1502,
0,s,Surface,1,1503,
0,s,Surface,1,1504,
0,s,Surface,1,1508,
0,s,Surface,1,1510,
0,s,Surface,1,1512,
0,s,Surface,1,1515,
0,s,Surface,1,1516,
0,s,Surface,1,1517,
0,s,Surface,1,1518,
0,s,Surface,1,1521,
0,s,Surface,1,1525,
0,s,Surface,1,1527,
0,s,Surface,1,1528,
0,s,Surface,1,1529,
0,s,Surface,1,1534,
0,s,Surface,1,1535,
0,s,Surface,1,1537,
0,s,Surface,1,1540,
0,s,Surface,1,1542,
0,s,Surface,1,1545,
0,s,Surface,1,1546,
0,s,Surface,1,1547,
0,s,Surface,1,1549,
0,s,Surface,1,1554,
0,s,Surface,1,1555,
0,s,Surface,1,1556,
0,s,Surface,1,1565,
0,s,Surface,1,1566,
0,s,Surface,1,1569,
0,s,Surface,1,1574,
0,s,Surface,1,1575,
0,s,Surface,1,1577,
0,s,Surface,1,1578,
0,s,Surface,1,1579,
0,s,Surface,1,1580,
0,s,Surface,1,1584,
0,s,Surface,1,1597,
0,s,Surface,1,1599,
0,s,Surface,1,1602,
0,s,Surface,1,1607,
0,s,Surface,1,1609,
0,s,Surface,1,1610,
0,s,Surface,1,1619,
0,s,Surface,1,1621,
0,s,Surface,1,1632,
0,s,Surface,1,1635,
0,s,Surface,1,1647,
0,s,Surface,1,1656,
0,s,Surface,1,1657,
0,s,Surface,1,1659,
0,s,Surface,1,1662,
0,s,Surface,1,1663,
0,s,Surface,1,1664,
0,s,Surface,1,1667,
0,s,Surface,1,1668,
0,s,Surface,1,1676,
0,s,Surface,1,1677,
0,s,Surface,1,1679,
0,s,Surface,1,1680,
0,s,Surface,1,1686,
0,s,Surface,1,1689,
0,s,Surface,1,1692,
0,s,Surface,1,1715,
0,s,Surface,1,1716,
0,s,Surface,1,1718,
0,s,Surface,1,1722,
0,s,Surface,1,1739,
0,s,Surface,1,1742,
0,s,Surface,1,1743,
0,s,Surface,1,1752,
0,s,Surface,1,1754,
0,s,Surface,1,1757,
0,s,Surface,1,1759,
0,s,Surface,1,1761,
0,s,Surface,1,1762,
0,s,Surface,1,1763,
0,s,Surface,1,1779,
0,s,Surface,1,1784,
0,s,Surface,1,1786,
0,s,Surface,1,1791,
0,s,Surface,1,1792,
0,s,Surface,1,1794,
0,s,Surface,1,1802,
0,s,Surface,1,1808,
0,s,Surface,1,1812,
0,s,Surface,1,1815,
0,s,Surface,1,1816,
0,s,Surface,1,1820,
0,s,Surface,1,1832,
0,s,Surface,1,1835,
0,s,Surface,1,1845,
0,s,Surface,1,1846,
0,s,Surface,1,1848,
0,s,Surface,1,1856,
0,s,Surface,1,1860,
0,s,Surface,1,1866,
0,s,Surface,1,1867,
0,s,Surface,1,1868,
0,s,Surface,1,1871,
0,s,Surface,1,1872,
0,s,Surface,1,1875,
0,s,Surface,1,1878,
0,s,Surface,1,1879,
0,s,Surface,1,1882,
0,s,Surface,1,1885,
0,s,Surface,1,1886,
0,s,Surface,1,1887,
0,s,Surface,1,1890,
0,s,Surface,1,1891,
0,s,Surface,1,1892,
0,s,Surface,1,1897,
0,s,Surface,1,1901,
0,s,Surface,1,1904,
0,s,Surface,1,1906,
0,s,Surface,1,1907,
0,s,Surface,1,1917,
0,s,Surface,1,1920,
0,s,Surface,1,1922,
0,s,Surface,1,1936,
0,s,Surface,1,1939,
0,s,Surface,1,1941,
0,s,Surface,1,1943,
0,s,Surface,1,1948,
0,s,Surface,1,1949,
0,s,Surface,1,1952,
0,s,Surface,1,1955,
0,s,Surface,1,1956,
0,s,Surface,1,1966,
0,s,Surface,1,1969,
0,s,Surface,1,1970,
0,s,Surface,1,1974,
0,s,Surface,1,1977,
0,s,Surface,1,1988,
0,s,Surface,1,1990,
0,s,Surface,1,1992,
0,s,Surface,1,1993,
0,s,Surface,1,1997,
0,s,Surface,1,2001,
0,s,Surface,1,2006,
0,s,Surface,1,2010,
0,s,Surface,1,2013,
0,s,Surface,1,2016,
0,s,Surface,1,2020,
0,s,Surface,1,2021,
0,s,Surface,1,2023,
0,s,Surface,1,2025,
0,s,Surface,1,2026,
0,s,Surface,1,2030,
0,s,Surface,1,2031,
0,s,Surface,1,2035,
0,s,Surface,1,2040,
0,s,Surface,1,2050,
0,s,Surface,1,2051,
0,s,Surface,1,2052,
0,s,Surface,1,2054,
0,s,Surface,1,2055,
0,s,Surface,1,2058,
0,s,Surface,1,2061,
0,s,Surface,1,2064,
0,s,Surface,1,2065,
0,s,Surface,1,2068,
0,s,Surface,1,2070,
0,s,Surface,1,2074,
0,s,Surface,1,2076,
0,s,Surface,1,2079,
0,s,Surface,1,2090,
0,s,Surface,1,2092,
0,s,Surface,1,2094,
0,s,Surface,1,2096,
0,s,Surface,1,2097,
0,s,Surface,1,2099,
0,s,Surface,1,2101,
0,s,Surface,1,2103,
0,s,Surface,1,2106,
0,s,Surface,1,2108,
0,s,Surface,1,2113,
0,s,Surface,1,2114,
0,s,Surface,1,2115,
0,s,Surface,1,2133,
0,s,Surface,1,2138,
0,s,Surface,1,2147,
0,s,Surface,1,2150,
0,s,Surface,1,2156,
0,s,Surface,1,2158,
0,s,Surface,1,2159,
0,s,Surface,1,2160,
0,s,Surface,1,2161,
0,s,Surface,1,2164,
0,s,Surface,1,2166,
0,s,Surface,1,2168,
0,s,Surface,1,2170,
0,s,Surface,1,2171,
0,s,Surface,1,2173,
0,s,Surface,1,2174,
0,s,Surface,1,2176,
0,s,Surface,1,2181,
0,s,Surface,1,2187,
0,s,Surface,1,2189,
0,s,Surface,1,2193,
0,s,Surface,1,2204,
0,s,Surface,1,2210,
0,s,Surface,1,2214,
0,s,Surface,1,2216,
0,s,Surface,1,2225,
0,s,Surface,1,2234,
0,s,Surface,1,2235,
0,s,Surface,1,2257,
0,s,Surface,1,2258,
0,s,Surface,1,2259,
0,s,Surface,1,2260,
0,s,Surface,1,2263,
0,s,Surface,1,2264,
0,s,Surface,1,2265,
0,s,Surface,1,2266,
0,s,Surface,1,2275,
0,s,Surface,1,2276,
0,s,Surface,1,2284,
0,s,Surface,1,2294,
0,s,Surface,1,2299,
0,s,Surface,1,2307,
0,s,Surface,1,2310,
0,s,Surface,1,2314,
0,s,Surface,1,2317,
0,s,Surface,1,2318,
0,s,Surface,1,2319,
0,s,Surface,1,2320,
0,s,Surface,1,2331,
0,s,Surface,1,2332,
0,s,Surface,1,2337,
0,s,Surface,1,2339,
0,s,Surface,1,2354,
0,s,Surface,1,2368,
0,s,Surface,1,2369,
0,s,Surface,1,2375,
0,s,Surface,1,2380,
0,s,Surface,1,2398,
0,s,Surface,1,2403,
0,s,Surface,1,2405,
0,s,Surface,1,2409,
0,s,Surface,1,2420,
0,s,Surface,1,2422,
0,s,Surface,1,2426,
0,s,Surface,1,2428,
0,s,Surface,1,2434,
0,s,Surface,1,2438,
0,s,Surface,1,2439,
0,s,Surface,1,2440,
0,s,Surface,1,2441,
0,s,Surface,1,2442,
0,s,Surface,1,2444,
0,s,Surface,1,2453,
0,s,Surface,1,2458,
