
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.36109e+09,,Surface,1,Image 1,1,4,
5.78535e+09,,Surface,1,Image 1,1,5,
4.1279e+09,,Surface,1,Image 1,1,11,
8.22493e+09,,Surface,1,Image 1,1,14,
1.11942e+10,,Surface,1,Image 1,1,20,
1.15309e+10,,Surface,1,Image 1,1,21,
2.33208e+10,,Surface,1,Image 1,1,27,
2.28677e+09,,Surface,1,Image 1,1,32,
1.45375e+09,,Surface,1,Image 1,1,34,
1.89338e+09,,Surface,1,Image 1,1,38,
2.8589e+10,,Surface,1,Image 1,1,40,
1.33538e+09,,Surface,1,Image 1,1,41,
5.03569e+09,,Surface,1,Image 1,1,45,
3.69089e+09,,Surface,1,Image 1,1,50,
2.8483e+09,,Surface,1,Image 1,1,53,
2.35723e+09,,Surface,1,Image 1,1,55,
1.52526e+10,,Surface,1,Image 1,1,57,
1.63131e+11,,Surface,1,Image 1,1,58,
7.56017e+09,,Surface,1,Image 1,1,59,
2.61236e+09,,Surface,1,Image 1,1,62,
4.66222e+09,,Surface,1,Image 1,1,65,
1.83545e+10,,Surface,1,Image 1,1,70,
2.15585e+09,,Surface,1,Image 1,1,81,
4.2122e+09,,Surface,1,Image 1,1,83,
2.42736e+09,,Surface,1,Image 1,1,84,
8.5703e+09,,Surface,1,Image 1,1,90,
2.75188e+09,,Surface,1,Image 1,1,94,
2.26935e+09,,Surface,1,Image 1,1,95,
1.84244e+09,,Surface,1,Image 1,1,96,
6.14941e+10,,Surface,1,Image 1,1,98,
2.17993e+10,,Surface,1,Image 1,1,100,
6.40102e+10,,Surface,1,Image 1,1,102,
1.26242e+10,,Surface,1,Image 1,1,104,
1.45656e+09,,Surface,1,Image 1,1,112,
1.58217e+10,,Surface,1,Image 1,1,113,
7.55217e+09,,Surface,1,Image 1,1,114,
3.87032e+09,,Surface,1,Image 1,1,118,
1.71573e+09,,Surface,1,Image 1,1,121,
1.12455e+10,,Surface,1,Image 1,1,124,
1.11115e+10,,Surface,1,Image 1,1,137,
8.78936e+09,,Surface,1,Image 1,1,138,
1.58509e+11,,Surface,1,Image 1,1,141,
2.7725e+09,,Surface,1,Image 1,1,145,
2.00306e+10,,Surface,1,Image 1,1,149,
1.61698e+09,,Surface,1,Image 1,1,150,
2.25484e+09,,Surface,1,Image 1,1,154,
2.57812e+09,,Surface,1,Image 1,1,155,
4.58038e+10,,Surface,1,Image 1,1,166,
3.60877e+09,,Surface,1,Image 1,1,171,
1.04525e+10,,Surface,1,Image 1,1,173,
2.01181e+10,,Surface,1,Image 1,1,174,
1.79942e+09,,Surface,1,Image 1,1,176,
6.19101e+09,,Surface,1,Image 1,1,177,
6.1443e+09,,Surface,1,Image 1,1,190,
3.49831e+10,,Surface,1,Image 1,1,192,
1.2273e+09,,Surface,1,Image 1,1,193,
1.5738e+09,,Surface,1,Image 1,1,205,
1.04746e+10,,Surface,1,Image 1,1,206,
1.37994e+09,,Surface,1,Image 1,1,209,
6.23666e+10,,Surface,1,Image 1,1,210,
1.42855e+10,,Surface,1,Image 1,1,212,
3.22051e+09,,Surface,1,Image 1,1,225,
2.1655e+09,,Surface,1,Image 1,1,235,
4.98047e+10,,Surface,1,Image 1,1,237,
1.52502e+09,,Surface,1,Image 1,1,239,
4.67218e+10,,Surface,1,Image 1,1,245,
5.48394e+09,,Surface,1,Image 1,1,248,
1.1526e+10,,Surface,1,Image 1,1,251,
7.91868e+10,,Surface,1,Image 1,1,256,
2.68627e+09,,Surface,1,Image 1,1,258,
2.67807e+09,,Surface,1,Image 1,1,259,
9.50463e+09,,Surface,1,Image 1,1,260,
2.37975e+09,,Surface,1,Image 1,1,262,
7.02569e+10,,Surface,1,Image 1,1,263,
1.69787e+09,,Surface,1,Image 1,1,269,
1.76733e+11,,Surface,1,Image 1,1,271,
1.00891e+11,,Surface,1,Image 1,1,278,
1.34863e+11,,Surface,1,Image 1,1,280,
4.53788e+10,,Surface,1,Image 1,1,289,
1.89493e+10,,Surface,1,Image 1,1,292,
1.32787e+11,,Surface,1,Image 1,1,294,
1.67888e+10,,Surface,1,Image 1,1,295,
1.69316e+09,,Surface,1,Image 1,1,297,
9.19257e+09,,Surface,1,Image 1,1,298,
1.04116e+10,,Surface,1,Image 1,1,312,
4.30747e+09,,Surface,1,Image 1,1,318,
4.6832e+09,,Surface,1,Image 1,1,326,
1.11396e+10,,Surface,1,Image 1,1,332,
9.65333e+10,,Surface,1,Image 1,1,339,
2.08308e+10,,Surface,1,Image 1,1,343,
3.46413e+11,,Surface,1,Image 1,1,346,
2.09883e+10,,Surface,1,Image 1,1,348,
2.64509e+09,,Surface,1,Image 1,1,356,
3.15921e+09,,Surface,1,Image 1,1,357,
5.43781e+10,,Surface,1,Image 1,1,359,
3.07883e+09,,Surface,1,Image 1,1,361,
4.97237e+09,,Surface,1,Image 1,1,365,
2.42732e+10,,Surface,1,Image 1,1,370,
8.19574e+09,,Surface,1,Image 1,1,376,
2.7307e+09,,Surface,1,Image 1,1,377,
1.80965e+10,,Surface,1,Image 1,1,382,
4.06815e+09,,Surface,1,Image 1,1,384,
3.20432e+09,,Surface,1,Image 1,1,388,
2.40512e+09,,Surface,1,Image 1,1,389,
5.35691e+09,,Surface,1,Image 1,1,390,
8.57877e+09,,Surface,1,Image 1,1,401,
4.19661e+09,,Surface,1,Image 1,1,406,
6.28887e+09,,Surface,1,Image 1,1,409,
7.98036e+09,,Surface,1,Image 1,1,410,
1.66787e+11,,Surface,1,Image 1,1,411,
1.98892e+09,,Surface,1,Image 1,1,412,
1.18553e+10,,Surface,1,Image 1,1,418,
6.1139e+09,,Surface,1,Image 1,1,424,
1.39948e+09,,Surface,1,Image 1,1,426,
8.01348e+09,,Surface,1,Image 1,1,433,
5.5118e+09,,Surface,1,Image 1,1,439,
1.48494e+09,,Surface,1,Image 1,1,449,
1.96449e+11,,Surface,1,Image 1,1,452,
5.20398e+10,,Surface,1,Image 1,1,453,
1.05309e+11,,Surface,1,Image 1,1,456,
2.33876e+09,,Surface,1,Image 1,1,457,
