
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
42,,Surface,34,Image 1,1,604,
1108,,Surface,34,Image 1,1,606,
106,,Surface,34,Image 1,1,607,
1326,,Surface,34,Image 1,1,611,
153,,Surface,34,Image 1,1,614,
368,,Surface,34,Image 1,1,615,
134,,Surface,34,Image 1,1,616,
161,,Surface,34,Image 1,1,617,
366,,Surface,34,Image 1,1,619,
322,,Surface,34,Image 1,1,627,
95,,Surface,34,Image 1,1,631,
35,,Surface,34,Image 1,1,632,
373,,Surface,34,Image 1,1,639,
672,,Surface,34,Image 1,1,644,
115,,Surface,34,Image 1,1,652,
83,,Surface,34,Image 1,1,655,
113,,Surface,34,Image 1,1,657,
210,,Surface,34,Image 1,1,658,
68,,Surface,34,Image 1,1,665,
99,,Surface,34,Image 1,1,682,
201,,Surface,34,Image 1,1,687,
126,,Surface,34,Image 1,1,693,
236,,Surface,34,Image 1,1,699,
121,,Surface,34,Image 1,1,700,
60,,Surface,34,Image 1,1,708,
19,,Surface,34,Image 1,1,710,
214,,Surface,34,Image 1,1,725,
427,,Surface,34,Image 1,1,728,
421,,Surface,34,Image 1,1,729,
194,,Surface,34,Image 1,1,730,
275,,Surface,34,Image 1,1,731,
303,,Surface,34,Image 1,1,733,
256,,Surface,34,Image 1,1,735,
2,,Surface,34,Image 1,1,736,
767,,Surface,34,Image 1,1,742,
1043,,Surface,34,Image 1,1,748,
157,,Surface,34,Image 1,1,750,
505,,Surface,34,Image 1,1,753,
282,,Surface,34,Image 1,1,756,
308,,Surface,34,Image 1,1,760,
412,,Surface,34,Image 1,1,764,
131,,Surface,34,Image 1,1,766,
61,,Surface,34,Image 1,1,771,
186,,Surface,34,Image 1,1,772,
233,,Surface,34,Image 1,1,782,
61,,Surface,34,Image 1,1,783,
303,,Surface,34,Image 1,1,784,
366,,Surface,34,Image 1,1,793,
113,,Surface,34,Image 1,1,794,
254,,Surface,34,Image 1,1,800,
199,,Surface,34,Image 1,1,802,
135,,Surface,34,Image 1,1,805,
182,,Surface,34,Image 1,1,810,
397,,Surface,34,Image 1,1,817,
381,,Surface,34,Image 1,1,821,
104,,Surface,34,Image 1,1,822,
40,,Surface,34,Image 1,1,827,
168,,Surface,34,Image 1,1,831,
64,,Surface,34,Image 1,1,834,
316,,Surface,34,Image 1,1,839,
89,,Surface,34,Image 1,1,850,
838,,Surface,34,Image 1,1,855,
838,,Surface,34,Image 1,1,868,
56,,Surface,34,Image 1,1,874,
77,,Surface,34,Image 1,1,875,
71,,Surface,34,Image 1,1,882,
16,,Surface,34,Image 1,1,883,
130,,Surface,34,Image 1,1,885,
21,,Surface,34,Image 1,1,891,
239,,Surface,34,Image 1,1,892,
992,,Surface,34,Image 1,1,895,
157,,Surface,34,Image 1,1,896,
233,,Surface,34,Image 1,1,897,
310,,Surface,34,Image 1,1,901,
123,,Surface,34,Image 1,1,905,
117,,Surface,34,Image 1,1,911,
170,,Surface,34,Image 1,1,912,
210,,Surface,34,Image 1,1,924,
345,,Surface,34,Image 1,1,925,
216,,Surface,34,Image 1,1,926,
49,,Surface,34,Image 1,1,935,
