
Area
 ==================== 
Area,Unit,Category,Time,ID,
3.2346,µm^2,Surface,1,607,
9.75784,µm^2,Surface,1,611,
18.3255,µm^2,Surface,1,614,
3.07067,µm^2,Surface,1,615,
15.2631,µm^2,Surface,1,616,
10.0767,µm^2,Surface,1,617,
3.94755,µm^2,Surface,1,619,
26.0789,µm^2,Surface,1,627,
8.7608,µm^2,Surface,1,631,
3.47398,µm^2,Surface,1,632,
5.60221,µm^2,Surface,1,639,
15.6127,µm^2,Surface,1,644,
23.6367,µm^2,Surface,1,652,
5.30489,µm^2,Surface,1,655,
6.18693,µm^2,Surface,1,657,
4.45873,µm^2,Surface,1,658,
10.9785,µm^2,Surface,1,665,
3.16257,µm^2,Surface,1,682,
16.9553,µm^2,Surface,1,687,
5.69669,µm^2,Surface,1,693,
2.5673,µm^2,Surface,1,699,
4.8797,µm^2,Surface,1,700,
3.26606,µm^2,Surface,1,708,
3.59188,µm^2,Surface,1,710,
5.46186,µm^2,Surface,1,725,
8.82042,µm^2,Surface,1,728,
14.1584,µm^2,Surface,1,729,
8.62862,µm^2,Surface,1,730,
4.18879,µm^2,Surface,1,731,
4.54082,µm^2,Surface,1,733,
13.009,µm^2,Surface,1,735,
4.07857,µm^2,Surface,1,736,
9.24175,µm^2,Surface,1,742,
5.87628,µm^2,Surface,1,748,
3.88302,µm^2,Surface,1,750,
4.43098,µm^2,Surface,1,753,
14.3793,µm^2,Surface,1,756,
2.23009,µm^2,Surface,1,760,
3.86207,µm^2,Surface,1,764,
10.4567,µm^2,Surface,1,766,
2.45502,µm^2,Surface,1,771,
43.8699,µm^2,Surface,1,772,
3.59668,µm^2,Surface,1,782,
3.70031,µm^2,Surface,1,783,
6.59356,µm^2,Surface,1,784,
8.96854,µm^2,Surface,1,793,
12.0658,µm^2,Surface,1,794,
3.61511,µm^2,Surface,1,800,
4.22402,µm^2,Surface,1,802,
18.8347,µm^2,Surface,1,805,
2.28812,µm^2,Surface,1,810,
4.76627,µm^2,Surface,1,817,
6.7068,µm^2,Surface,1,821,
15.6809,µm^2,Surface,1,822,
2.64587,µm^2,Surface,1,827,
34.3929,µm^2,Surface,1,831,
2.40425,µm^2,Surface,1,834,
3.04886,µm^2,Surface,1,839,
2.34159,µm^2,Surface,1,850,
4.8635,µm^2,Surface,1,855,
6.52256,µm^2,Surface,1,868,
3.16332,µm^2,Surface,1,874,
4.18696,µm^2,Surface,1,875,
9.3023,µm^2,Surface,1,882,
3.32813,µm^2,Surface,1,883,
3.46396,µm^2,Surface,1,885,
2.57453,µm^2,Surface,1,891,
3.13242,µm^2,Surface,1,892,
7.08533,µm^2,Surface,1,895,
5.13338,µm^2,Surface,1,896,
19.9014,µm^2,Surface,1,897,
14.8131,µm^2,Surface,1,901,
4.54738,µm^2,Surface,1,905,
3.15511,µm^2,Surface,1,911,
4.14478,µm^2,Surface,1,912,
17.2507,µm^2,Surface,1,924,
8.7439,µm^2,Surface,1,925,
3.64528,µm^2,Surface,1,926,
3.08208,µm^2,Surface,1,935,
3.58238,µm^2,Surface,1,936,
18.8003,µm^2,Surface,1,946,
5.79299,µm^2,Surface,1,950,
3.86333,µm^2,Surface,1,955,
8.58701,µm^2,Surface,1,957,
5.2192,µm^2,Surface,1,962,
4.61346,µm^2,Surface,1,966,
24.1105,µm^2,Surface,1,977,
2.48535,µm^2,Surface,1,979,
14.4754,µm^2,Surface,1,986,
4.52512,µm^2,Surface,1,991,
15.9196,µm^2,Surface,1,993,
3.87018,µm^2,Surface,1,1011,
3.75259,µm^2,Surface,1,1013,
5.01014,µm^2,Surface,1,1016,
2.76693,µm^2,Surface,1,1017,
2.61793,µm^2,Surface,1,1023,
28.755,µm^2,Surface,1,1024,
4.8545,µm^2,Surface,1,1030,
4.76597,µm^2,Surface,1,1033,
2.47279,µm^2,Surface,1,1041,
4.47012,µm^2,Surface,1,1043,
2.51283,µm^2,Surface,1,1046,
5.92618,µm^2,Surface,1,1048,
10.2344,µm^2,Surface,1,1049,
2.22781,µm^2,Surface,1,1051,
2.48378,µm^2,Surface,1,1052,
9.21812,µm^2,Surface,1,1053,
5.53725,µm^2,Surface,1,1055,
3.5427,µm^2,Surface,1,1056,
2.40856,µm^2,Surface,1,1062,
21.9563,µm^2,Surface,1,1065,
4.25295,µm^2,Surface,1,1066,
5.51173,µm^2,Surface,1,1070,
11.3326,µm^2,Surface,1,1071,
21.2982,µm^2,Surface,1,1074,
3.91415,µm^2,Surface,1,1078,
8.47276,µm^2,Surface,1,1087,
24.8983,µm^2,Surface,1,1090,
13.3346,µm^2,Surface,1,1093,
9.4005,µm^2,Surface,1,1094,
2.93652,µm^2,Surface,1,1095,
4.56068,µm^2,Surface,1,1096,
14.9828,µm^2,Surface,1,1101,
5.33533,µm^2,Surface,1,1102,
3.54883,µm^2,Surface,1,1104,
2.47889,µm^2,Surface,1,1105,
2.53397,µm^2,Surface,1,1106,
24.6389,µm^2,Surface,1,1108,
4.54052,µm^2,Surface,1,1109,
2.5353,µm^2,Surface,1,1112,
14.5689,µm^2,Surface,1,1118,
27.5829,µm^2,Surface,1,1121,
5.62084,µm^2,Surface,1,1131,
10.4205,µm^2,Surface,1,1134,
2.3151,µm^2,Surface,1,1137,
28.771,µm^2,Surface,1,1144,
19.8279,µm^2,Surface,1,1145,
19.2899,µm^2,Surface,1,1148,
4.50404,µm^2,Surface,1,1163,
4.22074,µm^2,Surface,1,1166,
10.7233,µm^2,Surface,1,1169,
18.103,µm^2,Surface,1,1171,
2.33288,µm^2,Surface,1,1173,
2.75127,µm^2,Surface,1,1177,
