
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.31883,,Surface,1,783,
0.404286,,Surface,1,784,
0.3477,,Surface,1,793,
0.421357,,Surface,1,794,
0.329148,,Surface,1,800,
0.484183,,Surface,1,802,
0.457866,,Surface,1,805,
0.186005,,Surface,1,810,
0.274771,,Surface,1,817,
0.25885,,Surface,1,821,
0.43031,,Surface,1,822,
0.205987,,Surface,1,827,
0.517142,,Surface,1,831,
0.342905,,Surface,1,834,
0.640809,,Surface,1,839,
0.366334,,Surface,1,850,
0.63216,,Surface,1,855,
0.265836,,Surface,1,868,
0.291906,,Surface,1,874,
0.307673,,Surface,1,875,
0.570025,,Surface,1,882,
0.353779,,Surface,1,883,
0.277983,,Surface,1,885,
0.422506,,Surface,1,891,
0.209199,,Surface,1,892,
0.25403,,Surface,1,895,
0.372513,,Surface,1,896,
0.447325,,Surface,1,897,
0.320808,,Surface,1,901,
0.369061,,Surface,1,905,
0.293292,,Surface,1,911,
0.260504,,Surface,1,912,
0.459023,,Surface,1,924,
0.503566,,Surface,1,925,
0.21066,,Surface,1,926,
0.379928,,Surface,1,935,
0.252711,,Surface,1,936,
0.299564,,Surface,1,946,
0.340803,,Surface,1,950,
0.534322,,Surface,1,955,
0.492381,,Surface,1,957,
0.613855,,Surface,1,962,
0.220409,,Surface,1,966,
0.366942,,Surface,1,977,
0.21146,,Surface,1,979,
0.319322,,Surface,1,986,
0.292008,,Surface,1,991,
0.499816,,Surface,1,993,
0.250769,,Surface,1,1011,
0.4979,,Surface,1,1013,
0.326012,,Surface,1,1016,
0.444681,,Surface,1,1017,
0.352572,,Surface,1,1023,
0.580603,,Surface,1,1024,
0.277665,,Surface,1,1030,
0.468823,,Surface,1,1033,
0.232436,,Surface,1,1041,
0.228004,,Surface,1,1043,
0.2307,,Surface,1,1046,
0.434408,,Surface,1,1048,
0.327084,,Surface,1,1049,
0.462585,,Surface,1,1051,
0.241722,,Surface,1,1052,
0.417308,,Surface,1,1053,
0.456665,,Surface,1,1055,
0.316239,,Surface,1,1056,
0.149465,,Surface,1,1062,
0.279001,,Surface,1,1065,
0.609212,,Surface,1,1066,
0.363346,,Surface,1,1070,
0.293451,,Surface,1,1071,
0.390921,,Surface,1,1074,
0.279166,,Surface,1,1078,
0.461667,,Surface,1,1087,
0.246885,,Surface,1,1090,
0.239636,,Surface,1,1093,
0.482338,,Surface,1,1094,
0.195183,,Surface,1,1095,
0.315286,,Surface,1,1096,
0.438271,,Surface,1,1101,
0.308738,,Surface,1,1102,
0.544845,,Surface,1,1104,
0.216482,,Surface,1,1105,
0.227979,,Surface,1,1106,
0.388277,,Surface,1,1108,
0.38841,,Surface,1,1109,
0.651471,,Surface,1,1112,
0.335175,,Surface,1,1118,
0.28342,,Surface,1,1121,
0.275579,,Surface,1,1131,
0.27016,,Surface,1,1134,
0.822397,,Surface,1,1137,
0.203319,,Surface,1,1144,
0.274452,,Surface,1,1145,
0.328267,,Surface,1,1148,
0.408922,,Surface,1,1163,
0.568733,,Surface,1,1166,
0.337711,,Surface,1,1169,
0.329335,,Surface,1,1171,
0.249098,,Surface,1,1173,
0.290487,,Surface,1,1177,
0.59225,,Surface,1,1184,
0.259468,,Surface,1,1189,
0.416604,,Surface,1,1191,
0.312218,,Surface,1,1193,
0.290326,,Surface,1,1198,
0.339624,,Surface,1,1200,
0.489657,,Surface,1,1202,
0.357051,,Surface,1,1203,
0.36505,,Surface,1,1212,
0.258412,,Surface,1,1217,
0.246402,,Surface,1,1223,
0.270418,,Surface,1,1224,
0.384308,,Surface,1,1226,
0.316837,,Surface,1,1231,
0.297575,,Surface,1,1236,
0.308266,,Surface,1,1237,
0.211843,,Surface,1,1240,
0.410424,,Surface,1,1241,
0.24722,,Surface,1,1242,
0.584304,,Surface,1,1247,
0.388625,,Surface,1,1249,
0.418954,,Surface,1,1250,
0.462606,,Surface,1,1251,
0.329007,,Surface,1,1253,
0.571291,,Surface,1,1254,
0.367496,,Surface,1,1256,
0.390207,,Surface,1,1264,
0.317395,,Surface,1,1267,
0.235653,,Surface,1,1275,
0.330265,,Surface,1,1277,
0.276004,,Surface,1,1278,
0.372915,,Surface,1,1280,
0.212098,,Surface,1,1282,
0.260482,,Surface,1,1283,
0.376601,,Surface,1,1285,
0.400514,,Surface,1,1288,
0.280445,,Surface,1,1292,
0.528914,,Surface,1,1297,
0.390016,,Surface,1,1300,
0.425381,,Surface,1,1303,
0.624112,,Surface,1,1306,
0.469665,,Surface,1,1307,
0.261714,,Surface,1,1310,
0.276591,,Surface,1,1312,
0.267246,,Surface,1,1321,
0.321675,,Surface,1,1323,
0.400095,,Surface,1,1332,
0.341469,,Surface,1,1334,
0.521444,,Surface,1,1341,
0.220632,,Surface,1,1348,
0.232723,,Surface,1,1350,
0.22201,,Surface,1,1353,
0.341897,,Surface,1,1356,
0.223403,,Surface,1,1358,
0.292363,,Surface,1,1359,
0.344956,,Surface,1,1360,
0.263509,,Surface,1,1365,
0.32762,,Surface,1,1369,
0.376712,,Surface,1,1371,
0.416121,,Surface,1,1383,
0.164367,,Surface,1,1388,
0.258849,,Surface,1,1392,
0.385697,,Surface,1,1395,
0.364096,,Surface,1,1399,
0.180633,,Surface,1,1400,
0.546765,,Surface,1,1401,
0.249974,,Surface,1,1406,
0.391613,,Surface,1,1408,
0.253369,,Surface,1,1410,
0.298502,,Surface,1,1411,
0.395697,,Surface,1,1422,
0.695426,,Surface,1,1428,
0.375246,,Surface,1,1429,
0.434408,,Surface,1,1441,
0.276324,,Surface,1,1464,
0.307153,,Surface,1,1467,
0.440484,,Surface,1,1470,
0.250457,,Surface,1,1475,
0.593517,,Surface,1,1488,
0.379127,,Surface,1,1494,
0.61661,,Surface,1,1501,
0.608691,,Surface,1,1502,
0.179571,,Surface,1,1503,
0.276886,,Surface,1,1504,
0.345872,,Surface,1,1508,
0.289314,,Surface,1,1510,
0.303216,,Surface,1,1512,
0.397776,,Surface,1,1515,
0.317101,,Surface,1,1516,
0.272697,,Surface,1,1517,
0.252601,,Surface,1,1518,
0.331889,,Surface,1,1521,
0.336113,,Surface,1,1525,
0.36229,,Surface,1,1527,
0.401715,,Surface,1,1528,
0.247768,,Surface,1,1529,
0.240299,,Surface,1,1534,
0.335154,,Surface,1,1535,
0.183418,,Surface,1,1537,
0.528526,,Surface,1,1540,
0.327823,,Surface,1,1542,
0.264681,,Surface,1,1545,
0.36208,,Surface,1,1546,
0.330186,,Surface,1,1547,
0.387148,,Surface,1,1549,
0.745872,,Surface,1,1554,
0.729983,,Surface,1,1555,
0.295752,,Surface,1,1556,
0.360224,,Surface,1,1565,
0.573056,,Surface,1,1566,
0.470509,,Surface,1,1569,
0.26475,,Surface,1,1574,
0.54679,,Surface,1,1575,
0.291872,,Surface,1,1577,
0.278236,,Surface,1,1578,
0.391278,,Surface,1,1579,
0.795296,,Surface,1,1580,
0.298079,,Surface,1,1584,
0.464311,,Surface,1,1597,
0.340693,,Surface,1,1599,
0.58884,,Surface,1,1602,
0.247394,,Surface,1,1607,
0.260615,,Surface,1,1609,
0.509048,,Surface,1,1610,
0.514675,,Surface,1,1619,
0.349539,,Surface,1,1621,
0.551524,,Surface,1,1632,
0.524285,,Surface,1,1635,
0.400656,,Surface,1,1647,
0.324792,,Surface,1,1656,
0.341343,,Surface,1,1657,
0.241901,,Surface,1,1659,
0.295789,,Surface,1,1662,
0.389848,,Surface,1,1663,
0.308844,,Surface,1,1664,
0.35592,,Surface,1,1667,
0.389572,,Surface,1,1668,
0.217676,,Surface,1,1676,
0.334407,,Surface,1,1677,
0.282189,,Surface,1,1679,
0.262366,,Surface,1,1680,
0.205059,,Surface,1,1686,
0.271675,,Surface,1,1689,
0.408745,,Surface,1,1692,
0.275425,,Surface,1,1715,
0.249255,,Surface,1,1716,
0.269744,,Surface,1,1718,
0.302531,,Surface,1,1722,
0.504767,,Surface,1,1739,
0.385441,,Surface,1,1742,
0.255337,,Surface,1,1743,
0.50987,,Surface,1,1752,
0.308785,,Surface,1,1754,
0.318643,,Surface,1,1757,
0.2806,,Surface,1,1759,
0.317382,,Surface,1,1761,
0.267247,,Surface,1,1762,
0.256587,,Surface,1,1763,
0.364337,,Surface,1,1779,
0.330657,,Surface,1,1784,
0.513152,,Surface,1,1786,
0.380171,,Surface,1,1791,
0.273536,,Surface,1,1792,
0.259408,,Surface,1,1794,
0.445504,,Surface,1,1802,
0.409718,,Surface,1,1808,
0.290839,,Surface,1,1812,
0.459252,,Surface,1,1815,
0.325306,,Surface,1,1816,
0.32575,,Surface,1,1820,
0.417114,,Surface,1,1832,
0.274386,,Surface,1,1835,
0.471544,,Surface,1,1845,
0.188606,,Surface,1,1846,
0.242474,,Surface,1,1848,
0.360513,,Surface,1,1856,
0.380642,,Surface,1,1860,
0.403553,,Surface,1,1866,
0.2467,,Surface,1,1867,
0.290954,,Surface,1,1868,
0.350231,,Surface,1,1871,
0.346433,,Surface,1,1872,
0.220802,,Surface,1,1875,
0.306337,,Surface,1,1878,
0.285125,,Surface,1,1879,
0.303247,,Surface,1,1882,
0.208734,,Surface,1,1885,
0.621295,,Surface,1,1886,
0.290742,,Surface,1,1887,
0.319466,,Surface,1,1890,
0.36894,,Surface,1,1891,
0.45497,,Surface,1,1892,
0.619538,,Surface,1,1897,
0.296769,,Surface,1,1901,
0.21163,,Surface,1,1904,
0.33735,,Surface,1,1906,
0.361994,,Surface,1,1907,
0.355449,,Surface,1,1917,
0.405807,,Surface,1,1920,
0.201205,,Surface,1,1922,
0.403704,,Surface,1,1936,
0.262356,,Surface,1,1939,
0.382006,,Surface,1,1941,
0.527644,,Surface,1,1943,
0.175689,,Surface,1,1948,
0.324742,,Surface,1,1949,
0.308178,,Surface,1,1952,
0.266735,,Surface,1,1955,
0.266121,,Surface,1,1956,
0.524301,,Surface,1,1966,
0.218789,,Surface,1,1969,
0.300227,,Surface,1,1970,
0.460885,,Surface,1,1974,
0.525892,,Surface,1,1977,
0.638976,,Surface,1,1988,
0.227432,,Surface,1,1990,
0.383266,,Surface,1,1992,
0.291227,,Surface,1,1993,
0.463331,,Surface,1,1997,
0.276162,,Surface,1,2001,
0.380339,,Surface,1,2006,
