
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
0.418656,µm^3,Surface,1,607,
2.22977,µm^3,Surface,1,611,
5.67305,µm^3,Surface,1,614,
0.424283,µm^3,Surface,1,615,
4.12672,µm^3,Surface,1,616,
2.30434,µm^3,Surface,1,617,
0.563199,µm^3,Surface,1,619,
9.89478,µm^3,Surface,1,627,
2.0714,µm^3,Surface,1,631,
0.426483,µm^3,Surface,1,632,
0.855629,µm^3,Surface,1,639,
4.75189,µm^3,Surface,1,644,
7.85403,µm^3,Surface,1,652,
0.882064,µm^3,Surface,1,655,
0.995818,µm^3,Surface,1,657,
0.72383,µm^3,Surface,1,658,
2.7372,µm^3,Surface,1,665,
0.37287,µm^3,Surface,1,682,
5.32499,µm^3,Surface,1,687,
0.853651,µm^3,Surface,1,693,
0.258828,µm^3,Surface,1,699,
0.883314,µm^3,Surface,1,700,
0.414154,µm^3,Surface,1,708,
0.460247,µm^3,Surface,1,710,
0.889694,µm^3,Surface,1,725,
1.91736,µm^3,Surface,1,728,
3.75141,µm^3,Surface,1,729,
1.74797,µm^3,Surface,1,730,
0.654079,µm^3,Surface,1,731,
0.682056,µm^3,Surface,1,733,
3.39108,µm^3,Surface,1,735,
0.566752,µm^3,Surface,1,736,
1.96594,µm^3,Surface,1,742,
1.09697,µm^3,Surface,1,748,
0.583564,µm^3,Surface,1,750,
0.756136,µm^3,Surface,1,753,
3.83236,µm^3,Surface,1,756,
0.257469,µm^3,Surface,1,760,
0.59818,µm^3,Surface,1,764,
2.41241,µm^3,Surface,1,766,
0.263287,µm^3,Surface,1,771,
19.7152,µm^3,Surface,1,772,
0.508654,µm^3,Surface,1,782,
0.492065,µm^3,Surface,1,783,
1.24706,µm^3,Surface,1,784,
1.73569,µm^3,Surface,1,793,
3.1341,µm^3,Surface,1,794,
0.518469,µm^3,Surface,1,800,
0.636874,µm^3,Surface,1,802,
5.52223,µm^3,Surface,1,805,
0.241824,µm^3,Surface,1,810,
0.717678,µm^3,Surface,1,817,
1.35876,µm^3,Surface,1,821,
4.59552,µm^3,Surface,1,822,
0.317395,µm^3,Surface,1,827,
12.7562,µm^3,Surface,1,831,
0.230041,µm^3,Surface,1,834,
0.367965,µm^3,Surface,1,839,
0.255153,µm^3,Surface,1,850,
0.759387,µm^3,Surface,1,855,
1.12206,µm^3,Surface,1,868,
0.37933,µm^3,Surface,1,874,
0.643694,µm^3,Surface,1,875,
1.94965,µm^3,Surface,1,882,
0.432718,µm^3,Surface,1,883,
0.475941,µm^3,Surface,1,885,
0.27103,µm^3,Surface,1,891,
0.363307,µm^3,Surface,1,892,
1.39284,µm^3,Surface,1,895,
0.840024,µm^3,Surface,1,896,
6.59119,µm^3,Surface,1,897,
4.01549,µm^3,Surface,1,901,
0.62918,µm^3,Surface,1,905,
0.427697,µm^3,Surface,1,911,
0.575483,µm^3,Surface,1,912,
5.03083,µm^3,Surface,1,924,
1.90425,µm^3,Surface,1,925,
0.456665,µm^3,Surface,1,926,
0.375486,µm^3,Surface,1,935,
0.447779,µm^3,Surface,1,936,
5.83411,µm^3,Surface,1,946,
1.02008,µm^3,Surface,1,950,
0.522168,µm^3,Surface,1,955,
1.64548,µm^3,Surface,1,957,
0.815361,µm^3,Surface,1,962,
0.720539,µm^3,Surface,1,966,
9.11897,µm^3,Surface,1,977,
0.274531,µm^3,Surface,1,979,
3.75445,µm^3,Surface,1,986,
0.730472,µm^3,Surface,1,991,
4.58624,µm^3,Surface,1,993,
0.589744,µm^3,Surface,1,1011,
0.537238,µm^3,Surface,1,1013,
0.86786,µm^3,Surface,1,1016,
0.341597,µm^3,Surface,1,1017,
0.307495,µm^3,Surface,1,1023,
11.1695,µm^3,Surface,1,1024,
0.796238,µm^3,Surface,1,1030,
0.74405,µm^3,Surface,1,1033,
0.285763,µm^3,Surface,1,1041,
0.661604,µm^3,Surface,1,1043,
0.298615,µm^3,Surface,1,1046,
0.919587,µm^3,Surface,1,1048,
2.41496,µm^3,Surface,1,1049,
0.244754,µm^3,Surface,1,1051,
0.302251,µm^3,Surface,1,1052,
2.16861,µm^3,Surface,1,1053,
0.879602,µm^3,Surface,1,1055,
0.484396,µm^3,Surface,1,1056,
0.240719,µm^3,Surface,1,1062,
7.50423,µm^3,Surface,1,1065,
0.559291,µm^3,Surface,1,1066,
1.03445,µm^3,Surface,1,1070,
2.79377,µm^3,Surface,1,1071,
6.11235,µm^3,Surface,1,1074,
0.526307,µm^3,Surface,1,1078,
1.72496,µm^3,Surface,1,1087,
9.51604,µm^3,Surface,1,1090,
3.64046,µm^3,Surface,1,1093,
1.88394,µm^3,Surface,1,1094,
0.318765,µm^3,Surface,1,1095,
0.647622,µm^3,Surface,1,1096,
4.26962,µm^3,Surface,1,1101,
0.974996,µm^3,Surface,1,1102,
0.51519,µm^3,Surface,1,1104,
0.266849,µm^3,Surface,1,1105,
0.307436,µm^3,Surface,1,1106,
9.52504,µm^3,Surface,1,1108,
0.778113,µm^3,Surface,1,1109,
0.290632,µm^3,Surface,1,1112,
4.41182,µm^3,Surface,1,1118,
11.234,µm^3,Surface,1,1121,
