
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1079.41,,Surface,11,Image 1,1,544,
665.924,,Surface,11,Image 1,1,547,
554.34,,Surface,11,Image 1,1,549,
42.4876,,Surface,11,Image 1,1,550,
370.13,,Surface,11,Image 1,1,551,
292.978,,Surface,11,Image 1,1,558,
58.7951,,Surface,11,Image 1,1,561,
675.795,,Surface,11,Image 1,1,571,
876.799,,Surface,11,Image 1,1,572,
712.15,,Surface,11,Image 1,1,573,
566.488,,Surface,11,Image 1,1,576,
397.223,,Surface,11,Image 1,1,581,
488.338,,Surface,11,Image 1,1,588,
263.529,,Surface,11,Image 1,1,589,
101.753,,Surface,11,Image 1,1,592,
847.121,,Surface,11,Image 1,1,599,
412.75,,Surface,11,Image 1,1,601,
216.63,,Surface,11,Image 1,1,604,
684.192,,Surface,11,Image 1,1,606,
431.034,,Surface,11,Image 1,1,607,
597.247,,Surface,11,Image 1,1,611,
591.843,,Surface,11,Image 1,1,614,
468.908,,Surface,11,Image 1,1,615,
209.643,,Surface,11,Image 1,1,616,
554.519,,Surface,11,Image 1,1,617,
495.756,,Surface,11,Image 1,1,619,
996.673,,Surface,11,Image 1,1,627,
585.51,,Surface,11,Image 1,1,631,
169.895,,Surface,11,Image 1,1,632,
614.442,,Surface,11,Image 1,1,639,
667.721,,Surface,11,Image 1,1,644,
782.39,,Surface,11,Image 1,1,652,
334.616,,Surface,11,Image 1,1,655,
439.332,,Surface,11,Image 1,1,657,
249.272,,Surface,11,Image 1,1,658,
3.25957,,Surface,11,Image 1,1,665,
171.132,,Surface,11,Image 1,1,682,
517.274,,Surface,11,Image 1,1,687,
248.932,,Surface,11,Image 1,1,693,
293.473,,Surface,11,Image 1,1,699,
224.719,,Surface,11,Image 1,1,700,
730.328,,Surface,11,Image 1,1,708,
621.822,,Surface,11,Image 1,1,710,
489.384,,Surface,11,Image 1,1,725,
791.466,,Surface,11,Image 1,1,728,
839.313,,Surface,11,Image 1,1,729,
585.196,,Surface,11,Image 1,1,730,
948.126,,Surface,11,Image 1,1,731,
662.719,,Surface,11,Image 1,1,733,
891.169,,Surface,11,Image 1,1,735,
570.618,,Surface,11,Image 1,1,736,
641.042,,Surface,11,Image 1,1,742,
995.082,,Surface,11,Image 1,1,748,
779.932,,Surface,11,Image 1,1,750,
598.626,,Surface,11,Image 1,1,753,
411.173,,Surface,11,Image 1,1,756,
428.511,,Surface,11,Image 1,1,760,
546.51,,Surface,11,Image 1,1,764,
588.869,,Surface,11,Image 1,1,766,
676.68,,Surface,11,Image 1,1,771,
35.854,,Surface,11,Image 1,1,772,
615.812,,Surface,11,Image 1,1,782,
537.27,,Surface,11,Image 1,1,783,
726.201,,Surface,11,Image 1,1,784,
502.458,,Surface,11,Image 1,1,793,
743.256,,Surface,11,Image 1,1,794,
383.453,,Surface,11,Image 1,1,800,
451.701,,Surface,11,Image 1,1,802,
950.986,,Surface,11,Image 1,1,805,
499.268,,Surface,11,Image 1,1,810,
554.032,,Surface,11,Image 1,1,817,
890.624,,Surface,11,Image 1,1,821,
640.074,,Surface,11,Image 1,1,822,
239.7,,Surface,11,Image 1,1,827,
940.654,,Surface,11,Image 1,1,831,
152.463,,Surface,11,Image 1,1,834,
668.794,,Surface,11,Image 1,1,839,
406.868,,Surface,11,Image 1,1,850,
284.019,,Surface,11,Image 1,1,855,
490.908,,Surface,11,Image 1,1,868,
329.037,,Surface,11,Image 1,1,874,
345.512,,Surface,11,Image 1,1,875,
238.027,,Surface,11,Image 1,1,882,
373.371,,Surface,11,Image 1,1,883,
796.092,,Surface,11,Image 1,1,885,
448.74,,Surface,11,Image 1,1,891,
261.928,,Surface,11,Image 1,1,892,
565.751,,Surface,11,Image 1,1,895,
349.073,,Surface,11,Image 1,1,896,
697.327,,Surface,11,Image 1,1,897,
844.974,,Surface,11,Image 1,1,901,
557.261,,Surface,11,Image 1,1,905,
490.813,,Surface,11,Image 1,1,911,
119.982,,Surface,11,Image 1,1,912,
814.818,,Surface,11,Image 1,1,924,
883.413,,Surface,11,Image 1,1,925,
369.385,,Surface,11,Image 1,1,926,
520.373,,Surface,11,Image 1,1,935,
715.658,,Surface,11,Image 1,1,936,
675.565,,Surface,11,Image 1,1,946,
709.691,,Surface,11,Image 1,1,950,
376.695,,Surface,11,Image 1,1,955,
373.735,,Surface,11,Image 1,1,957,
589.584,,Surface,11,Image 1,1,962,
428.613,,Surface,11,Image 1,1,966,
789.654,,Surface,11,Image 1,1,977,
391.849,,Surface,11,Image 1,1,979,
647.754,,Surface,11,Image 1,1,986,
567.626,,Surface,11,Image 1,1,991,
676.801,,Surface,11,Image 1,1,993,
666.572,,Surface,11,Image 1,1,1011,
458.32,,Surface,11,Image 1,1,1013,
382.687,,Surface,11,Image 1,1,1016,
298.371,,Surface,11,Image 1,1,1017,
277.603,,Surface,11,Image 1,1,1023,
784.388,,Surface,11,Image 1,1,1024,
472.264,,Surface,11,Image 1,1,1030,
0.441748,,Surface,11,Image 1,1,1033,
213.476,,Surface,11,Image 1,1,1041,
260.5,,Surface,11,Image 1,1,1043,
292.07,,Surface,11,Image 1,1,1046,
578.503,,Surface,11,Image 1,1,1048,
510.548,,Surface,11,Image 1,1,1049,
628.309,,Surface,11,Image 1,1,1051,
421.917,,Surface,11,Image 1,1,1052,
598.903,,Surface,11,Image 1,1,1053,
337.743,,Surface,11,Image 1,1,1055,
410.835,,Surface,11,Image 1,1,1056,
825.201,,Surface,11,Image 1,1,1062,
1091.22,,Surface,11,Image 1,1,1065,
615.085,,Surface,11,Image 1,1,1066,
391.179,,Surface,11,Image 1,1,1070,
627.721,,Surface,11,Image 1,1,1071,
922.16,,Surface,11,Image 1,1,1074,
733.123,,Surface,11,Image 1,1,1078,
477.68,,Surface,11,Image 1,1,1087,
799.502,,Surface,11,Image 1,1,1090,
334.794,,Surface,11,Image 1,1,1093,
355.164,,Surface,11,Image 1,1,1094,
396.45,,Surface,11,Image 1,1,1095,
632.336,,Surface,11,Image 1,1,1096,
702.428,,Surface,11,Image 1,1,1101,
675.878,,Surface,11,Image 1,1,1102,
652.986,,Surface,11,Image 1,1,1104,
217.052,,Surface,11,Image 1,1,1105,
505.254,,Surface,11,Image 1,1,1106,
949.633,,Surface,11,Image 1,1,1108,
485.361,,Surface,11,Image 1,1,1109,
363.104,,Surface,11,Image 1,1,1112,
828.368,,Surface,11,Image 1,1,1118,
27.1673,,Surface,11,Image 1,1,1121,
314.34,,Surface,11,Image 1,1,1131,
655.16,,Surface,11,Image 1,1,1134,
83.0606,,Surface,11,Image 1,1,1137,
714.99,,Surface,11,Image 1,1,1144,
908.017,,Surface,11,Image 1,1,1145,
442.225,,Surface,11,Image 1,1,1148,
93.5217,,Surface,11,Image 1,1,1163,
222.069,,Surface,11,Image 1,1,1166,
468.678,,Surface,11,Image 1,1,1169,
10.7487,,Surface,11,Image 1,1,1171,
561.528,,Surface,11,Image 1,1,1173,
389.364,,Surface,11,Image 1,1,1177,
641.459,,Surface,11,Image 1,1,1184,
882.077,,Surface,11,Image 1,1,1189,
497.205,,Surface,11,Image 1,1,1191,
344.587,,Surface,11,Image 1,1,1193,
575.05,,Surface,11,Image 1,1,1198,
651.945,,Surface,11,Image 1,1,1200,
640.223,,Surface,11,Image 1,1,1202,
24.6539,,Surface,11,Image 1,1,1203,
638.908,,Surface,11,Image 1,1,1212,
294.922,,Surface,11,Image 1,1,1217,
916.674,,Surface,11,Image 1,1,1223,
168.336,,Surface,11,Image 1,1,1224,
690.758,,Surface,11,Image 1,1,1226,
791.314,,Surface,11,Image 1,1,1231,
713.05,,Surface,11,Image 1,1,1236,
518.672,,Surface,11,Image 1,1,1237,
1087.94,,Surface,11,Image 1,1,1240,
850.779,,Surface,11,Image 1,1,1241,
430.217,,Surface,11,Image 1,1,1242,
155.636,,Surface,11,Image 1,1,1247,
232.31,,Surface,11,Image 1,1,1249,
345.486,,Surface,11,Image 1,1,1250,
545.25,,Surface,11,Image 1,1,1251,
1124.83,,Surface,11,Image 1,1,1253,
444.423,,Surface,11,Image 1,1,1254,
328.972,,Surface,11,Image 1,1,1256,
850.392,,Surface,11,Image 1,1,1264,
518.371,,Surface,11,Image 1,1,1267,
33.8156,,Surface,11,Image 1,1,1275,
412.513,,Surface,11,Image 1,1,1277,
840.938,,Surface,11,Image 1,1,1278,
586.452,,Surface,11,Image 1,1,1280,
490.625,,Surface,11,Image 1,1,1282,
428.004,,Surface,11,Image 1,1,1283,
707.994,,Surface,11,Image 1,1,1285,
726.522,,Surface,11,Image 1,1,1288,
86.8295,,Surface,11,Image 1,1,1292,
607.748,,Surface,11,Image 1,1,1297,
320.355,,Surface,11,Image 1,1,1300,
794.725,,Surface,11,Image 1,1,1303,
265.532,,Surface,11,Image 1,1,1306,
610.744,,Surface,11,Image 1,1,1307,
629.022,,Surface,11,Image 1,1,1310,
681.442,,Surface,11,Image 1,1,1312,
592.931,,Surface,11,Image 1,1,1321,
564.842,,Surface,11,Image 1,1,1323,
291.319,,Surface,11,Image 1,1,1332,
516.02,,Surface,11,Image 1,1,1334,
328.175,,Surface,11,Image 1,1,1341,
537.812,,Surface,11,Image 1,1,1348,
639.648,,Surface,11,Image 1,1,1350,
232.325,,Surface,11,Image 1,1,1353,
896.449,,Surface,11,Image 1,1,1356,
555.518,,Surface,11,Image 1,1,1358,
668.571,,Surface,11,Image 1,1,1359,
650.323,,Surface,11,Image 1,1,1360,
168.884,,Surface,11,Image 1,1,1365,
223.817,,Surface,11,Image 1,1,1369,
1091.67,,Surface,11,Image 1,1,1371,
1120.96,,Surface,11,Image 1,1,1383,
504.073,,Surface,11,Image 1,1,1388,
615.651,,Surface,11,Image 1,1,1392,
974.079,,Surface,11,Image 1,1,1395,
802.289,,Surface,11,Image 1,1,1399,
410.44,,Surface,11,Image 1,1,1400,
423.41,,Surface,11,Image 1,1,1401,
1058.1,,Surface,11,Image 1,1,1406,
490.193,,Surface,11,Image 1,1,1408,
646.416,,Surface,11,Image 1,1,1410,
193.098,,Surface,11,Image 1,1,1411,
558.193,,Surface,11,Image 1,1,1422,
187.432,,Surface,11,Image 1,1,1428,
320.424,,Surface,11,Image 1,1,1429,
748.528,,Surface,11,Image 1,1,1441,
504.778,,Surface,11,Image 1,1,1464,
500.958,,Surface,11,Image 1,1,1467,
475.507,,Surface,11,Image 1,1,1470,
457.314,,Surface,11,Image 1,1,1475,
539.53,,Surface,11,Image 1,1,1488,
291.004,,Surface,11,Image 1,1,1494,
1164.31,,Surface,11,Image 1,1,1501,
1099.97,,Surface,11,Image 1,1,1502,
331.31,,Surface,11,Image 1,1,1503,
833.219,,Surface,11,Image 1,1,1504,
497.612,,Surface,11,Image 1,1,1508,
824.522,,Surface,11,Image 1,1,1510,
399.244,,Surface,11,Image 1,1,1512,
449.901,,Surface,11,Image 1,1,1515,
185.576,,Surface,11,Image 1,1,1516,
377.062,,Surface,11,Image 1,1,1517,
828.752,,Surface,11,Image 1,1,1518,
433.058,,Surface,11,Image 1,1,1521,
377.93,,Surface,11,Image 1,1,1525,
322.014,,Surface,11,Image 1,1,1527,
479.068,,Surface,11,Image 1,1,1528,
82,,Surface,11,Image 1,1,1529,
673.066,,Surface,11,Image 1,1,1534,
423.598,,Surface,11,Image 1,1,1535,
750.563,,Surface,11,Image 1,1,1537,
81.4942,,Surface,11,Image 1,1,1540,
561.626,,Surface,11,Image 1,1,1542,
33.0536,,Surface,11,Image 1,1,1545,
222.568,,Surface,11,Image 1,1,1546,
131.909,,Surface,11,Image 1,1,1547,
178.863,,Surface,11,Image 1,1,1549,
410.093,,Surface,11,Image 1,1,1554,
418.58,,Surface,11,Image 1,1,1555,
156.243,,Surface,11,Image 1,1,1556,
355.07,,Surface,11,Image 1,1,1565,
1123.47,,Surface,11,Image 1,1,1566,
832.342,,Surface,11,Image 1,1,1569,
741.144,,Surface,11,Image 1,1,1574,
740.426,,Surface,11,Image 1,1,1575,
259.579,,Surface,11,Image 1,1,1577,
353.608,,Surface,11,Image 1,1,1578,
634.543,,Surface,11,Image 1,1,1579,
276.799,,Surface,11,Image 1,1,1580,
348.1,,Surface,11,Image 1,1,1584,
153.707,,Surface,11,Image 1,1,1597,
126.249,,Surface,11,Image 1,1,1599,
513.755,,Surface,11,Image 1,1,1602,
411.792,,Surface,11,Image 1,1,1607,
876.129,,Surface,11,Image 1,1,1609,
840.024,,Surface,11,Image 1,1,1610,
506.6,,Surface,11,Image 1,1,1619,
368.589,,Surface,11,Image 1,1,1621,
1196.31,,Surface,11,Image 1,1,1632,
489.804,,Surface,11,Image 1,1,1635,
532.642,,Surface,11,Image 1,1,1647,
337.825,,Surface,11,Image 1,1,1656,
416.53,,Surface,11,Image 1,1,1657,
411.685,,Surface,11,Image 1,1,1659,
24.6926,,Surface,11,Image 1,1,1662,
424.827,,Surface,11,Image 1,1,1663,
638.55,,Surface,11,Image 1,1,1664,
728.226,,Surface,11,Image 1,1,1667,
576.99,,Surface,11,Image 1,1,1668,
771.776,,Surface,11,Image 1,1,1676,
283.167,,Surface,11,Image 1,1,1677,
579.146,,Surface,11,Image 1,1,1679,
70.2765,,Surface,11,Image 1,1,1680,
466.737,,Surface,11,Image 1,1,1686,
10.1643,,Surface,11,Image 1,1,1689,
673.667,,Surface,11,Image 1,1,1692,
784.701,,Surface,11,Image 1,1,1715,
738.895,,Surface,11,Image 1,1,1716,
124.512,,Surface,11,Image 1,1,1718,
415.99,,Surface,11,Image 1,1,1722,
638.095,,Surface,11,Image 1,1,1739,
935.038,,Surface,11,Image 1,1,1742,
438.859,,Surface,11,Image 1,1,1743,
611.91,,Surface,11,Image 1,1,1752,
570.408,,Surface,11,Image 1,1,1754,
479.143,,Surface,11,Image 1,1,1757,
131.93,,Surface,11,Image 1,1,1759,
688.266,,Surface,11,Image 1,1,1761,
620.794,,Surface,11,Image 1,1,1762,
413.561,,Surface,11,Image 1,1,1763,
259.73,,Surface,11,Image 1,1,1779,
687.91,,Surface,11,Image 1,1,1784,
528.216,,Surface,11,Image 1,1,1786,
571.719,,Surface,11,Image 1,1,1791,
397.149,,Surface,11,Image 1,1,1792,
322.584,,Surface,11,Image 1,1,1794,
500.814,,Surface,11,Image 1,1,1802,
277.124,,Surface,11,Image 1,1,1808,
555.438,,Surface,11,Image 1,1,1812,
587.001,,Surface,11,Image 1,1,1815,
399.502,,Surface,11,Image 1,1,1816,
110.439,,Surface,11,Image 1,1,1820,
579.166,,Surface,11,Image 1,1,1832,
365.873,,Surface,11,Image 1,1,1835,
952.186,,Surface,11,Image 1,1,1845,
380.244,,Surface,11,Image 1,1,1846,
567.461,,Surface,11,Image 1,1,1848,
572.586,,Surface,11,Image 1,1,1856,
100.947,,Surface,11,Image 1,1,1860,
615.537,,Surface,11,Image 1,1,1866,
605.485,,Surface,11,Image 1,1,1867,
243.666,,Surface,11,Image 1,1,1868,
609.351,,Surface,11,Image 1,1,1871,
484.802,,Surface,11,Image 1,1,1872,
