
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
207.05,µm,Surface,Position,1,592,
273.292,µm,Surface,Position,1,599,
312.006,µm,Surface,Position,1,601,
313.438,µm,Surface,Position,1,604,
213.999,µm,Surface,Position,1,606,
247.029,µm,Surface,Position,1,607,
225.981,µm,Surface,Position,1,611,
317.499,µm,Surface,Position,1,614,
293.605,µm,Surface,Position,1,615,
245.141,µm,Surface,Position,1,616,
338.856,µm,Surface,Position,1,617,
296.19,µm,Surface,Position,1,619,
331.954,µm,Surface,Position,1,627,
202.538,µm,Surface,Position,1,631,
328.961,µm,Surface,Position,1,632,
264.838,µm,Surface,Position,1,639,
294.248,µm,Surface,Position,1,644,
322.425,µm,Surface,Position,1,652,
191.405,µm,Surface,Position,1,655,
192.293,µm,Surface,Position,1,657,
317.981,µm,Surface,Position,1,658,
203.791,µm,Surface,Position,1,665,
221.108,µm,Surface,Position,1,682,
211.337,µm,Surface,Position,1,687,
203.544,µm,Surface,Position,1,693,
308.364,µm,Surface,Position,1,699,
324.001,µm,Surface,Position,1,700,
337.756,µm,Surface,Position,1,708,
334.606,µm,Surface,Position,1,710,
264.497,µm,Surface,Position,1,725,
287.494,µm,Surface,Position,1,728,
291.193,µm,Surface,Position,1,729,
288.556,µm,Surface,Position,1,730,
286.707,µm,Surface,Position,1,731,
337.112,µm,Surface,Position,1,733,
354.967,µm,Surface,Position,1,735,
273.017,µm,Surface,Position,1,736,
318.801,µm,Surface,Position,1,742,
354.806,µm,Surface,Position,1,748,
356.397,µm,Surface,Position,1,750,
317.432,µm,Surface,Position,1,753,
342.473,µm,Surface,Position,1,756,
269.671,µm,Surface,Position,1,760,
343.907,µm,Surface,Position,1,764,
330.818,µm,Surface,Position,1,766,
230.477,µm,Surface,Position,1,771,
224.594,µm,Surface,Position,1,772,
207.644,µm,Surface,Position,1,782,
281.57,µm,Surface,Position,1,783,
319.69,µm,Surface,Position,1,784,
266.931,µm,Surface,Position,1,793,
251.58,µm,Surface,Position,1,794,
315.623,µm,Surface,Position,1,800,
248.103,µm,Surface,Position,1,802,
232.581,µm,Surface,Position,1,805,
222.88,µm,Surface,Position,1,810,
237.18,µm,Surface,Position,1,817,
232.407,µm,Surface,Position,1,821,
198.01,µm,Surface,Position,1,822,
246.959,µm,Surface,Position,1,827,
341.82,µm,Surface,Position,1,831,
220.232,µm,Surface,Position,1,834,
317.771,µm,Surface,Position,1,839,
265.786,µm,Surface,Position,1,850,
243.086,µm,Surface,Position,1,855,
243.563,µm,Surface,Position,1,868,
270.3,µm,Surface,Position,1,874,
197.381,µm,Surface,Position,1,875,
231.784,µm,Surface,Position,1,882,
211.686,µm,Surface,Position,1,883,
195.52,µm,Surface,Position,1,885,
304.862,µm,Surface,Position,1,891,
191.511,µm,Surface,Position,1,892,
196.392,µm,Surface,Position,1,895,
231.664,µm,Surface,Position,1,896,
305.334,µm,Surface,Position,1,897,
289.641,µm,Surface,Position,1,901,
296.282,µm,Surface,Position,1,905,
201.058,µm,Surface,Position,1,911,
345.279,µm,Surface,Position,1,912,
224.798,µm,Surface,Position,1,924,
204.574,µm,Surface,Position,1,925,
342.964,µm,Surface,Position,1,926,
256.918,µm,Surface,Position,1,935,
222.391,µm,Surface,Position,1,936,
283.222,µm,Surface,Position,1,946,
253.634,µm,Surface,Position,1,950,
269.637,µm,Surface,Position,1,955,
303.26,µm,Surface,Position,1,957,
201.281,µm,Surface,Position,1,962,
270.5,µm,Surface,Position,1,966,
336.652,µm,Surface,Position,1,977,
231.307,µm,Surface,Position,1,979,
320.893,µm,Surface,Position,1,986,
181.825,µm,Surface,Position,1,991,
213.617,µm,Surface,Position,1,993,
278.169,µm,Surface,Position,1,1011,
223.971,µm,Surface,Position,1,1013,
243.951,µm,Surface,Position,1,1016,
242.976,µm,Surface,Position,1,1017,
246.691,µm,Surface,Position,1,1023,
245.385,µm,Surface,Position,1,1024,
229.904,µm,Surface,Position,1,1030,
249.948,µm,Surface,Position,1,1033,
186.184,µm,Surface,Position,1,1041,
220.349,µm,Surface,Position,1,1043,
215.309,µm,Surface,Position,1,1046,
198.534,µm,Surface,Position,1,1048,
199.318,µm,Surface,Position,1,1049,
203.52,µm,Surface,Position,1,1051,
185.254,µm,Surface,Position,1,1052,
186.185,µm,Surface,Position,1,1053,
194.928,µm,Surface,Position,1,1055,
187.162,µm,Surface,Position,1,1056,
488.235,µm,Surface,Position,1,1062,
