
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
23.085,1.40115e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.355,1.41821e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.625,1.43465e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.895,1.45068e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.165,1.46642e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.435,1.4815e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.705,1.49609e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.975,1.51034e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
25.245,1.52395e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
25.515,1.53704e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
25.785,1.54974e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
26.055,1.56212e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
26.325,1.57395e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
26.595,1.58534e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
26.865,1.59642e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
27.135,1.60697e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
27.405,1.61705e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
27.675,1.62679e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
27.945,1.63626e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
28.215,1.64526e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
28.485,1.65388e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
28.755,1.66221e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
29.025,1.67031e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
29.295,1.67801e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
29.565,1.68541e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
29.835,1.69258e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
30.105,1.6994e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
30.375,1.70592e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
30.645,1.71221e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
30.915,1.71835e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
31.185,1.7242e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
31.455,1.72984e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
31.725,1.73535e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
31.995,1.74058e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
32.265,1.74553e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
32.535,1.75042e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
32.805,1.75513e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
33.075,1.75955e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
33.345,1.76383e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
33.615,1.76789e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
33.885,1.7719e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
34.155,1.77575e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
34.425,1.77935e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
34.695,1.78287e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
34.965,1.78624e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
35.235,1.7894e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
35.505,1.79248e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
35.775,1.79543e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
36.045,1.7982e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
36.315,1.80088e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
36.585,1.80345e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
36.855,1.80584e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
37.125,1.80816e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
37.395,1.81037e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
37.665,1.81252e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
37.935,1.81459e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
38.205,1.81654e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
38.475,1.81844e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
38.745,1.82026e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
39.015,1.82197e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
39.285,1.82365e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
39.555,1.82525e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
