
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,7.21402,µm^3,Volume Outside,Image 1,1,,
0.4035,11.1414,µm^3,Volume Outside,Image 1,1,,
0.6725,15.6739,µm^3,Volume Outside,Image 1,1,,
0.9415,20.4844,µm^3,Volume Outside,Image 1,1,,
1.2105,25.7103,µm^3,Volume Outside,Image 1,1,,
1.4795,31.5499,µm^3,Volume Outside,Image 1,1,,
1.7485,37.8598,µm^3,Volume Outside,Image 1,1,,
2.0175,44.7456,µm^3,Volume Outside,Image 1,1,,
2.2865,51.9522,µm^3,Volume Outside,Image 1,1,,
2.5555,59.7837,µm^3,Volume Outside,Image 1,1,,
2.8245,67.8834,µm^3,Volume Outside,Image 1,1,,
3.0935,76.4584,µm^3,Volume Outside,Image 1,1,,
3.3625,85.9938,µm^3,Volume Outside,Image 1,1,,
3.6315,96.3107,µm^3,Volume Outside,Image 1,1,,
3.9005,106.216,µm^3,Volume Outside,Image 1,1,,
4.1695,116.571,µm^3,Volume Outside,Image 1,1,,
4.4385,126.704,µm^3,Volume Outside,Image 1,1,,
4.7075,136.204,µm^3,Volume Outside,Image 1,1,,
4.9765,145.454,µm^3,Volume Outside,Image 1,1,,
5.2455,154.428,µm^3,Volume Outside,Image 1,1,,
5.5145,163.62,µm^3,Volume Outside,Image 1,1,,
5.7835,172.618,µm^3,Volume Outside,Image 1,1,,
6.0525,181.454,µm^3,Volume Outside,Image 1,1,,
6.3215,191.148,µm^3,Volume Outside,Image 1,1,,
6.5905,201.048,µm^3,Volume Outside,Image 1,1,,
6.8595,211.484,µm^3,Volume Outside,Image 1,1,,
7.1285,222.508,µm^3,Volume Outside,Image 1,1,,
7.3975,232.915,µm^3,Volume Outside,Image 1,1,,
7.6665,242.862,µm^3,Volume Outside,Image 1,1,,
7.9355,252.934,µm^3,Volume Outside,Image 1,1,,
8.2045,264.942,µm^3,Volume Outside,Image 1,1,,
8.4735,274.416,µm^3,Volume Outside,Image 1,1,,
8.7425,283.661,µm^3,Volume Outside,Image 1,1,,
9.0115,290.146,µm^3,Volume Outside,Image 1,1,,
9.2805,298.078,µm^3,Volume Outside,Image 1,1,,
9.5495,304.034,µm^3,Volume Outside,Image 1,1,,
9.8185,312.043,µm^3,Volume Outside,Image 1,1,,
10.0875,322.082,µm^3,Volume Outside,Image 1,1,,
10.3565,329.934,µm^3,Volume Outside,Image 1,1,,
10.6255,338.573,µm^3,Volume Outside,Image 1,1,,
10.8945,341.649,µm^3,Volume Outside,Image 1,1,,
11.1635,343.489,µm^3,Volume Outside,Image 1,1,,
11.4325,339.09,µm^3,Volume Outside,Image 1,1,,
11.7015,332.814,µm^3,Volume Outside,Image 1,1,,
11.9705,321.44,µm^3,Volume Outside,Image 1,1,,
12.2395,310.604,µm^3,Volume Outside,Image 1,1,,
12.5085,301.171,µm^3,Volume Outside,Image 1,1,,
12.7775,289.113,µm^3,Volume Outside,Image 1,1,,
13.0465,278.52,µm^3,Volume Outside,Image 1,1,,
13.3155,266.537,µm^3,Volume Outside,Image 1,1,,
13.5845,256.162,µm^3,Volume Outside,Image 1,1,,
13.8535,243.973,µm^3,Volume Outside,Image 1,1,,
14.1225,233.435,µm^3,Volume Outside,Image 1,1,,
14.3915,224.072,µm^3,Volume Outside,Image 1,1,,
14.6605,212.817,µm^3,Volume Outside,Image 1,1,,
14.9295,203.002,µm^3,Volume Outside,Image 1,1,,
15.1985,192.565,µm^3,Volume Outside,Image 1,1,,
15.4675,183.518,µm^3,Volume Outside,Image 1,1,,
15.7365,173.85,µm^3,Volume Outside,Image 1,1,,
16.0055,166.514,µm^3,Volume Outside,Image 1,1,,
16.2745,162.101,µm^3,Volume Outside,Image 1,1,,
16.5435,154.874,µm^3,Volume Outside,Image 1,1,,
16.8125,149.497,µm^3,Volume Outside,Image 1,1,,
17.0815,146.454,µm^3,Volume Outside,Image 1,1,,
17.3505,145.095,µm^3,Volume Outside,Image 1,1,,
17.6195,141.342,µm^3,Volume Outside,Image 1,1,,
17.8885,138.137,µm^3,Volume Outside,Image 1,1,,
18.1575,136.233,µm^3,Volume Outside,Image 1,1,,
18.4265,135.698,µm^3,Volume Outside,Image 1,1,,
18.6955,136.077,µm^3,Volume Outside,Image 1,1,,
18.9645,133.353,µm^3,Volume Outside,Image 1,1,,
19.2335,131.417,µm^3,Volume Outside,Image 1,1,,
19.5025,130.81,µm^3,Volume Outside,Image 1,1,,
19.7715,131.354,µm^3,Volume Outside,Image 1,1,,
20.0405,132.441,µm^3,Volume Outside,Image 1,1,,
20.3095,130.428,µm^3,Volume Outside,Image 1,1,,
20.5785,129.312,µm^3,Volume Outside,Image 1,1,,
20.8475,129.866,µm^3,Volume Outside,Image 1,1,,
21.1165,131.5,µm^3,Volume Outside,Image 1,1,,
21.3855,129.714,µm^3,Volume Outside,Image 1,1,,
21.6545,128.329,µm^3,Volume Outside,Image 1,1,,
21.9235,128.006,µm^3,Volume Outside,Image 1,1,,
22.1925,128.576,µm^3,Volume Outside,Image 1,1,,
22.4615,129.513,µm^3,Volume Outside,Image 1,1,,
22.7305,126.912,µm^3,Volume Outside,Image 1,1,,
22.9995,122.765,µm^3,Volume Outside,Image 1,1,,
23.2685,115.412,µm^3,Volume Outside,Image 1,1,,
23.5375,104.692,µm^3,Volume Outside,Image 1,1,,
23.8065,90.7308,µm^3,Volume Outside,Image 1,1,,
24.0755,78.226,µm^3,Volume Outside,Image 1,1,,
24.3445,67.4081,µm^3,Volume Outside,Image 1,1,,
24.6135,57.869,µm^3,Volume Outside,Image 1,1,,
