
Intensity Median Ch=27 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
406,,Surface,27,Image 1,1,342,
460,,Surface,27,Image 1,1,343,
340,,Surface,27,Image 1,1,344,
604,,Surface,27,Image 1,1,347,
280,,Surface,27,Image 1,1,348,
338,,Surface,27,Image 1,1,349,
856,,Surface,27,Image 1,1,351,
580,,Surface,27,Image 1,1,355,
526,,Surface,27,Image 1,1,356,
206,,Surface,27,Image 1,1,361,
460,,Surface,27,Image 1,1,362,
412,,Surface,27,Image 1,1,363,
548,,Surface,27,Image 1,1,364,
244,,Surface,27,Image 1,1,365,
648,,Surface,27,Image 1,1,369,
616,,Surface,27,Image 1,1,371,
52.5,,Surface,27,Image 1,1,372,
436,,Surface,27,Image 1,1,373,
364,,Surface,27,Image 1,1,374,
222,,Surface,27,Image 1,1,376,
532,,Surface,27,Image 1,1,378,
548,,Surface,27,Image 1,1,379,
252,,Surface,27,Image 1,1,381,
600,,Surface,27,Image 1,1,383,
392,,Surface,27,Image 1,1,385,
0.25,,Surface,27,Image 1,1,386,
548,,Surface,27,Image 1,1,388,
776,,Surface,27,Image 1,1,389,
388,,Surface,27,Image 1,1,390,
314,,Surface,27,Image 1,1,393,
492,,Surface,27,Image 1,1,396,
324,,Surface,27,Image 1,1,397,
492,,Surface,27,Image 1,1,398,
472,,Surface,27,Image 1,1,399,
370,,Surface,27,Image 1,1,400,
0.25,,Surface,27,Image 1,1,401,
372,,Surface,27,Image 1,1,402,
298,,Surface,27,Image 1,1,405,
236,,Surface,27,Image 1,1,406,
420,,Surface,27,Image 1,1,413,
436,,Surface,27,Image 1,1,420,
420,,Surface,27,Image 1,1,421,
424,,Surface,27,Image 1,1,426,
700,,Surface,27,Image 1,1,427,
680,,Surface,27,Image 1,1,428,
458,,Surface,27,Image 1,1,437,
444,,Surface,27,Image 1,1,442,
444,,Surface,27,Image 1,1,443,
492,,Surface,27,Image 1,1,445,
13,,Surface,27,Image 1,1,447,
460,,Surface,27,Image 1,1,448,
388,,Surface,27,Image 1,1,449,
324,,Surface,27,Image 1,1,453,
444,,Surface,27,Image 1,1,457,
