
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
5448,,Surface,1,Image 1,1,2,
4520,,Surface,1,Image 1,1,3,
4920,,Surface,1,Image 1,1,4,
3752,,Surface,1,Image 1,1,5,
5240,,Surface,1,Image 1,1,6,
4396,,Surface,1,Image 1,1,7,
2924,,Surface,1,Image 1,1,8,
3832,,Surface,1,Image 1,1,10,
4072,,Surface,1,Image 1,1,11,
5224,,Surface,1,Image 1,1,12,
6712,,Surface,1,Image 1,1,13,
5576,,Surface,1,Image 1,1,18,
3900,,Surface,1,Image 1,1,19,
4228,,Surface,1,Image 1,1,21,
4300,,Surface,1,Image 1,1,22,
3660,,Surface,1,Image 1,1,24,
3324,,Surface,1,Image 1,1,25,
4664,,Surface,1,Image 1,1,26,
4028,,Surface,1,Image 1,1,28,
4328,,Surface,1,Image 1,1,29,
4984,,Surface,1,Image 1,1,35,
6408,,Surface,1,Image 1,1,37,
4664,,Surface,1,Image 1,1,38,
4504,,Surface,1,Image 1,1,40,
5352,,Surface,1,Image 1,1,45,
4792,,Surface,1,Image 1,1,46,
5464,,Surface,1,Image 1,1,49,
4356,,Surface,1,Image 1,1,52,
6008,,Surface,1,Image 1,1,54,
4360,,Surface,1,Image 1,1,58,
4840,,Surface,1,Image 1,1,60,
4712,,Surface,1,Image 1,1,61,
4100,,Surface,1,Image 1,1,63,
5592,,Surface,1,Image 1,1,64,
7192,,Surface,1,Image 1,1,65,
4456,,Surface,1,Image 1,1,67,
6152,,Surface,1,Image 1,1,71,
4212,,Surface,1,Image 1,1,72,
4664,,Surface,1,Image 1,1,73,
3636,,Surface,1,Image 1,1,74,
4936,,Surface,1,Image 1,1,76,
4424,,Surface,1,Image 1,1,77,
5192,,Surface,1,Image 1,1,79,
3796,,Surface,1,Image 1,1,81,
5480,,Surface,1,Image 1,1,82,
4536,,Surface,1,Image 1,1,88,
3308,,Surface,1,Image 1,1,89,
4472,,Surface,1,Image 1,1,91,
3244,,Surface,1,Image 1,1,93,
4104,,Surface,1,Image 1,1,97,
5880,,Surface,1,Image 1,1,100,
5208,,Surface,1,Image 1,1,101,
3972,,Surface,1,Image 1,1,102,
5640,,Surface,1,Image 1,1,103,
5160,,Surface,1,Image 1,1,106,
4408,,Surface,1,Image 1,1,107,
4088,,Surface,1,Image 1,1,110,
5288,,Surface,1,Image 1,1,111,
3532,,Surface,1,Image 1,1,112,
4472,,Surface,1,Image 1,1,113,
3660,,Surface,1,Image 1,1,118,
3688,,Surface,1,Image 1,1,119,
3476,,Surface,1,Image 1,1,120,
5032,,Surface,1,Image 1,1,122,
5688,,Surface,1,Image 1,1,123,
5496,,Surface,1,Image 1,1,124,
5288,,Surface,1,Image 1,1,128,
4696,,Surface,1,Image 1,1,134,
4488,,Surface,1,Image 1,1,136,
3476,,Surface,1,Image 1,1,137,
5208,,Surface,1,Image 1,1,138,
5592,,Surface,1,Image 1,1,139,
5240,,Surface,1,Image 1,1,140,
3796,,Surface,1,Image 1,1,141,
4292,,Surface,1,Image 1,1,143,
4280,,Surface,1,Image 1,1,146,
4024,,Surface,1,Image 1,1,150,
3820,,Surface,1,Image 1,1,154,
5112,,Surface,1,Image 1,1,155,
3892,,Surface,1,Image 1,1,156,
5544,,Surface,1,Image 1,1,159,
