
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
528.153,µm,Surface,Position,1,343,
557.221,µm,Surface,Position,1,344,
499.398,µm,Surface,Position,1,347,
655.647,µm,Surface,Position,1,348,
611.882,µm,Surface,Position,1,349,
505.906,µm,Surface,Position,1,351,
642.638,µm,Surface,Position,1,355,
683.667,µm,Surface,Position,1,356,
599.085,µm,Surface,Position,1,361,
486.321,µm,Surface,Position,1,362,
711.325,µm,Surface,Position,1,363,
499.012,µm,Surface,Position,1,364,
685.621,µm,Surface,Position,1,365,
701.963,µm,Surface,Position,1,369,
559.149,µm,Surface,Position,1,371,
590.911,µm,Surface,Position,1,372,
569.733,µm,Surface,Position,1,373,
638.715,µm,Surface,Position,1,374,
650.451,µm,Surface,Position,1,376,
546.153,µm,Surface,Position,1,378,
495.487,µm,Surface,Position,1,379,
702.458,µm,Surface,Position,1,381,
539.555,µm,Surface,Position,1,383,
584.275,µm,Surface,Position,1,385,
611.23,µm,Surface,Position,1,386,
639.337,µm,Surface,Position,1,388,
505.074,µm,Surface,Position,1,389,
647.652,µm,Surface,Position,1,390,
636.674,µm,Surface,Position,1,393,
670.591,µm,Surface,Position,1,396,
533.46,µm,Surface,Position,1,397,
527.807,µm,Surface,Position,1,398,
536.535,µm,Surface,Position,1,399,
648.445,µm,Surface,Position,1,400,
570.395,µm,Surface,Position,1,401,
534.156,µm,Surface,Position,1,402,
640.251,µm,Surface,Position,1,405,
668.306,µm,Surface,Position,1,406,
581.33,µm,Surface,Position,1,413,
550.961,µm,Surface,Position,1,420,
607.129,µm,Surface,Position,1,421,
662.209,µm,Surface,Position,1,426,
600.266,µm,Surface,Position,1,427,
623.816,µm,Surface,Position,1,428,
635.335,µm,Surface,Position,1,437,
651.406,µm,Surface,Position,1,442,
546.587,µm,Surface,Position,1,443,
657.285,µm,Surface,Position,1,445,
646.611,µm,Surface,Position,1,447,
665.044,µm,Surface,Position,1,448,
682.422,µm,Surface,Position,1,449,
530.069,µm,Surface,Position,1,453,
607.783,µm,Surface,Position,1,457,
559.554,µm,Surface,Position,1,458,
551.884,µm,Surface,Position,1,459,
705.151,µm,Surface,Position,1,462,
557.822,µm,Surface,Position,1,465,
616.41,µm,Surface,Position,1,469,
711.859,µm,Surface,Position,1,473,
599.483,µm,Surface,Position,1,476,
599.218,µm,Surface,Position,1,478,
699.426,µm,Surface,Position,1,480,
481.485,µm,Surface,Position,1,487,
578.167,µm,Surface,Position,1,488,
700.038,µm,Surface,Position,1,489,
509.722,µm,Surface,Position,1,492,
566.6,µm,Surface,Position,1,494,
593.727,µm,Surface,Position,1,495,
678.435,µm,Surface,Position,1,497,
687.846,µm,Surface,Position,1,498,
496.921,µm,Surface,Position,1,503,
699.056,µm,Surface,Position,1,504,
657.816,µm,Surface,Position,1,506,
488.082,µm,Surface,Position,1,509,
511.562,µm,Surface,Position,1,510,
480.126,µm,Surface,Position,1,511,
572.994,µm,Surface,Position,1,512,
571.325,µm,Surface,Position,1,514,
471.011,µm,Surface,Position,1,515,
564.646,µm,Surface,Position,1,516,
688.092,µm,Surface,Position,1,520,
710.142,µm,Surface,Position,1,521,
608.484,µm,Surface,Position,1,523,
556.837,µm,Surface,Position,1,524,
560.097,µm,Surface,Position,1,525,
633.302,µm,Surface,Position,1,526,
546.572,µm,Surface,Position,1,527,
672.112,µm,Surface,Position,1,528,
692.574,µm,Surface,Position,1,533,
653.058,µm,Surface,Position,1,534,
655.479,µm,Surface,Position,1,535,
636.211,µm,Surface,Position,1,536,
567.987,µm,Surface,Position,1,538,
563.711,µm,Surface,Position,1,539,
497.79,µm,Surface,Position,1,540,
494.431,µm,Surface,Position,1,541,
465.702,µm,Surface,Position,1,542,
695.943,µm,Surface,Position,1,545,
523.714,µm,Surface,Position,1,546,
492.966,µm,Surface,Position,1,548,
707.949,µm,Surface,Position,1,551,
641.814,µm,Surface,Position,1,552,
484.95,µm,Surface,Position,1,554,
529.552,µm,Surface,Position,1,556,
617.099,µm,Surface,Position,1,561,
507.229,µm,Surface,Position,1,562,
557.224,µm,Surface,Position,1,563,
542.129,µm,Surface,Position,1,565,
666.649,µm,Surface,Position,1,567,
505.049,µm,Surface,Position,1,568,
600.138,µm,Surface,Position,1,570,
695.577,µm,Surface,Position,1,572,
606.59,µm,Surface,Position,1,573,
684.346,µm,Surface,Position,1,574,
549.312,µm,Surface,Position,1,576,
679.891,µm,Surface,Position,1,580,
700.562,µm,Surface,Position,1,581,
637.378,µm,Surface,Position,1,582,
606.122,µm,Surface,Position,1,583,
677.357,µm,Surface,Position,1,584,
673.938,µm,Surface,Position,1,588,
524,µm,Surface,Position,1,590,
513.251,µm,Surface,Position,1,592,
538.889,µm,Surface,Position,1,594,
600.702,µm,Surface,Position,1,596,
542.237,µm,Surface,Position,1,601,
623.043,µm,Surface,Position,1,602,
546.815,µm,Surface,Position,1,603,
658.736,µm,Surface,Position,1,604,
696.434,µm,Surface,Position,1,607,
589.791,µm,Surface,Position,1,608,
532.499,µm,Surface,Position,1,609,
708.701,µm,Surface,Position,1,610,
576.46,µm,Surface,Position,1,611,
541.383,µm,Surface,Position,1,612,
576.522,µm,Surface,Position,1,613,
495.102,µm,Surface,Position,1,614,
484.673,µm,Surface,Position,1,616,
665.588,µm,Surface,Position,1,617,
660.448,µm,Surface,Position,1,619,
653.921,µm,Surface,Position,1,625,
552.226,µm,Surface,Position,1,627,
480.253,µm,Surface,Position,1,628,
463.026,µm,Surface,Position,1,629,
