
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.365432,,Surface,1,437,
0.371013,,Surface,1,442,
0.301195,,Surface,1,443,
0.585644,,Surface,1,445,
0.302386,,Surface,1,447,
0.187653,,Surface,1,448,
0.522798,,Surface,1,449,
0.380192,,Surface,1,453,
0.262701,,Surface,1,457,
0.304812,,Surface,1,458,
0.325755,,Surface,1,459,
0.252917,,Surface,1,462,
0.354757,,Surface,1,465,
0.324677,,Surface,1,469,
0.385862,,Surface,1,473,
0.404009,,Surface,1,476,
0.349748,,Surface,1,478,
0.249081,,Surface,1,480,
0.246325,,Surface,1,487,
0.423539,,Surface,1,488,
0.466448,,Surface,1,489,
0.253318,,Surface,1,492,
0.403898,,Surface,1,494,
0.313881,,Surface,1,495,
0.43259,,Surface,1,497,
0.427675,,Surface,1,498,
0.321182,,Surface,1,503,
0.36189,,Surface,1,504,
0.350673,,Surface,1,506,
0.253325,,Surface,1,509,
0.408708,,Surface,1,510,
0.224075,,Surface,1,511,
0.353254,,Surface,1,512,
0.328567,,Surface,1,514,
0.42448,,Surface,1,515,
0.292481,,Surface,1,516,
0.453398,,Surface,1,520,
0.424428,,Surface,1,521,
0.423223,,Surface,1,523,
0.323674,,Surface,1,524,
0.169628,,Surface,1,525,
0.393365,,Surface,1,526,
0.27786,,Surface,1,527,
0.309135,,Surface,1,528,
0.282276,,Surface,1,533,
0.453971,,Surface,1,534,
0.527959,,Surface,1,535,
0.294151,,Surface,1,536,
0.432264,,Surface,1,538,
0.319479,,Surface,1,539,
0.521034,,Surface,1,540,
0.522982,,Surface,1,541,
0.330425,,Surface,1,542,
0.266715,,Surface,1,545,
0.419024,,Surface,1,546,
0.445411,,Surface,1,548,
0.421984,,Surface,1,551,
0.331186,,Surface,1,552,
0.334851,,Surface,1,554,
0.411876,,Surface,1,556,
0.334055,,Surface,1,561,
0.410938,,Surface,1,562,
0.255897,,Surface,1,563,
0.292392,,Surface,1,565,
0.416825,,Surface,1,567,
0.412219,,Surface,1,568,
0.309809,,Surface,1,570,
0.415473,,Surface,1,572,
0.328208,,Surface,1,573,
0.367791,,Surface,1,574,
0.491148,,Surface,1,576,
0.410563,,Surface,1,580,
0.401433,,Surface,1,581,
0.452461,,Surface,1,582,
0.365616,,Surface,1,583,
0.423311,,Surface,1,584,
0.549646,,Surface,1,588,
0.283331,,Surface,1,590,
0.252067,,Surface,1,592,
0.307153,,Surface,1,594,
0.336418,,Surface,1,596,
0.284387,,Surface,1,601,
0.346241,,Surface,1,602,
0.108857,,Surface,1,603,
0.315133,,Surface,1,604,
