
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
38.2346,µm,Surface,Image 1,1,295,
81.345,µm,Surface,Image 1,1,297,
29.3577,µm,Surface,Image 1,1,300,
50.6904,µm,Surface,Image 1,1,302,
55.2222,µm,Surface,Image 1,1,303,
72.2369,µm,Surface,Image 1,1,309,
40.9081,µm,Surface,Image 1,1,310,
60.2029,µm,Surface,Image 1,1,316,
66.007,µm,Surface,Image 1,1,317,
59.9574,µm,Surface,Image 1,1,324,
19.9783,µm,Surface,Image 1,1,325,
6.53412,µm,Surface,Image 1,1,330,
41.5066,µm,Surface,Image 1,1,331,
24.7888,µm,Surface,Image 1,1,334,
10.0562,µm,Surface,Image 1,1,335,
69.7095,µm,Surface,Image 1,1,336,
23.3839,µm,Surface,Image 1,1,337,
85.0515,µm,Surface,Image 1,1,338,
42.547,µm,Surface,Image 1,1,339,
5.52051,µm,Surface,Image 1,1,340,
36.9524,µm,Surface,Image 1,1,341,
95.3135,µm,Surface,Image 1,1,342,
50.3771,µm,Surface,Image 1,1,343,
69.2132,µm,Surface,Image 1,1,344,
27.9944,µm,Surface,Image 1,1,347,
58.0021,µm,Surface,Image 1,1,348,
103.307,µm,Surface,Image 1,1,349,
20.8242,µm,Surface,Image 1,1,351,
72.411,µm,Surface,Image 1,1,355,
32.5021,µm,Surface,Image 1,1,356,
116.244,µm,Surface,Image 1,1,361,
12.3929,µm,Surface,Image 1,1,362,
5.54504,µm,Surface,Image 1,1,363,
2.79388,µm,Surface,Image 1,1,364,
30.8286,µm,Surface,Image 1,1,365,
13.7869,µm,Surface,Image 1,1,369,
62.3063,µm,Surface,Image 1,1,371,
111.058,µm,Surface,Image 1,1,372,
83.7552,µm,Surface,Image 1,1,373,
77.3144,µm,Surface,Image 1,1,374,
66.1388,µm,Surface,Image 1,1,376,
46.5656,µm,Surface,Image 1,1,378,
5.17059,µm,Surface,Image 1,1,379,
14.4121,µm,Surface,Image 1,1,381,
41.6621,µm,Surface,Image 1,1,383,
85.0173,µm,Surface,Image 1,1,385,
104.519,µm,Surface,Image 1,1,386,
76.8328,µm,Surface,Image 1,1,388,
11.4066,µm,Surface,Image 1,1,389,
65.4373,µm,Surface,Image 1,1,390,
