
Intensity Sum of Square Ch=33 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.45049e+12,,Surface,33,Image 1,1,250,
3.25716e+12,,Surface,33,Image 1,1,251,
3.31015e+12,,Surface,33,Image 1,1,253,
7.09171e+12,,Surface,33,Image 1,1,262,
1.75875e+12,,Surface,33,Image 1,1,263,
3.24316e+12,,Surface,33,Image 1,1,265,
3.89191e+12,,Surface,33,Image 1,1,266,
3.06649e+12,,Surface,33,Image 1,1,268,
2.9158e+11,,Surface,33,Image 1,1,269,
2.16944e+12,,Surface,33,Image 1,1,272,
2.75111e+12,,Surface,33,Image 1,1,274,
5.30691e+12,,Surface,33,Image 1,1,277,
5.36833e+12,,Surface,33,Image 1,1,279,
1.90024e+12,,Surface,33,Image 1,1,281,
2.26848e+12,,Surface,33,Image 1,1,282,
8.4672e+11,,Surface,33,Image 1,1,284,
2.42193e+12,,Surface,33,Image 1,1,285,
1.07811e+12,,Surface,33,Image 1,1,291,
4.88641e+12,,Surface,33,Image 1,1,293,
2.15205e+12,,Surface,33,Image 1,1,295,
3.56331e+11,,Surface,33,Image 1,1,297,
1.46857e+12,,Surface,33,Image 1,1,300,
1.45847e+12,,Surface,33,Image 1,1,302,
3.27821e+12,,Surface,33,Image 1,1,303,
6.48735e+12,,Surface,33,Image 1,1,309,
1.54989e+12,,Surface,33,Image 1,1,310,
2.05104e+12,,Surface,33,Image 1,1,316,
5.28868e+12,,Surface,33,Image 1,1,317,
1.93758e+12,,Surface,33,Image 1,1,324,
6.01491e+12,,Surface,33,Image 1,1,325,
3.0805e+12,,Surface,33,Image 1,1,330,
2.89191e+12,,Surface,33,Image 1,1,331,
3.06737e+12,,Surface,33,Image 1,1,334,
3.02056e+12,,Surface,33,Image 1,1,335,
4.48693e+12,,Surface,33,Image 1,1,336,
3.81102e+12,,Surface,33,Image 1,1,337,
1.91352e+13,,Surface,33,Image 1,1,338,
1.35407e+12,,Surface,33,Image 1,1,339,
1.33938e+12,,Surface,33,Image 1,1,340,
7.763e+11,,Surface,33,Image 1,1,341,
1.31764e+12,,Surface,33,Image 1,1,342,
3.7624e+12,,Surface,33,Image 1,1,343,
3.77257e+12,,Surface,33,Image 1,1,344,
6.19973e+11,,Surface,33,Image 1,1,347,
5.0634e+12,,Surface,33,Image 1,1,348,
