
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
663.552,µm,Surface,Position,1,343,
644.855,µm,Surface,Position,1,344,
685.654,µm,Surface,Position,1,347,
548.481,µm,Surface,Position,1,348,
577.072,µm,Surface,Position,1,349,
693.385,µm,Surface,Position,1,351,
557.351,µm,Surface,Position,1,355,
506.94,µm,Surface,Position,1,356,
595.6,µm,Surface,Position,1,361,
702.516,µm,Surface,Position,1,362,
488.146,µm,Surface,Position,1,363,
710.995,µm,Surface,Position,1,364,
515.432,µm,Surface,Position,1,365,
499.705,µm,Surface,Position,1,369,
651.622,µm,Surface,Position,1,371,
603.01,µm,Surface,Position,1,372,
629.333,µm,Surface,Position,1,373,
564.969,µm,Surface,Position,1,374,
543.449,µm,Surface,Position,1,376,
665.683,µm,Surface,Position,1,378,
708.478,µm,Surface,Position,1,379,
505.761,µm,Surface,Position,1,381,
670.866,µm,Surface,Position,1,383,
627.931,µm,Surface,Position,1,385,
593.197,µm,Surface,Position,1,386,
574.791,µm,Surface,Position,1,388,
702.522,µm,Surface,Position,1,389,
568.668,µm,Surface,Position,1,390,
558.97,µm,Surface,Position,1,393,
545.124,µm,Surface,Position,1,396,
680.184,µm,Surface,Position,1,397,
678.794,µm,Surface,Position,1,398,
676.586,µm,Surface,Position,1,399,
553.417,µm,Surface,Position,1,400,
643.995,µm,Surface,Position,1,401,
671.157,µm,Surface,Position,1,402,
559.782,µm,Surface,Position,1,405,
551.391,µm,Surface,Position,1,406,
636.145,µm,Surface,Position,1,413,
670.597,µm,Surface,Position,1,420,
606.465,µm,Surface,Position,1,421,
564.921,µm,Surface,Position,1,426,
618.733,µm,Surface,Position,1,427,
595.65,µm,Surface,Position,1,428,
576.013,µm,Surface,Position,1,437,
570.131,µm,Surface,Position,1,442,
679.973,µm,Surface,Position,1,443,
565.182,µm,Surface,Position,1,445,
581.904,µm,Surface,Position,1,447,
561.403,µm,Surface,Position,1,448,
551.07,µm,Surface,Position,1,449,
697.228,µm,Surface,Position,1,453,
613.431,µm,Surface,Position,1,457,
672.955,µm,Surface,Position,1,458,
670.935,µm,Surface,Position,1,459,
520.17,µm,Surface,Position,1,462,
664.825,µm,Surface,Position,1,465,
619.206,µm,Surface,Position,1,469,
528.107,µm,Surface,Position,1,473,
561.559,µm,Surface,Position,1,476,
566.627,µm,Surface,Position,1,478,
462.087,µm,Surface,Position,1,480,
686.49,µm,Surface,Position,1,487,
594.639,µm,Surface,Position,1,488,
471.216,µm,Surface,Position,1,489,
664.195,µm,Surface,Position,1,492,
603.074,µm,Surface,Position,1,494,
570.211,µm,Surface,Position,1,495,
487.299,µm,Surface,Position,1,497,
470.839,µm,Surface,Position,1,498,
665.733,µm,Surface,Position,1,503,
458.872,µm,Surface,Position,1,504,
518.379,µm,Surface,Position,1,506,
674.104,µm,Surface,Position,1,509,
659.741,µm,Surface,Position,1,510,
697.726,µm,Surface,Position,1,511,
600.191,µm,Surface,Position,1,512,
