
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
101,,Surface,2,Image 1,1,342,
107,,Surface,2,Image 1,1,343,
105,,Surface,2,Image 1,1,344,
102,,Surface,2,Image 1,1,347,
105,,Surface,2,Image 1,1,348,
113,,Surface,2,Image 1,1,349,
93,,Surface,2,Image 1,1,351,
103,,Surface,2,Image 1,1,355,
112,,Surface,2,Image 1,1,356,
96,,Surface,2,Image 1,1,361,
100,,Surface,2,Image 1,1,362,
110,,Surface,2,Image 1,1,363,
76,,Surface,2,Image 1,1,364,
98,,Surface,2,Image 1,1,365,
109,,Surface,2,Image 1,1,369,
105,,Surface,2,Image 1,1,371,
108,,Surface,2,Image 1,1,372,
41,,Surface,2,Image 1,1,373,
107,,Surface,2,Image 1,1,374,
108,,Surface,2,Image 1,1,376,
103,,Surface,2,Image 1,1,378,
96,,Surface,2,Image 1,1,379,
22,,Surface,2,Image 1,1,381,
64,,Surface,2,Image 1,1,383,
104,,Surface,2,Image 1,1,385,
107,,Surface,2,Image 1,1,386,
61,,Surface,2,Image 1,1,388,
32,,Surface,2,Image 1,1,389,
99,,Surface,2,Image 1,1,390,
111,,Surface,2,Image 1,1,393,
107,,Surface,2,Image 1,1,396,
115,,Surface,2,Image 1,1,397,
63,,Surface,2,Image 1,1,398,
119,,Surface,2,Image 1,1,399,
107,,Surface,2,Image 1,1,400,
110,,Surface,2,Image 1,1,401,
109,,Surface,2,Image 1,1,402,
101,,Surface,2,Image 1,1,405,
106,,Surface,2,Image 1,1,406,
105,,Surface,2,Image 1,1,413,
101,,Surface,2,Image 1,1,420,
99,,Surface,2,Image 1,1,421,
102,,Surface,2,Image 1,1,426,
95,,Surface,2,Image 1,1,427,
0,,Surface,2,Image 1,1,428,
98,,Surface,2,Image 1,1,437,
107,,Surface,2,Image 1,1,442,
99,,Surface,2,Image 1,1,443,
99,,Surface,2,Image 1,1,445,
109,,Surface,2,Image 1,1,447,
105,,Surface,2,Image 1,1,448,
106,,Surface,2,Image 1,1,449,
106,,Surface,2,Image 1,1,453,
105,,Surface,2,Image 1,1,457,
0,,Surface,2,Image 1,1,458,
0,,Surface,2,Image 1,1,459,
67,,Surface,2,Image 1,1,462,
108,,Surface,2,Image 1,1,465,
106,,Surface,2,Image 1,1,469,
109,,Surface,2,Image 1,1,473,
90,,Surface,2,Image 1,1,476,
101,,Surface,2,Image 1,1,478,
109,,Surface,2,Image 1,1,480,
8,,Surface,2,Image 1,1,487,
54,,Surface,2,Image 1,1,488,
41,,Surface,2,Image 1,1,489,
62,,Surface,2,Image 1,1,492,
100,,Surface,2,Image 1,1,494,
109,,Surface,2,Image 1,1,495,
105,,Surface,2,Image 1,1,497,
105,,Surface,2,Image 1,1,498,
103,,Surface,2,Image 1,1,503,
110,,Surface,2,Image 1,1,504,
109,,Surface,2,Image 1,1,506,
106,,Surface,2,Image 1,1,509,
37,,Surface,2,Image 1,1,510,
91,,Surface,2,Image 1,1,511,
24,,Surface,2,Image 1,1,512,
108,,Surface,2,Image 1,1,514,
108,,Surface,2,Image 1,1,515,
102,,Surface,2,Image 1,1,516,
42,,Surface,2,Image 1,1,520,
107,,Surface,2,Image 1,1,521,
96,,Surface,2,Image 1,1,523,
102,,Surface,2,Image 1,1,524,
103,,Surface,2,Image 1,1,525,
105,,Surface,2,Image 1,1,526,
98,,Surface,2,Image 1,1,527,
101,,Surface,2,Image 1,1,528,
108,,Surface,2,Image 1,1,533,
105,,Surface,2,Image 1,1,534,
108,,Surface,2,Image 1,1,535,
115,,Surface,2,Image 1,1,536,
57,,Surface,2,Image 1,1,538,
107,,Surface,2,Image 1,1,539,
103,,Surface,2,Image 1,1,540,
102,,Surface,2,Image 1,1,541,
102,,Surface,2,Image 1,1,542,
103,,Surface,2,Image 1,1,545,
106,,Surface,2,Image 1,1,546,
99,,Surface,2,Image 1,1,548,
81,,Surface,2,Image 1,1,551,
0,,Surface,2,Image 1,1,552,
17,,Surface,2,Image 1,1,554,
71,,Surface,2,Image 1,1,556,
101,,Surface,2,Image 1,1,561,
107,,Surface,2,Image 1,1,562,
107,,Surface,2,Image 1,1,563,
52,,Surface,2,Image 1,1,565,
103,,Surface,2,Image 1,1,567,
98,,Surface,2,Image 1,1,568,
105,,Surface,2,Image 1,1,570,
33,,Surface,2,Image 1,1,572,
102,,Surface,2,Image 1,1,573,
108,,Surface,2,Image 1,1,574,
112,,Surface,2,Image 1,1,576,
107,,Surface,2,Image 1,1,580,
106,,Surface,2,Image 1,1,581,
105,,Surface,2,Image 1,1,582,
89,,Surface,2,Image 1,1,583,
30,,Surface,2,Image 1,1,584,
98,,Surface,2,Image 1,1,588,
0,,Surface,2,Image 1,1,590,
0,,Surface,2,Image 1,1,592,
109,,Surface,2,Image 1,1,594,
96,,Surface,2,Image 1,1,596,
85,,Surface,2,Image 1,1,601,
100,,Surface,2,Image 1,1,602,
81,,Surface,2,Image 1,1,603,
111,,Surface,2,Image 1,1,604,
108,,Surface,2,Image 1,1,607,
106,,Surface,2,Image 1,1,608,
112,,Surface,2,Image 1,1,609,
102,,Surface,2,Image 1,1,610,
107,,Surface,2,Image 1,1,611,
41,,Surface,2,Image 1,1,612,
110,,Surface,2,Image 1,1,613,
84,,Surface,2,Image 1,1,614,
105,,Surface,2,Image 1,1,616,
118,,Surface,2,Image 1,1,617,
111,,Surface,2,Image 1,1,619,
108,,Surface,2,Image 1,1,625,
95,,Surface,2,Image 1,1,627,
100,,Surface,2,Image 1,1,628,
96,,Surface,2,Image 1,1,629,
111,,Surface,2,Image 1,1,630,
40,,Surface,2,Image 1,1,631,
11,,Surface,2,Image 1,1,632,
106,,Surface,2,Image 1,1,634,
98,,Surface,2,Image 1,1,636,
114,,Surface,2,Image 1,1,638,
83,,Surface,2,Image 1,1,640,
111,,Surface,2,Image 1,1,641,
121,,Surface,2,Image 1,1,643,
47,,Surface,2,Image 1,1,644,
102,,Surface,2,Image 1,1,646,
105,,Surface,2,Image 1,1,647,
105,,Surface,2,Image 1,1,651,
86,,Surface,2,Image 1,1,652,
196,,Surface,2,Image 1,1,653,
65,,Surface,2,Image 1,1,654,
104,,Surface,2,Image 1,1,658,
100,,Surface,2,Image 1,1,660,
106,,Surface,2,Image 1,1,662,
108,,Surface,2,Image 1,1,663,
72,,Surface,2,Image 1,1,664,
64,,Surface,2,Image 1,1,666,
108,,Surface,2,Image 1,1,669,
108,,Surface,2,Image 1,1,672,
111,,Surface,2,Image 1,1,673,
114,,Surface,2,Image 1,1,674,
96,,Surface,2,Image 1,1,675,
106,,Surface,2,Image 1,1,676,
103,,Surface,2,Image 1,1,678,
110,,Surface,2,Image 1,1,679,
107,,Surface,2,Image 1,1,680,
108,,Surface,2,Image 1,1,682,
100,,Surface,2,Image 1,1,684,
0,,Surface,2,Image 1,1,685,
96,,Surface,2,Image 1,1,686,
107,,Surface,2,Image 1,1,687,
110,,Surface,2,Image 1,1,688,
104,,Surface,2,Image 1,1,690,
112,,Surface,2,Image 1,1,691,
0,,Surface,2,Image 1,1,693,
0,,Surface,2,Image 1,1,694,
0,,Surface,2,Image 1,1,697,
115,,Surface,2,Image 1,1,699,
0,,Surface,2,Image 1,1,700,
111,,Surface,2,Image 1,1,701,
97,,Surface,2,Image 1,1,702,
104,,Surface,2,Image 1,1,703,
116,,Surface,2,Image 1,1,706,
111,,Surface,2,Image 1,1,709,
106,,Surface,2,Image 1,1,710,
105,,Surface,2,Image 1,1,711,
105,,Surface,2,Image 1,1,712,
103,,Surface,2,Image 1,1,713,
101,,Surface,2,Image 1,1,717,
121,,Surface,2,Image 1,1,719,
109,,Surface,2,Image 1,1,720,
62,,Surface,2,Image 1,1,721,
109,,Surface,2,Image 1,1,723,
57,,Surface,2,Image 1,1,725,
107,,Surface,2,Image 1,1,728,
98,,Surface,2,Image 1,1,730,
99,,Surface,2,Image 1,1,731,
103,,Surface,2,Image 1,1,736,
110,,Surface,2,Image 1,1,737,
109,,Surface,2,Image 1,1,739,
81,,Surface,2,Image 1,1,741,
49,,Surface,2,Image 1,1,744,
98,,Surface,2,Image 1,1,747,
51,,Surface,2,Image 1,1,751,
0,,Surface,2,Image 1,1,752,
111,,Surface,2,Image 1,1,753,
114,,Surface,2,Image 1,1,754,
75,,Surface,2,Image 1,1,755,
108,,Surface,2,Image 1,1,757,
99,,Surface,2,Image 1,1,758,
78,,Surface,2,Image 1,1,759,
118,,Surface,2,Image 1,1,761,
109,,Surface,2,Image 1,1,766,
111,,Surface,2,Image 1,1,772,
118,,Surface,2,Image 1,1,773,
93,,Surface,2,Image 1,1,774,
107,,Surface,2,Image 1,1,775,
102,,Surface,2,Image 1,1,776,
101,,Surface,2,Image 1,1,780,
100,,Surface,2,Image 1,1,786,
106,,Surface,2,Image 1,1,787,
98,,Surface,2,Image 1,1,788,
103,,Surface,2,Image 1,1,791,
103,,Surface,2,Image 1,1,794,
105,,Surface,2,Image 1,1,797,
106,,Surface,2,Image 1,1,798,
98,,Surface,2,Image 1,1,799,
103,,Surface,2,Image 1,1,800,
110,,Surface,2,Image 1,1,801,
87,,Surface,2,Image 1,1,802,
100,,Surface,2,Image 1,1,803,
106,,Surface,2,Image 1,1,804,
110,,Surface,2,Image 1,1,805,
108,,Surface,2,Image 1,1,810,
57,,Surface,2,Image 1,1,811,
105,,Surface,2,Image 1,1,812,
107,,Surface,2,Image 1,1,813,
106,,Surface,2,Image 1,1,814,
108,,Surface,2,Image 1,1,816,
51,,Surface,2,Image 1,1,818,
103,,Surface,2,Image 1,1,819,
68,,Surface,2,Image 1,1,822,
106,,Surface,2,Image 1,1,823,
101,,Surface,2,Image 1,1,824,
97,,Surface,2,Image 1,1,825,
111,,Surface,2,Image 1,1,826,
103,,Surface,2,Image 1,1,827,
107,,Surface,2,Image 1,1,828,
94,,Surface,2,Image 1,1,831,
105,,Surface,2,Image 1,1,834,
101,,Surface,2,Image 1,1,835,
0,,Surface,2,Image 1,1,836,
0,,Surface,2,Image 1,1,838,
104,,Surface,2,Image 1,1,840,
107,,Surface,2,Image 1,1,841,
103,,Surface,2,Image 1,1,843,
106,,Surface,2,Image 1,1,844,
98,,Surface,2,Image 1,1,846,
103,,Surface,2,Image 1,1,848,
106,,Surface,2,Image 1,1,849,
107,,Surface,2,Image 1,1,851,
101,,Surface,2,Image 1,1,852,
101,,Surface,2,Image 1,1,853,
106,,Surface,2,Image 1,1,854,
100,,Surface,2,Image 1,1,855,
110,,Surface,2,Image 1,1,856,
107,,Surface,2,Image 1,1,857,
103,,Surface,2,Image 1,1,859,
109,,Surface,2,Image 1,1,861,
119,,Surface,2,Image 1,1,862,
106,,Surface,2,Image 1,1,863,
48,,Surface,2,Image 1,1,866,
89,,Surface,2,Image 1,1,867,
96,,Surface,2,Image 1,1,869,
