
Intensity StdDev Ch=18 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
323.666,,Surface,18,Image 1,1,309,
221.687,,Surface,18,Image 1,1,310,
307.217,,Surface,18,Image 1,1,316,
442.6,,Surface,18,Image 1,1,317,
402.695,,Surface,18,Image 1,1,324,
436.034,,Surface,18,Image 1,1,325,
313.635,,Surface,18,Image 1,1,330,
234.212,,Surface,18,Image 1,1,331,
434.712,,Surface,18,Image 1,1,334,
269.541,,Surface,18,Image 1,1,335,
373.437,,Surface,18,Image 1,1,336,
336.809,,Surface,18,Image 1,1,337,
432.681,,Surface,18,Image 1,1,338,
138.176,,Surface,18,Image 1,1,339,
265.432,,Surface,18,Image 1,1,340,
109.31,,Surface,18,Image 1,1,341,
158.767,,Surface,18,Image 1,1,342,
139.41,,Surface,18,Image 1,1,343,
300.319,,Surface,18,Image 1,1,344,
97.9946,,Surface,18,Image 1,1,347,
379.687,,Surface,18,Image 1,1,348,
152.716,,Surface,18,Image 1,1,349,
393.727,,Surface,18,Image 1,1,351,
165.04,,Surface,18,Image 1,1,355,
78.337,,Surface,18,Image 1,1,356,
173.623,,Surface,18,Image 1,1,361,
119.026,,Surface,18,Image 1,1,362,
292.344,,Surface,18,Image 1,1,363,
277.276,,Surface,18,Image 1,1,364,
158.167,,Surface,18,Image 1,1,365,
312.223,,Surface,18,Image 1,1,369,
330.722,,Surface,18,Image 1,1,371,
229.146,,Surface,18,Image 1,1,372,
211.062,,Surface,18,Image 1,1,373,
137.943,,Surface,18,Image 1,1,374,
114.292,,Surface,18,Image 1,1,376,
253.141,,Surface,18,Image 1,1,378,
201.672,,Surface,18,Image 1,1,379,
267.508,,Surface,18,Image 1,1,381,
360.932,,Surface,18,Image 1,1,383,
392.289,,Surface,18,Image 1,1,385,
283.643,,Surface,18,Image 1,1,386,
241.413,,Surface,18,Image 1,1,388,
163.617,,Surface,18,Image 1,1,389,
261.49,,Surface,18,Image 1,1,390,
77.6915,,Surface,18,Image 1,1,393,
302.582,,Surface,18,Image 1,1,396,
318.874,,Surface,18,Image 1,1,397,
408.462,,Surface,18,Image 1,1,398,
355.846,,Surface,18,Image 1,1,399,
99.1235,,Surface,18,Image 1,1,400,
374.136,,Surface,18,Image 1,1,401,
215.68,,Surface,18,Image 1,1,402,
89.1471,,Surface,18,Image 1,1,405,
380.737,,Surface,18,Image 1,1,406,
439.808,,Surface,18,Image 1,1,413,
204.524,,Surface,18,Image 1,1,420,
261.504,,Surface,18,Image 1,1,421,
315.37,,Surface,18,Image 1,1,426,
473.831,,Surface,18,Image 1,1,427,
338.224,,Surface,18,Image 1,1,428,
369.648,,Surface,18,Image 1,1,437,
194.469,,Surface,18,Image 1,1,442,
171.31,,Surface,18,Image 1,1,443,
175.266,,Surface,18,Image 1,1,445,
201.727,,Surface,18,Image 1,1,447,
275.275,,Surface,18,Image 1,1,448,
263.381,,Surface,18,Image 1,1,449,
201.128,,Surface,18,Image 1,1,453,
125.822,,Surface,18,Image 1,1,457,
263.949,,Surface,18,Image 1,1,458,
101.294,,Surface,18,Image 1,1,459,
170.07,,Surface,18,Image 1,1,462,
145.496,,Surface,18,Image 1,1,465,
335.187,,Surface,18,Image 1,1,469,
617.435,,Surface,18,Image 1,1,473,
104.53,,Surface,18,Image 1,1,476,
131.597,,Surface,18,Image 1,1,478,
263.006,,Surface,18,Image 1,1,480,
1381.1,,Surface,18,Image 1,1,487,
290.773,,Surface,18,Image 1,1,488,
293.565,,Surface,18,Image 1,1,489,
349.265,,Surface,18,Image 1,1,492,
158.419,,Surface,18,Image 1,1,494,
146.895,,Surface,18,Image 1,1,495,
141.671,,Surface,18,Image 1,1,497,
167.855,,Surface,18,Image 1,1,498,
250.738,,Surface,18,Image 1,1,503,
210.834,,Surface,18,Image 1,1,504,
226.063,,Surface,18,Image 1,1,506,
145.641,,Surface,18,Image 1,1,509,
338.209,,Surface,18,Image 1,1,510,
374.213,,Surface,18,Image 1,1,511,
193.782,,Surface,18,Image 1,1,512,
152.089,,Surface,18,Image 1,1,514,
554.647,,Surface,18,Image 1,1,515,
98.276,,Surface,18,Image 1,1,516,
74.9926,,Surface,18,Image 1,1,520,
339.87,,Surface,18,Image 1,1,521,
189.808,,Surface,18,Image 1,1,523,
354.093,,Surface,18,Image 1,1,524,
248.28,,Surface,18,Image 1,1,525,
161.064,,Surface,18,Image 1,1,526,
108.945,,Surface,18,Image 1,1,527,
223.608,,Surface,18,Image 1,1,528,
350.266,,Surface,18,Image 1,1,533,
127.118,,Surface,18,Image 1,1,534,
337.008,,Surface,18,Image 1,1,535,
121.623,,Surface,18,Image 1,1,536,
360.184,,Surface,18,Image 1,1,538,
241.89,,Surface,18,Image 1,1,539,
176.493,,Surface,18,Image 1,1,540,
233.526,,Surface,18,Image 1,1,541,
258.114,,Surface,18,Image 1,1,542,
111.436,,Surface,18,Image 1,1,545,
134.913,,Surface,18,Image 1,1,546,
120.263,,Surface,18,Image 1,1,548,
281.916,,Surface,18,Image 1,1,551,
299.245,,Surface,18,Image 1,1,552,
173.499,,Surface,18,Image 1,1,554,
204.898,,Surface,18,Image 1,1,556,
210.602,,Surface,18,Image 1,1,561,
716.869,,Surface,18,Image 1,1,562,
212.647,,Surface,18,Image 1,1,563,
164.718,,Surface,18,Image 1,1,565,
510.393,,Surface,18,Image 1,1,567,
241.203,,Surface,18,Image 1,1,568,
290.583,,Surface,18,Image 1,1,570,
159.423,,Surface,18,Image 1,1,572,
114.161,,Surface,18,Image 1,1,573,
92.5052,,Surface,18,Image 1,1,574,
163.656,,Surface,18,Image 1,1,576,
391.107,,Surface,18,Image 1,1,580,
176.545,,Surface,18,Image 1,1,581,
480.636,,Surface,18,Image 1,1,582,
339.348,,Surface,18,Image 1,1,583,
344.957,,Surface,18,Image 1,1,584,
214.648,,Surface,18,Image 1,1,588,
243.665,,Surface,18,Image 1,1,590,
149.811,,Surface,18,Image 1,1,592,
157.984,,Surface,18,Image 1,1,594,
273.625,,Surface,18,Image 1,1,596,
341.116,,Surface,18,Image 1,1,601,
360.637,,Surface,18,Image 1,1,602,
286.397,,Surface,18,Image 1,1,603,
352.972,,Surface,18,Image 1,1,604,
246.499,,Surface,18,Image 1,1,607,
415.045,,Surface,18,Image 1,1,608,
289.154,,Surface,18,Image 1,1,609,
236.078,,Surface,18,Image 1,1,610,
201.91,,Surface,18,Image 1,1,611,
228.307,,Surface,18,Image 1,1,612,
125.47,,Surface,18,Image 1,1,613,
201.555,,Surface,18,Image 1,1,614,
128.973,,Surface,18,Image 1,1,616,
246.039,,Surface,18,Image 1,1,617,
126.644,,Surface,18,Image 1,1,619,
195.483,,Surface,18,Image 1,1,625,
136.129,,Surface,18,Image 1,1,627,
229.748,,Surface,18,Image 1,1,628,
261.849,,Surface,18,Image 1,1,629,
472.946,,Surface,18,Image 1,1,630,
262.199,,Surface,18,Image 1,1,631,
173.956,,Surface,18,Image 1,1,632,
158.912,,Surface,18,Image 1,1,634,
190.688,,Surface,18,Image 1,1,636,
153.517,,Surface,18,Image 1,1,638,
353.372,,Surface,18,Image 1,1,640,
155.261,,Surface,18,Image 1,1,641,
188.815,,Surface,18,Image 1,1,643,
173.803,,Surface,18,Image 1,1,644,
373.653,,Surface,18,Image 1,1,646,
182.524,,Surface,18,Image 1,1,647,
524.95,,Surface,18,Image 1,1,651,
118.015,,Surface,18,Image 1,1,652,
48.3113,,Surface,18,Image 1,1,653,
199.759,,Surface,18,Image 1,1,654,
332.452,,Surface,18,Image 1,1,658,
140.447,,Surface,18,Image 1,1,660,
378.363,,Surface,18,Image 1,1,662,
108.142,,Surface,18,Image 1,1,663,
330.815,,Surface,18,Image 1,1,664,
234.322,,Surface,18,Image 1,1,666,
71.2262,,Surface,18,Image 1,1,669,
103.999,,Surface,18,Image 1,1,672,
352.268,,Surface,18,Image 1,1,673,
76.319,,Surface,18,Image 1,1,674,
485.796,,Surface,18,Image 1,1,675,
291.782,,Surface,18,Image 1,1,676,
109.933,,Surface,18,Image 1,1,678,
60.9833,,Surface,18,Image 1,1,679,
116.774,,Surface,18,Image 1,1,680,
292.028,,Surface,18,Image 1,1,682,
392.508,,Surface,18,Image 1,1,684,
413.854,,Surface,18,Image 1,1,685,
134.496,,Surface,18,Image 1,1,686,
338.173,,Surface,18,Image 1,1,687,
272.819,,Surface,18,Image 1,1,688,
407.305,,Surface,18,Image 1,1,690,
259.159,,Surface,18,Image 1,1,691,
312.947,,Surface,18,Image 1,1,693,
349.932,,Surface,18,Image 1,1,694,
231.114,,Surface,18,Image 1,1,697,
219.256,,Surface,18,Image 1,1,699,
307.254,,Surface,18,Image 1,1,700,
253.095,,Surface,18,Image 1,1,701,
349.227,,Surface,18,Image 1,1,702,
140.508,,Surface,18,Image 1,1,703,
95.4415,,Surface,18,Image 1,1,706,
210.08,,Surface,18,Image 1,1,709,
144.737,,Surface,18,Image 1,1,710,
160.128,,Surface,18,Image 1,1,711,
164.161,,Surface,18,Image 1,1,712,
206.941,,Surface,18,Image 1,1,713,
125.348,,Surface,18,Image 1,1,717,
184.081,,Surface,18,Image 1,1,719,
69.0205,,Surface,18,Image 1,1,720,
205.974,,Surface,18,Image 1,1,721,
310.11,,Surface,18,Image 1,1,723,
441.285,,Surface,18,Image 1,1,725,
321.494,,Surface,18,Image 1,1,728,
129.765,,Surface,18,Image 1,1,730,
206.935,,Surface,18,Image 1,1,731,
318.398,,Surface,18,Image 1,1,736,
195.874,,Surface,18,Image 1,1,737,
340.762,,Surface,18,Image 1,1,739,
159.921,,Surface,18,Image 1,1,741,
205.023,,Surface,18,Image 1,1,744,
232.608,,Surface,18,Image 1,1,747,
584.27,,Surface,18,Image 1,1,751,
290.801,,Surface,18,Image 1,1,752,
155.009,,Surface,18,Image 1,1,753,
351.225,,Surface,18,Image 1,1,754,
465.852,,Surface,18,Image 1,1,755,
117.39,,Surface,18,Image 1,1,757,
164.709,,Surface,18,Image 1,1,758,
817.671,,Surface,18,Image 1,1,759,
327.256,,Surface,18,Image 1,1,761,
336.132,,Surface,18,Image 1,1,766,
305.213,,Surface,18,Image 1,1,772,
394.46,,Surface,18,Image 1,1,773,
176.095,,Surface,18,Image 1,1,774,
106.088,,Surface,18,Image 1,1,775,
334.213,,Surface,18,Image 1,1,776,
478.427,,Surface,18,Image 1,1,780,
185.989,,Surface,18,Image 1,1,786,
160.445,,Surface,18,Image 1,1,787,
359.822,,Surface,18,Image 1,1,788,
284.196,,Surface,18,Image 1,1,791,
186.486,,Surface,18,Image 1,1,794,
467.112,,Surface,18,Image 1,1,797,
226.7,,Surface,18,Image 1,1,798,
190.377,,Surface,18,Image 1,1,799,
301.849,,Surface,18,Image 1,1,800,
135.347,,Surface,18,Image 1,1,801,
99.5361,,Surface,18,Image 1,1,802,
119.768,,Surface,18,Image 1,1,803,
135.532,,Surface,18,Image 1,1,804,
173.054,,Surface,18,Image 1,1,805,
283.976,,Surface,18,Image 1,1,810,
298.942,,Surface,18,Image 1,1,811,
294.901,,Surface,18,Image 1,1,812,
131.757,,Surface,18,Image 1,1,813,
116.164,,Surface,18,Image 1,1,814,
94.9245,,Surface,18,Image 1,1,816,
351.848,,Surface,18,Image 1,1,818,
243.723,,Surface,18,Image 1,1,819,
114.453,,Surface,18,Image 1,1,822,
207.771,,Surface,18,Image 1,1,823,
227.324,,Surface,18,Image 1,1,824,
262.149,,Surface,18,Image 1,1,825,
258.866,,Surface,18,Image 1,1,826,
129.413,,Surface,18,Image 1,1,827,
236.606,,Surface,18,Image 1,1,828,
281.865,,Surface,18,Image 1,1,831,
268.64,,Surface,18,Image 1,1,834,
104.532,,Surface,18,Image 1,1,835,
88.2896,,Surface,18,Image 1,1,836,
209.171,,Surface,18,Image 1,1,838,
154.423,,Surface,18,Image 1,1,840,
236.379,,Surface,18,Image 1,1,841,
346.027,,Surface,18,Image 1,1,843,
343.79,,Surface,18,Image 1,1,844,
443.55,,Surface,18,Image 1,1,846,
393.84,,Surface,18,Image 1,1,848,
