
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
234.119,µm^3,Surface,1,363,
362.475,µm^3,Surface,1,364,
271.284,µm^3,Surface,1,365,
388.28,µm^3,Surface,1,369,
434.472,µm^3,Surface,1,371,
232.796,µm^3,Surface,1,372,
401.475,µm^3,Surface,1,373,
304.532,µm^3,Surface,1,374,
297.99,µm^3,Surface,1,376,
473.201,µm^3,Surface,1,378,
421.413,µm^3,Surface,1,379,
388.527,µm^3,Surface,1,381,
430.72,µm^3,Surface,1,383,
432.318,µm^3,Surface,1,385,
498.253,µm^3,Surface,1,386,
447.352,µm^3,Surface,1,388,
487.205,µm^3,Surface,1,389,
480.763,µm^3,Surface,1,390,
185.364,µm^3,Surface,1,393,
436.571,µm^3,Surface,1,396,
233.461,µm^3,Surface,1,397,
404.8,µm^3,Surface,1,398,
212.795,µm^3,Surface,1,399,
348.338,µm^3,Surface,1,400,
326.435,µm^3,Surface,1,401,
350.994,µm^3,Surface,1,402,
147.761,µm^3,Surface,1,405,
450.2,µm^3,Surface,1,406,
403.938,µm^3,Surface,1,413,
466.702,µm^3,Surface,1,420,
636.705,µm^3,Surface,1,421,
513.753,µm^3,Surface,1,426,
344.146,µm^3,Surface,1,427,
320.406,µm^3,Surface,1,428,
273.927,µm^3,Surface,1,437,
268.75,µm^3,Surface,1,442,
722.998,µm^3,Surface,1,443,
560.632,µm^3,Surface,1,445,
513.541,µm^3,Surface,1,447,
170.312,µm^3,Surface,1,448,
573.076,µm^3,Surface,1,449,
345.754,µm^3,Surface,1,453,
334.796,µm^3,Surface,1,457,
281.824,µm^3,Surface,1,458,
510.763,µm^3,Surface,1,459,
187.112,µm^3,Surface,1,462,
326.233,µm^3,Surface,1,465,
412.351,µm^3,Surface,1,469,
388.099,µm^3,Surface,1,473,
466.4,µm^3,Surface,1,476,
409.109,µm^3,Surface,1,478,
167.707,µm^3,Surface,1,480,
282.328,µm^3,Surface,1,487,
398.37,µm^3,Surface,1,488,
344.97,µm^3,Surface,1,489,
352.88,µm^3,Surface,1,492,
436.077,µm^3,Surface,1,494,
300.298,µm^3,Surface,1,495,
562.227,µm^3,Surface,1,497,
140.898,µm^3,Surface,1,498,
330.038,µm^3,Surface,1,503,
229.557,µm^3,Surface,1,504,
482.542,µm^3,Surface,1,506,
395.931,µm^3,Surface,1,509,
399.147,µm^3,Surface,1,510,
421.661,µm^3,Surface,1,511,
225.142,µm^3,Surface,1,512,
187.69,µm^3,Surface,1,514,
218.237,µm^3,Surface,1,515,
489.771,µm^3,Surface,1,516,
209.212,µm^3,Surface,1,520,
485.592,µm^3,Surface,1,521,
406.721,µm^3,Surface,1,523,
231.207,µm^3,Surface,1,524,
390.102,µm^3,Surface,1,525,
351.574,µm^3,Surface,1,526,
386.362,µm^3,Surface,1,527,
386.204,µm^3,Surface,1,528,
245.539,µm^3,Surface,1,533,
323.472,µm^3,Surface,1,534,
358.393,µm^3,Surface,1,535,
210.783,µm^3,Surface,1,536,
296.919,µm^3,Surface,1,538,
638.792,µm^3,Surface,1,539,
335.127,µm^3,Surface,1,540,
350.63,µm^3,Surface,1,541,
298.213,µm^3,Surface,1,542,
316.03,µm^3,Surface,1,545,
222.343,µm^3,Surface,1,546,
431.643,µm^3,Surface,1,548,
